"","X","nid_id","lat","lon","river","purpose","yr_comp","res_age","hydr_hght","max_dis","max_stor","norm_stor","surf_area_km2","res_perim_km","sdi","mean_depth","mean_max_depth_ratio","mean_q","drain_area_km2","catch_surf_area_ratio","rel_depth_perc","lake_vol_m3","elev","reach_code","e2rf1","mean_v","strahler","water","wetlands","urb_grass","lo_urb_dev","hi_urb_dev","industry","for_dec","for_ever","for_mixed","shrub","grass","pasture","crops","orchards","barren","tn_bg_kg_km2_yr","tp_bg_kg_km2_yr","tn_bg_kg_km2_yr_atom","tn_kg_km2_yr","tp_kg_km2_yr","tn_point","tp_point","tn_fert","tp_fert","tn_ag_anml","tp_ag_anml","tn_forest","tp_forest","tn_barren","tp_barren","tn_shrub","tp_shrub","tn_grass","tp_grass","tn_frac","tp_frac","WinT_rcp85","WintT_abs","WinT_hist","SumT_hist","SumT_rcp85","SumT_abs","US_L3CODE","US_L3NAME","Histprecip","RCP85precip","ABSprecip","RESID","STATE","RESINFO","RESNAME1","LONGITUDE","LATITUDE","CLUSID","SHALLOW","MUDFLAT","BKWATER","CONN_BW","CONN_TR","N_STRUC","SHAL_LZ","DIST_RZ","X_NUTRI","ALGAE","SEDIMEN","SHOREER","NOCOVES","SHOREHO","SUBSTHO","X_MACRO","N_MACRO","NN_PLNT","NN_ANIM","DEEP_LZ","N_SHADE","N_ALLOC","WS_AGRI","WS_ANIM","WS_LOGS","WS_MINE","WS_URBN","N_NUTRI","IN_TURB","OR_TURB","VAR_TUR","VAR_DO2","O_STRAT","HI_TEMP","LO_TEMP","T_STRAT","DESTRAT","THERMAL","CONTAMN","POLL_PS","POLLNPS","HYDROGR","RESIDUP","LOWRETE","LOWSTOR","WL_SEAS","WL_DROP","WL_LONG","WLSHORT","WL_FAST","DIST_UP","DIST_AD","SS","PreySS","PredSS","PPratio","ExoticSS","Richness","Evenness","NatStock","Nnatstock","IntrodUndes","Fishkills","FishPres","CatchRate","FishSize","CatchVar","AnglerSatis","FreqTourn","RatioFishing","SPP1comp","LargeFish","StockedFish","PopDen","SizeStruc","Condition","GRate","NatMort","R_age1","R_adult","CRA","BAS","PIK","PER","CAT","SUN","MOR","TRT","SAL","distance"
"356",1108,"KY00040",38.20722,-85.15833,"GUIST CREEK","OR",1961,54,NA,NA,9905.1,4832.5,1.28285462,29.44173183,7.332794639,31.24630051,NA,101.991,77.6997,60.56782334,0.745195952,5960792.1,231.6,5.14e+12,15836,0.98,1,0.5,0.3,0.3,0.6,0,0.7,30.8,0.5,5.3,0,0,26.6,34.3,0,0,84,25,137,1276,97,5,7,54,31,19,56,4,6,0,0,0,0,0,0,0.83331,0.87326,7.84,4.14,3.7,23.64,28.8,5.16,71,"Interior Plateau",1289.56,1353.93,64.38,"KY22","KY",22,"Guist Creek Lake",-85.15833,38.20722,"SAP                3",3,3,2,2,2,2,2,3,4,2,4,3,3,3,3,1,3,1,0,1,2,2,3,2,2,0,3,1,4,3,3,2,3,1,1,2,1,1,2,3,4,2,0,2,1,1,1,1,1,1,4,4,3,3,4,3.6,2,3,3,4,4,3,1,5,3,4,3,3,5,3,3,3,1,3,4,4,3,3,2,3,0,1,0,0,0,0,0,0,0,0
"357",1109,"KY00044",37.14833,-87.68139,"PINY CREEK","H",1962,53,NA,NA,13771,7997.5,3.0756136,38.0901498,6.126912604,18.11969524,NA,27.3238,72.51972,23.57894737,0.279090855,9864756.3,125,5.14e+12,15791,0.55,1,8.1,0.2,0.5,0.2,0,0.3,69.9,4.2,15.4,0,0,1,0.2,0,0,95,19,148,453,14,3,11,6,4,0,3,37,83,0,0,0,0,0,0,0.79314,0.84295,9.94,4.06,5.88,25.54,30.75,5.22,72,"Interior River Valleys and Hills",1075.06,1142.37,67.31,"KY4","KY",4,"Lake Beshear",-87.68139,37.14833,"TPL                3",1,1,2,2,2,4,2,1,1,1,1,1,1,2,1,2,1,0,0,3,2,1,1,1,1,0,2,4,1,1,2,2,3,2,1,3,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,4,4,4,3,2,3,3,3,1,1,2,3,4,4,3,4,4,3,3,3,2,4,5,5,5,3,3,4,0,1,0,0,0,0,0,0,0,0
"358",1110,"KY00080",38.67667,-84.51833,"GRASSY CREEK","H",1957,58,NA,NA,8162.9,6200,1.214058,27.91405673,7.146577874,27.2096042,NA,42.7702,22.4034135,18.45333333,0.667057252,7647576,NA,5.1e+12,14322,0.67,1,0.4,0,0.1,0.9,0,0.4,56.9,1.5,8.2,0,0,16.6,15,0,0,63,22,106,528,57,12,12,23,25,17,46,15,17,0,0,0,0,0,0,0.80807,0.85427,8,4.24,3.75,23.85,29.03,5.18,71,"Interior Plateau",1289.56,1353.93,64.38,"KY49","KY",49,"Williamstown Lake",-84.51833,38.67667,"SAP                3",3,3,2,2,1.949278176,3,2,4,4,3,4,5,3,4,4,1,3,1,1,1,2,2,3,3,2,0,4,1,4,3,3,2,3,2,2,2,2,0,2,2,4,2,0,2,2,1,1,1,1,1,3,3,2,2,2,3,3,2,3,3,2,2,2,2,2,3,3,2,2,2,2,2,1,2,2,3,3,3,2,2,0,1,0,0,0,0,0,0,0,0
"359",1111,"KY00088",37.21389,-84.19722,"ROCKCASTLE RIVER","S",1969,46,NA,NA,29101,23270,2.71948992,49.16635147,8.410448307,43.30496011,NA,30.6904,56.461782,20.76190476,0.709340112,28703079.6,NA,5.13e+12,15149,0.58,1,1.8,0,1.5,1.1,0.1,1.7,51,8.6,19.2,0,0,12.6,1.9,0,0.4,112,13,168,477,13,15,22,24,21,10,31,18,25,0,1,0,0,0,0,0.50999,0.07744,8.64,3.87,4.78,23.47,28.43,4.96,68,"Southwestern Appalachians",1438.69,1485.93,47.24,"KY51","KY",51,"Wood Creek Lake",-84.19722,37.21389,"SAP                1",0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,2,0,0,3,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,4,1,3,1,3,4,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0
"360",1112,"KY00101",37.38278,-84.33472,"LITTLE RENFRO CREEK","S",1968,47,NA,NA,NA,6107,1.509883466,12.71664057,2.919413236,16.3682283,NA,36.9956,39.626847,26.24497454,0.359824361,7532862.36,NA,5.13e+12,15169,0.63,1,2.4,0.1,1.3,1.9,0.4,1.2,45.3,5.4,14.9,0,0,21.7,5.1,0,0.4,106,25,163,741,37,15,20,33,25,16,42,11,12,0,0,0,0,0,0,0.56661,0.14793,8.44,3.91,4.54,23.55,28.55,5,68,"Southwestern Appalachians",1438.69,1485.93,47.24,"KY46","KY",46,"Lake Linville",-84.33472,37.38278,"SAP                4",3,4,0,0,1,3,4,3,3,1,3,3,3,2,3,0,0,0,0,0,3,0,2,1,1,0,2,0,4,1,2,1,2,0,0,1,0,0,1,1,3,0,0,2,2,0,0,0,0,0,3,3,4,4,4,3,1,3,3,1,3,1,1,4,3,2,3,3,3,4,2,1,1,4,2,2,2,2,3,4,0,1,0,0,0,0,0,0,0,0
"361",1113,"KY00110",37.08167,-87.03333,"MUD RIVER","R",1961,54,NA,NA,20613,14250,3.34270636,52.20995035,8.055621597,24.95514852,NA,NA,73.814715,22.08232446,0.368698736,17577090,137.2,5.11e+12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39,4.01,5.39,24.97,30.11,5.14,72,"Interior River Valleys and Hills",1075.06,1142.37,67.31,"KY40","KY",40,"Lake Malone",-87.03333,37.08167,"TPL                3",0,0,2,2,1,1,0,4,1,0,2,1,0,3,1,1,1,0,0,3,2,1,2,1,2,1,2,1,1,1,1,0,2,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,1,3,3,3,2,2,2,4,3,4,3,3,4,3,3,3,1,4,4,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0
"362",1116,"KY00316",37.78556,-84.70583,"DIX RIVER","R",1925,90,NA,NA,NA,230500,11.8977684,50.32831458,4.115992005,78.40118056,NA,671.386,1137.00561,95.56462585,0.613974664,284317140,228.6,5.1e+12,14503,1.73,2,1,0.7,1.1,1,0.2,0.5,24.6,4.8,12.5,0,0,42.7,10.8,0,0.1,66,22,103,1071,67,8,9,41,23,25,61,6,7,0,0,0,0,0,0,0.89761,0.92087,9.08,4.02,5.06,24.37,29.46,5.09,71,"Interior Plateau",1289.56,1353.93,64.38,"KY11","KY",11,"Herrington Lake",-84.70583,37.78556,"SAP                3",1,1,1,1,1,3,1,4,4,3,1,2,1,3,3,1,3,1,1,5,3,2,3,3,2,1,4,1,1,1,1,2,3,1,1,3,1,2,2,3,4,3,1,1,1,3,3,3,3,2,3,3,4,4,3,4,2,3,3,3,4,2,2,3,3,4,3,3,3,3,2,3,1,3,4,4,4,3,3,3,0,1,0,0,0,0,0,0,0,0
"363",1117,"KY01198",38.05214,-84.8304,"KENTUCKY RIVER","C",1844,171,22,6800,17390,7500,2.9542078,NA,NA,23.82186312,1.08281196,NA,13532.69775,4580.821918,0.374382731,9251100,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32,4.08,4.24,24.02,29.14,5.11,71,"Interior Plateau",1289.56,1353.93,64.38,"KY29","KY",29,"Pool 5 Kentucky River",-84.8304,38.05214,"SAP                3",1,1,3,3,3,1,1,3,2,2,3,3,3,2,2,1,2,1,2,1,1.481179873,1,2,2,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,2,3,2,2,2,2,1,1,3,2,3,2,3,3,3,3,3,3,3,4,3,2,2,2,2,2,3,2,3,3,2,2,1,2,2,3,3,3,3,3,0,0,0,0,1,0,0,0,0,0
"364",1118,"KY01199",37.92678,-84.8215,"KENTUCKY RIVER","S",1891,124,20,6700,16310,12000,3.8040484,NA,NA,17.351024,0.8675512,NA,13214.12898,3473.702128,0.240304939,14801760,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49,4.05,4.44,24.18,29.28,5.1,71,"Interior Plateau",1289.56,1353.93,64.38,"KY30","KY",30,"Pool 6 Kentucky River",-84.8215,37.92678,"SAP                3",1,1,3,2,2,1,1,2,1,2,3,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,3,1,2,1,1,2,1,1,1,2,2,3,2,2,1,2,1,1,2,2,2,2,3,3,3,3,2,3,3,3,2,1,1,2,2,2,3,2,2,3,2,2,1,2,3,3,2,3,3,3,0,0,0,0,1,0,0,0,0,0
"365",1119,"KY01200",37.82954,-84.7242,"KENTUCKY RIVER","S",1897,118,22,6500,16390,11300,2.5292875,NA,NA,26.2239398,1.191997264,NA,13043.18964,5156.864,0.445409467,13938324,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02,4.03,4.99,24.39,29.49,5.09,71,"Interior Plateau",1289.56,1353.93,64.38,"KY31","KY",31,"Pool 7 Kentucky River",-84.7242,37.82954,"SAP                3",1,1,3,2,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,3,1,2,2,1,2,1,1,1,2,2,3,1,2,1,1,1,1,2,3,2,2,2,2,2,2,1,2,2,3,2,1,1,2,2,2,3,2,2,3,2,2,1,2,2,3,2,3,3,3,0,0,0,0,1,0,0,0,0,0
"366",1120,"KY01201",37.74568,-84.5871,"KENTUCKY RIVER","H",1900,115,25,5700,14020,8700,2.31885078,NA,NA,24.46765762,0.978706305,NA,11432.21586,4930.122164,0.43402685,10731276,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,4,4.8,24.34,29.41,5.07,71,"Interior Plateau",1289.56,1353.93,64.38,"KY32","KY",32,"Pool 8 Kentucky River",-84.5871,37.74568,"SAP                3",1,1,3,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,3,1,2,2,1,2,1,1,1,2,2,3,2,1,1,2,1,1,2.173127635,3,2,2,2,2,2,2,2,2,2,3,1,1,2,2,2,2,3,2,2,3,2,2,1,2,2,3,3,3,3,3,0,0,0,0,1,0,0,0,0,0
"367",1121,"KY01202",37.84329,-84.4404,"KENTUCKY RIVER","R",1907,108,24,5200,15030,11600,3.08775418,NA,NA,19.6985131,0.820771379,NA,10621.54899,3439.895151,0.302811727,14308368,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,4.01,4.42,24.06,29.13,5.07,71,"Interior Plateau",1289.56,1353.93,64.38,"KY33","KY",33,"Pool 9 Kentucky River",-84.4404,37.84329,"SAP                3",1,1,3,2,2,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,3,1,2,1,3,1,2,2,1,2,1,1,1,2,2,3,2,2,1,2,1,0,1,2,3,2,2,2,2,2,2,3,3,3,2,1,2,2,2,2,3,2,2,3,2,2,1,2,2,3,3,3,3,3,0,0,0,0,1,0,0,0,0,0
"368",1122,"KY01203",37.78443,-84.1032,"KENTUCKY RIVER","N",1906,109,24,4200,14370,6900,2.34313194,NA,NA,24.81859587,1.034108161,NA,8337.17781,3558.134715,0.437965034,8511012,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47,3.99,4.48,24.08,29.12,5.04,71,"Interior Plateau",1289.56,1353.93,64.38,"KY25","KY",25,"Kentucky River Pool 11",-84.1032,37.78443,"SAP                4",0,0,1,1,1,3,1,2,1,0,3,2,0,2,3,1,3,1,2,1,1,1,1,1,2,2,2,1,2,1,4,1,1,1,1,1,1,1,2,3,2,1,2,0,1,0,0,0,0,0,3,3,3,3,3,3,3,3,3,4,2,2,3,3,3,3,3,3,3,3,1,2,4,3,3,3,3,3,3,3,0,0,1,0,0,0,0,0,0,0
"369",1123,"KY01204",37.67731,-83.9482,"KENTUCKY RIVER","N",1910,105,23,3800,13250,6600,2.40383484,NA,NA,22.3063461,0.969841135,NA,7552.41084,3141.818182,0.388630362,8140968,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,3.96,4.55,23.62,28.64,5.02,70,"Western Allegheny Plateau",1104.79,1184.52,79.73,"KY26","KY",26,"Kentucky River Pool 12",-83.9482,37.67731,"SAP                1",0,1,1,1,1,3,1,2,1,0,3,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,1,2,4,1,4,0,0,0.01686161,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,3,1,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,4,1,2,4,2,3,3,3,3,3,3,0,0,1,0,0,0,0,0,0,0
"370",1124,"KY01205",37.60166,-83.8327,"KENTUCKY RIVER","N",1915,100,24,3700,5540,2900,1.1938237,NA,NA,18.7796179,0.782484079,NA,7210.53216,6039.864407,0.464277093,3577092,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,3.95,4.41,23.37,28.39,5.01,70,"Western Allegheny Plateau",1104.79,1184.52,79.73,"KY27","KY",27,"Kentucky River pool 13",-83.8327,37.60166,"SAP                1",0,1,1,1,1,2,0,1,1,0,3,1,0,1,1,0,3,1,1,1,0,0,1,1,3,3,2,2,3,1,4,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,2,4,2,3,4,3,3,3,3,3,3,3,0,0,0,1,0,0,0,0,0,0
"371",1125,"KY01206",37.55246,-83.7696,"KENTUCKY RIVER","N",1917,98,23,3600,6370,4400,1.75229038,NA,NA,14.71128262,0.639620984,NA,6881.60343,3927.205543,0.300198214,5427312,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35,3.94,4.41,23.39,28.4,5.01,70,"Western Allegheny Plateau",1104.79,1184.52,79.73,"KY28","KY",28,"Kentucky River pool 14",-83.7696,37.55246,"SAP                1",1,1,1,1,1,1,1,2,1,0,2,1,1,1,1,1,2,1,1,1,0,0,2,1,3,4,2,1,3,1,4,0,0,0,0,0,0,0,3,2,3,0,2,0,0,0,0,0,0,1,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,2,3,4,3,3,3,3,3,3,3,0,0,1,0,0,0,0,0,0,0
"372",1126,"KY03001",37.02167,-88.22,"CUMBERLAND","S",1966,49,109,520000,2082000,869000,234.3941312,1128.476358,20.7928485,35.94605008,0.329780276,1799.45,45578.64402,194.4530387,0.063421778,1071894120,NA,5.13e+12,15484,2.5,2,0.6,2.2,0.9,1.7,0.4,1,18.2,1.2,2.8,0,0,34.2,36.1,0,0.8,82,26,125,1540,93,6,11,72,43,7,41,2,5,0,1,0,0,0,0,0.9396,0.83386,10.22,4.07,6.15,26.37,31.62,5.25,71,"Interior Plateau",1289.56,1353.93,64.38,"KY2","KY",2,"Lake Barkley",-88.22,37.02167,"SAP                3",0,3,0.901334269,1,3,3,3,2,0,0,4,2,5,3,4,1,2,1,2,0,0,4,4,3,3,1,3,0,3,1,1,0,2,3,0,3,2,3,1,1,1,5,3,1,1,5,4,1,0,0,2,4,4,4,4,5,3,3,3,1,1,4,4,4,4,4,3,5,5,4,2,3,1,5,5,5,4,3,4,4,0,1,0,0,0,0,0,0,0,0
"373",1127,"KY03002",37.85833,-87.40833,"GREEN RIVER","S",1970,45,23,14000,62400,41404,15.23238104,NA,NA,16.57807034,0.720785667,NA,23783.87817,1561.402763,0.1147389,51071005.92,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,4.2,4.91,25.43,30.69,5.26,72,"Interior River Valleys and Hills",1075.06,1142.37,67.31,"KY16","KY",16,"Spotsville pool Green River",-87.40833,37.85833,"TPL                1",1,1,3,3,2,3,0,3,2,0,3,4,2,3,3,0,3,1,4,2,3,1,4,4,3,4,3,1,4,1,3,0,2,1,0,1,0,0,3,2,4,0,1,0,0,0,0,0,0,2,4,4,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,0,0,0,0,1,0,0,0,0,0
"374",1128,"KY03003",37.53167,-87.265,"GREEN RIVER","N",1956,59,26,11200,53700,24768,11.13695872,NA,NA,19.5130366,0.750501408,NA,19595.86434,1759.534884,0.157943645,30550832.64,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31,4.13,5.18,25.35,30.58,5.23,72,"Interior River Valleys and Hills",1075.06,1142.37,67.31,"KY17","KY",17,"Green River Calhoun pool",-87.265,37.53167,"TPL                1",0,0,3,3,1,2,0,3,1,0,3,3,1,3,2,0,2,1,4,2,4,0,4,3,3,4,2,1,3,1,3,0,2,1,0,1,0,0,2,2,4,0,1,0,0,0,0,-0.414836149,0,2,3,3,3,3,3,3,4,3,3,3,2,4,3,3,3,3,3,3,2.6,3,2,3,1,3,3,3,3,3,3,3,0,0,0,0,1,0,0,0,0,0
"375",1129,"KY03004",37.21333,-86.9,"GREEN RIVER","S",1836,179,27,9000,40070,13254,8.93951374,NA,NA,18.13938796,0.671829184,NA,15907.71858,1779.483929,0.163880124,16348543.92,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16,4.04,5.12,24.93,30.1,5.17,72,"Interior River Valleys and Hills",1075.06,1142.37,67.31,"KY18","KY",18,"Green River Lock 3 Pool",-86.9,37.21333,"TPL                3",1,1,2,1,1,4,1,2,2,0,2,2,0,1,2,1,1,1,5,0,2,0,3,2,2,2,1,0,3,3,3,0,0,1,0,0,0,0,0,2,2,0,2,1,1,1,0,0,2,1,3,3,2,3,2,2,4,3,2,4,1,5,1,2,3,3,2,3,1,4,2,2,1,3,3,4,4,3,3,3,0,0,0,0,1,0,0,0,0,0
"376",1130,"KY03005",37.16833,-86.40333,"GREEN RIVER","HCNR",1934,81,32,4500,10070,4446,1.99914884,NA,NA,20.38456859,0.637017768,NA,7772.55999,3887.935223,0.389439109,5484052.08,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05,3.98,5.07,24.85,29.97,5.12,72,"Interior River Valleys and Hills",1075.06,1142.37,67.31,"KY19","KY",19,"Green River Lock 5 pool",-86.40333,37.16833,"TPL                3",1,1,2,1,1,4,1,2,2,0,3,2,0,1,3,1,1,1,2,0,2,0,2,2,2,1,1,0,2,2,2,0,0,1,0,0,0,0,0,2,2,0,3,0,0,1,0,0,0,1,3,3,3,3,2,4,3,4,4,3,1,3,1,3,3,3,3,3,2,3,2,2,1,3,3,4,4,3,3,3,0,0,0,0,1,0,0,0,0,0
"377",1131,"KY03006",37.20667,-86.26,"GREEN RIVER","NRF",1905,110,26,4400,9150,1888,1.91011792,NA,NA,19.38554872,0.745598028,NA,7153.55238,3745.084746,0.378886047,2328810.24,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99,3.98,5.01,24.65,29.77,5.12,72,"Interior River Valleys and Hills",1075.06,1142.37,67.31,"KY20","KY",20,"Green River Lock 6 pool",-86.26,37.20667,"TPL                3",1,1,2,0,0,4,1,2,2,0,2,2,0,1,2,1,1,1,2,0,2,0,2,1,1,1,1,0,2,2,2,0,0,1,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,1,2,1,3,3,2,4,3,4,3,4,1,2,1,3,3,3,3,3,1,3,2,2,1,3,3,3,3,3,3,3,0,0,0,0,1,0,0,0,0,0
"378",1132,"KY03007",37.245,-85.34167,"GREEN RIVER","NRS",1969,46,123,74200,723200,244100,33.2247206,192.2272081,9.40760514,88.08749571,0.716158502,105.603,1766.37318,53.16443362,0.412804286,301092468,205.7,5.11e+12,14579,1,1,0.4,3,0.1,0.1,0,0.2,58,1.1,6.8,0,0,20.1,10,0,0.2,103,30,162,903,80,3,3,42,26,19,56,11,15,0,0,0,0,0,0,0.69954,0.41955,9.27,3.94,5.33,24.42,29.48,5.06,71,"Interior Plateau",1289.56,1353.93,64.38,"KY15","KY",15,"Green River Lake",-85.34167,37.245,"SAP                1",1,3,2,1,1,3,1,2,1,0,2,2,2,1,1,1,1,0,2,1,4,0,2,2,2,1,2,1,1,0,1,0,2,0,0,5,0,0,1,2,2,1,0,0,0,1,1,0,0,1,2,2,3,3,3,3,3,3,3,4,1,3,1,3,3,3,4,3,3,3,1,2,1,4,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0
"379",1133,"KY03009",36.89667,-86.125,"BARREN RIVER","N",1964,51,118,102100,815150,190320,40.4686,349.4327183,15.49527783,81.51481287,0.690803499,645.326,2434.5906,60.16,0.346129049,234755913.6,168.2,5.11e+12,15925,1.36,3,0.1,0.5,0.8,0.7,0.1,0.3,42.3,2.1,9.7,0,0,33.8,9.4,0,0.1,75,23,115,1042,92,4,5,45,28,22,58,8,9,0,0,0,0,0,0,0.76771,0.48474,9.54,3.91,5.62,25.21,30.28,5.07,71,"Interior Plateau",1289.56,1353.93,64.38,"KY3","KY",3,"Barren River Lake",-86.125,36.89667,"SAP                4",0,4,1,1,1,5,1,1,2,0,1,2,1,3,3,0,4,1,1,1,2,1,1,3,0,0,0,0,1,1,1,0,4,0,0,3,0,0,1,1,2,1,0,0,0,2,1,1,1,1,1,1,4,4,4,4,3,3,2.6,2,2,3,3,4,3,3,3,3,4,3,3,3,1,4,4,4,5,3,4,4,0,1,0,0,0,0,0,0,0,0
"380",1134,"KY03010",36.87167,-85.145,"CUMBERLAND","N",1951,64,233,553000,6089000,2142000,203.354715,1373.357083,27.16759782,121.1738512,0.520059447,8479.04,14993.45211,73.73054726,0.229531551,2642114160,723,5.13e+12,15185,2.62,5,0.8,0.4,0.4,0.5,0.1,0.4,63,8.5,16.1,0,0,7.8,1.8,0,0.4,78,12,115,643,35,7,14,19,15,8,32,24,38,0,0,0,0,0,0,0.75206,0.32012,9.3,3.86,5.44,24.28,29.26,4.98,71,"Interior Plateau",1289.56,1353.93,64.38,"KY50","KY",50,"Lake Cumberland",-85.145,36.87167,"SAP                1",0,0,0,0,1,3,0,1,0,0,1,1,1,1,1,0,3,0,0,3,0,0,1,0,1,0,1,0,2,1,1,0,4,0,0,3,0,0,1,1,2,3,0,0,0,1,2,1,1,1,1,0,3,3,3,3,1,3,3,1,4,1,4,3,3,4,3,3,3,2,1,3,4,3,3,2,3,3,3,3,0,0,0,0,0,0,1,0,0,0
"381",1135,"KY03011",37.27833,-86.245,"NOLIN RIVER","N",1963,52,146,48000,609400,170140,23.4313194,255.5657803,14.89358408,105.2501902,0.720891713,752.688,1820.76297,77.70639033,0.58733397,209864287.2,157,5.11e+12,14584,1.81,2,0.5,0.8,1.5,0.9,0.2,0.8,26.9,3.5,9.7,0,0,34.9,20.1,0,0.2,68,23,108,1201,92,6,9,57,30,15,54,5,7,0,0,0,0,0,0,0.81897,0.53409,8.85,4,4.85,24.53,29.66,5.14,72,"Interior River Valleys and Hills",1075.06,1142.37,67.31,"KY42","KY",42,"Nolin River Lake",-86.245,37.27833,"TPL                3",0,4,3,3,0,4,0,3,1,0,1,1,0,1,2,0,5,0,0,1,1,0,1,1,2,0,1,3,1,1,0,0,2,1,1,2,0,0,1,0,1,2,0,0,0,2,1,0,0,0,1,1,3,3,3,3,1,3,3,2,3,1,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0
"382",1136,"KY03012",37.62,-86.5,"ROUGH RIVER","CRSO",1959,56,132,22000,334400,90200,20.638986,359.8295873,22.34331373,65.56847693,0.496730886,55.3667,1175.85546,56.97254902,0.389862551,111259896,150.9,5.11e+12,14648,0.76,1,0.1,0,0.9,0.5,0.1,1,29.2,1.9,6.2,0,0,30.4,29.6,0,0,102,27,162,1093,103,6,7,58,26,16,60,4,7,0,0,0,0,0,0,0.6747,0.2953,8.33,4.08,4.25,24.24,29.43,5.18,71,"Interior Plateau",1289.56,1353.93,64.38,"KY47","KY",47,"Rough River Lake",-86.5,37.62,"SAP                1",0,3,3,3,0,4,0,2,1,0,2,2,1,1,1,0,5,0,0,2,1,0,1,1,2,0,2,1,1,0,1,0,2,1,0,2,0,0,0,0,1,2,0,1,0,1,1,0,0,1,2,1,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0
