FID,Field1,nid_id,lat,lon,river,purpose,yr_comp,res_age,hydr_hght,max_dis,max_stor,norm_stor,surf_area_,res_perim_,sdi,mean_depth,mean_max_d,mean_q,drain_area,catch_surf,rel_depth_,lake_vol_m,elev,reach_code,e2rf1,mean_v,strahler,water,wetlands,urb_grass,lo_urb_dev,hi_urb_dev,industry,for_dec,for_ever,for_mixed,shrub,grass,pasture,crops,orchards,barren,tn_bg_kg_k,tp_bg_kg_k,tn_bg_kg_1,tn_kg_km2_,tp_kg_km2_,tn_point,tp_point,tn_fert,tp_fert,tn_ag_anml,tp_ag_anml,tn_forest,tp_forest,tn_barren,tp_barren,tn_shrub,tp_shrub,tn_grass,tp_grass,tn_frac,tp_frac,WinT_rcp85,WintT_abs,WinT_hist,SumT_hist,SumT_rcp85,SumT_abs,US_L3CODE,US_L3NAME,Histprecip,RCP85preci,ABSprecip,NAME
383,3162,TX00965,33.94,-99.26,BEAVER CREEK,I,1929,86,45,165541,42200,9556,6.689746158,44.52420271,4.856084364,25.52818835,0.567293074,41.7842,848.998722,126.9104736,0.266609597,11787135,NA,0,36334,0.43,2,2,0.7,0,0.1,0,0.2,0.2,0.1,0.3,24,45,4.5,22,0,0.2,3,1,5,37,3,3,1,35,15,4,13,0,0,0,0,12,18,13,52,0.13982,0.01109,12.82,4.27,8.55,28.73,33.63,4.9,27,Central Great Plains,690.85,692.84,1.99,Red River
384,3168,TX00996,33.4483,-98.7833,MESQUITE CREEK,R,1953,62,49,0,7163,4500,1.035334125,9.79638591,2.715942128,27.99829632,0.571393803,3.4371,NA,NA,0.74327914,5550660,NA,0,36362,0.29,1,1.2,0.3,0.1,0.7,0,0.1,1.8,0.8,0.1,26,49,10.8,10,0,0.2,3,2,6,52,15,6,3,39,17,9,22,1,1,0,0,9,14,10,43,0,0,13.85,4.25,9.59,28.71,33.58,4.87,27,Central Great Plains,690.85,692.84,1.99,Red River
385,3169,TX01010,33.6633,-98.7783,NORTH FORK LITTLE WICHITA RIV,HR,1945,70,58,82500,202000,106000,25.090532,0,0,32.58057037,0.561733972,0,1.1136957,0.044387097,0.175697002,130748880,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43,4.27,9.17,28.72,33.61,4.89,27,Central Great Plains,690.85,692.84,1.99,Red River
386,3170,TX01011,33.82,-98.9367,WICHITA RIVER,HR,1924,91,51,377626,144162,33420,12.67881238,63.34416079,5.018364361,46.01393841,0.902234087,173.454,8.9872653,0.708841366,0.34906855,41222902,NA,1.11E+13,37169,0.76,3,1.8,0.1,0,0,0,0.1,0.1,0.2,0.2,37,36,4.8,18,0,1.2,1,0,2,11,1,1,0,23,5,4,5,0,0,3,0,23,35,11,54,0.2317,0.02309,13.02,4.27,8.75,28.77,33.65,4.88,27,Central Great Plains,690.85,692.84,1.99,Red River
387,3171,TX01017,33.845,-98.5383,HOLLIDAY CREEK,HR,1901,114,34,76300,57280,5620,5.3013866,37.54755583,4.600254141,43.72509046,1.286032072,4.167,370.36857,69.86259542,0.512975451,6932158,NA,1.11E+13,36331,0.22,2,3.4,0.4,0.6,6.9,2,1.9,1.8,1.3,0.1,11,35,19.1,16,0,0.3,4,1,7,194,24,89,89,6,5,1,3,0,0,0,0,0,0,0,3,0.27064,0.08278,13.21,4.28,8.94,28.78,33.7,4.92,27,Central Great Plains,690.85,692.84,1.99,Red River
388,3203,TX01841,33.7283,-95.5667,PINE CREEK,R,1923,92,38,30794,27600,11011,4.96145036,20.73749259,2.626314974,22.51218323,0.592425874,36.0404,134.67948,27.1451876,0.273007069,13581848,145.1,1.11E+13,36503,0.62,1,0.7,4.3,0.1,2.8,0,1.9,16.5,0.2,1.1,0,0,61.3,11,0,0.1,161,15,203,541,63,14,13,46,21,16,61,3,5,0,0,0,0,0,0,0.68905,0.41552,13.42,4.13,9.29,28.3,33.41,5.12,33,East Central Texas Plains,978.2,916.33,-61.87,Red River
389,3225,TX02883,33.7617,-98.3667,LITTLE WICHITA RIVER,I,1966,49,58,270700,685000,228000,65.559132,175.6087612,6.118211318,42.28385355,0.729031958,18.3407,3.3151872,0.050567901,0.14106477,281233440,279.2,1.11E+13,36359,0.28,2,4.7,0.5,0,0.2,0,0,1.5,0.9,0.1,20,48,12.4,12,0,0.2,1,1,3,3,0,5,5,43,13,8,14,1,2,0,0,4,10,10,56,0.27589,0.08394,13.11,4.26,8.85,28.53,33.44,4.92,27,Central Great Plains,690.85,692.84,1.99,Red River
390,3233,TX03288,33.0567,-95.14,BIG CYPRESS CREEK,C,1971,44,73,69257,164000,72800,19.222585,77.19263146,4.966664706,34.52623653,0.472962144,101.282,194.24925,10.10526316,0.212717857,89797344,NA,1.11E+13,36851,0.98,1,7.7,2,0,0.1,0,0.6,28.5,2.4,10.8,0,0,45.5,2,0,0.1,52,18,90,330,14,6,4,36,12,33,77,6,8,0,0,0,0,0,0,0.11003,0,14.04,4.06,9.98,27.91,32.94,5.03,35,South Central Plains,1329.28,1264.43,-64.85,Red River
391,3249,TX03584,35.0367,-102.0267,PALO DURO CREEK,C,1926,89,43,62229,9240,5122,1.53375994,0,0,24.37989126,0.566974215,0,214.451172,139.8205805,0.531757559,6317885,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.21,4.2,6,25.41,30.36,4.96,25,High Plains,433.48,434.06,0.59,Red River
392,3250,TX03587,35.04,-101.77,PRARIE DOG TOWN FORK RED RIVER,I,1965,50,83,0,15850,4910,1.04408988,0,0,61.43396749,0.740168283,0,2156.684673,2065.612403,1.624053095,6056387,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,4.22,5.56,25.33,30.29,4.96,26,Southwestern Tablelands,450.21,442.99,-7.22,Red River
393,3253,TX03621,34.4717,-100.3583,H K CANYON,O,1922,93,43,19978,6800,4725,1.26666718,0,0,21.72518974,0.505236971,0,38.84985,30.67092652,0.521426288,5828193,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12,4.3,7.82,27.87,32.84,4.97,26,Southwestern Tablelands,450.21,442.99,-7.22,Red River
394,3254,TX03622,34.4767,-100.3717,BAYLOR CREEK,R,1950,65,50,19978,15950,10400,2.82875514,0,0,22.81825949,0.45636519,0,88.577658,31.31330472,0.366475917,12828192,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.14,4.3,7.84,27.92,32.89,4.97,26,Southwestern Tablelands,450.21,442.99,-7.22,Red River
395,3258,TX03698,35.0017,-100.8933,SALT FORK RED RIVER,C,1968,47,111,313545,100500,59800,8.1746572,24.83413415,2.450242898,49.75236103,0.448219469,8.6535,688.93734,84.27722772,0.470045093,73762104,NA,1.11E+13,36096,0.35,1,0.7,0.1,0,0.5,0,0.3,0,0,0,8,50,1.5,37,0,1.8,2,2,4,11,0,9,4,30,13,14,32,0,0,3,0,4,5,13,46,0,0,10.71,4.27,6.44,26.42,31.4,4.98,26,Southwestern Tablelands,450.21,442.99,-7.22,Red River
396,3266,TX03814,34.25,-99.6717,WANDERERS CREEK,R,1905,110,24,0,16000,7000,2.46453774,29.73007163,5.3422365,26.27251768,1.094688237,0,110.333574,44.76847291,0.452058417,8634360,454.2,1.11E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.06,4.29,7.77,28.39,33.32,4.93,27,Central Great Plains,690.85,692.84,1.99,Red River
397,3270,TX03887,32.84,-94.5483,JOHNSON CREEK,R,1961,54,57,14639,21716,10038,2.63450586,22.2432014,3.865828655,33.35783433,0.585225164,0,28.48989,10.8141321,0.555148111,12381672,85.3,1.11E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.57,3.99,10.58,28.08,33.1,5.02,35,South Central Plains,1329.28,1264.43,-64.85,Red River
398,3279,TX04010,32.9183,-94.725,ELLISON CREEK,O,1943,72,46,39149,36000,24700,6.13503976,29.64903308,3.3767331,23.74664733,0.516231464,0,95.82963,15.62005277,0.258972837,30466956,81.7,1.11E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.03,4.01,11.02,28.67,33.7,5.03,35,South Central Plains,1329.28,1264.43,-64.85,Red River
399,3280,TX04013,33.08,-95.0433,BLUNDELL CREEK,O,1973,42,46,38000,47600,40100,8.09372,0,0,23.79994536,0.517390117,0,93.23964,11.52,0.225976082,49462548,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.03,4.05,9.98,27.95,33,5.05,33,East Central Texas Plains,978.2,916.33,-61.87,Red River
400,3281,TX04017,33.1683,-95.0133,TANKERSLEY CREEK,I,1957,58,36,15378,4100,2700,1.1128865,0,0,14.90905668,0.414140463,0,14387.39445,12928,0.381755526,3330396,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.82,4.06,9.76,27.88,32.96,5.08,33,East Central Texas Plains,978.2,916.33,-61.87,Red River
401,3292,TX04316,34.5433,-101.4367,TULE CREEK,C,1974,41,180,77900,69249,46077,3.62598656,14.81702774,2.195042281,77.28665293,0.429370294,11.6653,0.7510971,0.207142857,1.096357035,56835058,NA,1.11E+13,36054,0.25,2,0.3,0,0,0.1,0,0.3,0,0.1,0.1,3,26,1.8,68,0,0.2,1,0,1,10,1,2,1,57,24,18,51,0,0,1,0,2,3,5,20,0.01874,0,10.07,4.25,5.82,25.27,30.21,4.95,25,High Plains,433.48,434.06,0.59,Red River
402,3293,TX04356,33.1733,-95.61,WHITE OAK CREEK,R,1973,42,30,49800,34700,17838,7.74164318,19.64629088,1.991860346,18.13900697,0.604633566,99.6807,NA,NA,0.176099262,22002816,NA,1.11E+13,36823,0.97,1,2.5,3.6,0.1,1.8,0,1.4,9.8,0.1,1.6,0,0,75.6,2,0,0.5,142,18,177,615,56,13,7,32,20,39,72,1,1,0,0,0,0,0,0,0.35082,0.0312,13.84,4.11,9.74,28.01,33.02,5.01,33,East Central Texas Plains,978.2,916.33,-61.87,Red River
403,3294,TX04357,33.0433,-94.8333,SWAUANO CREEK,C,1975,40,54,21840,50300,23587,5.5239639,38.85771844,4.663873608,36.84973225,0.682402449,11.6114,56.461782,10.22124542,0.423515709,29094093,97.5,1.11E+13,36846,0.39,1,8.5,3,0,0.1,0,0.3,19.8,4.4,6.7,0,0,54.5,2,0,0.4,44,13,75,156,5,5,3,19,12,40,80,7,6,0,0,0,0,0,0,0.08386,0,14.53,4.03,10.51,28.33,33.39,5.06,35,South Central Plains,1329.28,1264.43,-64.85,Red River
404,3295,TX04358,33.755,-99.145,BIG WICHITA RIVER,R,1923,92,110,534400,1078000,268000,66.9350644,255.6871624,8.816109421,65.17518291,0.592501663,158.321,8.4433674,0.126142684,0.215186994,330572640,NA,1.11E+13,37168,0.73,3,0.5,0.1,0,0.1,0,0.1,0.1,0.3,0.2,37,36,4.9,20,0,1.3,1,0,1,32,9,1,1,29,13,5,15,0,1,4,0,21,34,8,37,0.06545,0,13.01,4.27,8.74,28.83,33.71,4.88,26,Southwestern Tablelands,450.21,442.99,-7.22,Red River
405,3296,TX04359,33.85333,-95.54833,SANDERS CREEK,R,1967,48,92,4450,457800,189100,24.25283198,90.25002547,5.169648264,76.38894528,0.830314623,176.914,453.24825,18.68846988,0.41899601,233251068,137.5,1.11E+13,36500,0.95,2,1.1,7.8,0,0,0,0.5,19.9,1.9,0.3,0,1,53.4,14,0,0.1,85,15,120,465,57,2,2,51,24,17,66,4,8,0,0,0,0,0,1,0.61346,0.19826,13.36,4.14,9.23,27.93,33.06,5.14,33,East Central Texas Plains,978.2,916.33,-61.87,Red River
406,3309,TX04785,33.075,-95.0017,BIG CYPRESS CREEK,R,1978,37,66,234602,306093,213350,38.2832956,0,0,32.35647963,0.490249691,0,619.00761,16.16913319,0.141259352,263162958,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.06,4.05,10.01,27.97,33.02,5.05,35,South Central Plains,1329.28,1264.43,-64.85,Red River
407,3319,TX05879,33.3817,-95.315,OFF CH-SOUTH SULPHUR RIVER,R,1982,33,18,0,4776,3849,1.414782256,4.491368556,1.065194176,13.66129587,0.758960882,0,NA,NA,0.310247077,4747665,NA,1.11E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91,4.1,9.8,27.94,33.06,5.12,33,East Central Texas Plains,978.2,916.33,-61.87,Red River
408,3324,TX05996,33.79667,-99.83667,SOUTH FORK WICHITA RIVER,I,1983,32,102,35400,116200,107000,12.0596428,19.68718718,1.599231514,38.99319907,0.382286265,0,67.33974,5.583892617,0.30330687,131982360,NA,1.11E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75,4.28,8.47,28.55,33.43,4.87,26,Southwestern Tablelands,450.21,442.99,-7.22,Red River
409,3337,TX06485,32.7633,-94.9817,KELSEY CREEK,T,1996,19,43,71100,26000,12720,3.6219397,17.79383007,2.637507614,29.05021264,0.67558634,0,92.203644,25.45698324,0.412324661,15689866,NA,1.11E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.38,4.04,10.34,27.91,32.9,4.98,35,South Central Plains,1329.28,1264.43,-64.85,Red River
410,3340,TX07048,33.2014,-94.9894,HAYES CREEK,T,1996,19,0,0,68,45,1.22619858,0,0,0.224421927,0,0,1.035996,0.844884488,0.005474513,55507,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.74,4.06,9.68,27.87,32.96,5.09,33,East Central Texas Plains,978.2,916.33,-61.87,Red River
411,52,AR00042,35.1335,-92.43353,BEAVER FORK,S,1956,59,24,4295,19514,10600,5.64132284,18.01550815,2.139690362,13.99853314,0.595682261,0,28.48989,5.050215208,0.159203516,13074888,90.2,1.11E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.89,4.03,7.85,27.05,32.47,5.42,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
412,53,AR00064,34.95015,-92.40008,PALARM CREEK,SR,1950,65,8,7535,40200,21440,27.113962,91.45595668,4.954620516,5.999986226,0.749998278,0,NA,NA,0.031125359,26445811,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,4.02,8.15,27.18,32.59,5.41,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
413,54,AR00081,34.85006,-92.48339,MAUMELLE CREEK,S,1957,58,62,8628,220000,221000,36.017054,99.65692752,4.684338722,24.83140367,0.400506511,204.981,355.605627,9.873258427,0.111765504,272599080,NA,1.11E+13,36003,1.3,1,10.4,0.3,0,0,0,0.1,33.3,32.7,20.7,0,0,1.8,0,0,0.5,72,10,109,157,4,6,8,4,5,1,13,37,72,1,1,0,0,0,0,0.94961,0.95859,12.21,4.01,8.2,27.14,32.54,5.4,36,Ouachita Mountains,1362.21,1345.45,-16.76,Arkansas
414,56,AR00127,34.70005,-92.13333,ARKANSAS RIVER-OS,R,1955,60,7,315,720,420,1.39211984,10.58189661,2.52999751,2.093018451,0.299002636,0,NA,NA,0.047917632,518062,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.47,3.98,8.49,27.33,32.72,5.39,73,Mississippi Alluvial Plain,1393.15,1359.99,-33.16,Arkansas
415,60,AR00157,35.10167,-93.64333,PETIT JEAN,CSR,1947,68,81,76300,258000,25000,11.7763626,59.58805885,4.898335688,88.65959028,1.094562843,624.267,1263.91512,107.3264605,0.697879978,30837000,NA,1.11E+13,36899,1.68,2,1.1,0.3,0,0.1,0,0.1,44.7,6.4,21.7,0,0,24.6,1,0,0.1,44,16,72,323,33,5,2,12,3,33,75,19,20,0,0,0,0,0,0,0.8904,0.91558,11.54,4.12,7.42,26.8,32.25,5.45,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
416,61,AR00159,36.25,-92.24,NORTH FORK OF THE WHITE,CHSRF,1944,71,206,331000,1983000,31000,89.03092,507.2287705,15.16450853,90.13615671,0.437554159,210.579,4677.52194,52.53818182,0.258041293,38237880,NA,1.1E+13,36944,1.32,1,0.8,0.2,0.1,0,0,0.1,51.7,4.7,9.5,0,0,30.3,1,0,1.1,71,9,102,334,40,2,2,18,14,26,58,23,24,1,2,0,0,0,0,0.71529,0.29735,10.07,4.16,5.91,25.48,30.9,5.42,39,Ozark Highlands,1142.71,1180.65,37.94,Arkansas
417,63,AR00162,35.25,-93.16667,ARKANSAS,NHSR,1969,46,55,1500000,486200,420900,138.807298,685.6326102,16.41648622,14.17489457,0.257725356,32436.4,398089.233,2867.927697,0.032499321,519171732,103,1.11E+13,35873,2.49,6,1.1,0.5,0.1,0.6,0,0.4,7.6,4.1,0.8,6,47,10.8,20,0,0.4,7,2,12,130,13,13,12,41,19,14,45,5,8,0,0,0,1,3,16,0.91288,0.80175,12.02,4.1,7.93,27.16,32.63,5.47,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
418,64,AR00163,35.35,-94.29167,ARKANSAS,NHR,1969,46,26,435000,59100,53100,27.5995852,404.8317787,21.73793122,8.665669256,0.333294971,32436.4,389967.0243,14129.45455,0.044556538,65497788,NA,1.11E+13,35873,2.49,6,1.1,0.5,0.1,0.6,0,0.4,7.6,4.1,0.8,6,47,10.8,20,0,0.4,7,2,12,130,13,13,12,41,19,14,45,5,8,0,0,0,1,3,16,0.91288,0.80175,11.89,4.19,7.7,27.33,32.72,5.39,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
419,65,AR00164,35.47333,-93.81,ARKANSAS,NHR,1969,46,33,570000,148400,129000,42.896716,685.6326102,29.53074026,13.99996786,0.42424145,32436.4,393160.482,9165.283019,0.057739846,159118920,103,1.11E+13,35873,2.49,6,1.1,0.5,0.1,0.6,0,0.4,7.6,4.1,0.8,6,47,10.8,20,0,0.4,7,2,12,130,13,13,12,41,19,14,45,5,8,0,0,0,1,3,16,0.91288,0.80175,11.34,4.16,7.18,26.72,32.15,5.43,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
420,66,AR00165,35.125,-92.78667,ARKANSAS,NHR,1969,46,26,518000,70400,48800,22.9052276,0,0,12.43813399,0.478389769,0,401316.3605,17520.73498,0.070201845,60193824,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,4.05,7.73,27.02,32.47,5.45,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
421,67,AR00166,34.41167,-92.10333,ARKANSAS,NRI,1968,47,30,459000,68500,61300,27.0330248,0,0,10.25446748,0.341815583,0,410622.1946,15189.65269,0.05327536,75612324,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,3.95,8.75,27.39,32.76,5.37,73,Mississippi Alluvial Plain,1393.15,1359.99,-33.16,Arkansas
422,68,AR00167,34.24833,-91.90333,ARKANSAS,NR,1968,47,32,375000,77000,70400,22.9861648,0,0,13.55630691,0.423634591,0,410922.6334,17876.95775,0.07637808,86836992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.82,3.91,8.91,27.64,32.98,5.34,73,Mississippi Alluvial Plain,1393.15,1359.99,-33.16,Arkansas
423,71,AR00170,35.07667,-92.53833,ARKANSAS,NR,1969,46,35,368000,37300,33000,16.7135318,0,0,9.031456264,0.258041608,0,405038.1761,24234.15012,0.059673879,40704840,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.07,4.03,8.04,27.19,32.61,5.42,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
424,72,AR00171,34.79167,-92.35833,ARKANSAS,NHR,1969,46,22,416000,108500,87100,39.254542,135.542194,6.102734061,11.18554133,0.508433697,78.4422,409296.1197,10426.72165,0.048225046,107436108,NA,1.11E+13,35922,0.88,1,5.4,2.9,0.4,3.1,0,1.6,42.6,2.1,14.3,0,0,24.4,2,0,0.2,93,27,130,186,17,27,18,15,8,10,31,20,43,0,1,0,0,0,0,0.93191,0.94582,12.4,4.01,8.4,27.39,32.79,5.4,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
425,73,AR00172,34.66667,-92.155,ARKANSAS,NR,1968,47,25,340000,59600,49500,19.0607106,177.6597258,11.47927169,12.65389876,0.506155951,41016.3,409964.3371,21508.3482,0.078291644,61057260,NA,1.11E+13,35997,2.73,6,1.2,0.6,0.1,0.6,0,0.4,8.7,4.5,1.5,6,45,11.3,20,0,0.4,10,3,16,125,12,13,10,37,15,17,53,7,9,0,0,0,1,3,12,0.95908,0.96539,12.51,3.98,8.53,27.33,32.71,5.38,73,Mississippi Alluvial Plain,1393.15,1359.99,-33.16,Arkansas
426,75,AR00174,36.41667,-93.84833,WHITE,CHSR,1963,52,216,342000,1952000,1652000,114.2023892,715.9227098,18.8983303,69.17064206,0.320234454,1114.44,3071.72814,26.897236,0.174841617,2037708960,338.9,1.1E+13,33948,1.7,3,2.2,0.8,0.2,0.6,0,0.3,50.4,3.5,7.1,0,0,32.3,2,0,0.1,44,7,68,600,126,6,3,10,4,54,84,12,8,0,0,0,0,0,0,0.4661,0.03505,10.22,4.25,5.97,25.44,30.83,5.39,39,Ozark Highlands,1142.71,1180.65,37.94,Arkansas
427,76,AR00267,35.33342,-93.13357,ILLINOIS BAYOU,R,1911,104,26,0,1800,1800,137.7526047,685.6326102,16.47921222,0.052879808,0.002033839,0,NA,NA,0.000121703,2220264,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.65,4.1,7.55,26.86,32.33,5.47,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
428,77,AR00271,35.20026,-92.93344,HORSEHEAD BRANCH,R,1946,69,25,1525,13928,7760,3.04323872,17.92689549,2.898891544,18.52123408,0.740849363,0,25.8999,8.510638298,0.286789016,9571805,NA,1.11E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.73,4.07,7.65,26.97,32.43,5.46,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
429,78,AR00288,36.06667,-94.0667,WHITE RIVER,RO,1960,55,40,0,6000,3200,1.9829614,37.09320185,7.43074031,12.24486985,0.306121746,238.314,466.1982,235.1020408,0.234886278,3947136,NA,1.1E+13,33953,1.1,2,1.3,0.7,0,0.1,0,0.1,64.4,5.4,7.4,0,0,19.1,1,0,0,55,8,84,495,93,3,2,7,3,46,81,19,14,0,0,0,0,0,0,0.44091,0.03369,10.15,4.21,5.94,25.28,30.64,5.36,38,Boston Mountains,1268.04,1280.72,12.68,Arkansas
430,79,AR00356,35.18358,-92.73333,OVERCUP CREEK,F,1963,52,20,0,12000,6000,4.1480315,17.0969529,2.368059354,11.7072902,0.58536451,30.0162,42.475836,10.24,0.155273007,7400880,NA,1.11E+13,35929,0.58,1,5.2,0,0,0.9,0,0.7,40.6,2,10.2,0,0,39.2,1,0,0,102,24,145,454,15,19,15,26,10,28,65,9,10,0,0,0,0,0,0,0.57417,0.14375,11.68,4.05,7.63,26.97,32.42,5.45,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
431,80,AR00378,36.05023,-91.13342,FLAT CREEK,CR,1962,53,46,6830,16857,6440,2.27433532,23.95123858,4.48018162,29.99459306,0.652056371,0,40.144845,17.65124555,0.537249883,7943611,NA,1.1E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85,4.08,6.77,26.83,32.22,5.4,73,Mississippi Alluvial Plain,1393.15,1359.99,-33.16,Arkansas
432,82,AR00442,35.53333,-93.4501,DICKS CREEK,SR,1950,65,40,6421,5000,3886,1.0521836,0,0,19.23072508,0.480768127,0,12.431952,11.81538462,0.506419591,4793303,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.03,4.14,6.89,26.53,31.97,5.44,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
433,83,AR00445,35.68344,-94.11667,FROG BAYOU,S,1954,61,99,88130,19163,12300,1.9020242,11.11568397,2.273647128,40.77224683,0.411840877,162.146,162.392373,85.3787234,0.798577792,15171804,NA,1.11E+13,35890,1.19,1,1.5,0.2,0,0.2,0,0.1,61.7,7.3,13.1,0,0,14.8,1,0,0.1,76,12,116,296,26,6,4,11,3,23,63,27,30,0,0,0,0,0,0,0.77069,0.39405,10.55,4.18,6.37,25.31,30.67,5.37,38,Boston Mountains,1268.04,1280.72,12.68,Arkansas
434,84,AR00446,35.65017,-94.1336,FROG BAYOU,S,1936,79,63,109309,14636,12000,1.77252468,12.03806616,2.550677032,33.4154484,0.530403943,162.146,168.34935,94.97716895,0.677971989,14801760,NA,1.11E+13,35890,1.19,1,1.5,0.2,0,0.2,0,0.1,61.7,7.3,13.1,0,0,14.8,1,0,0.1,76,12,116,296,26,6,4,11,3,23,63,27,30,0,0,0,0,0,0,0.77069,0.39405,10.74,4.18,6.57,25.55,30.92,5.37,38,Boston Mountains,1268.04,1280.72,12.68,Arkansas
435,90,AR00562,35.51689,-93.83353,SOUTH FORK OF WHITE OAK CREEK,S,1971,44,90,16950,16700,12000,1.84536816,7.864228708,1.633087726,36.62272294,0.406919144,121.046,47.914815,25.96491228,0.72823194,14801760,NA,1.11E+13,35875,1.06,1,2.9,0.4,0,0.1,0,0.1,26,11.3,15,0,0,42.1,1,0,0.3,91,22,136,848,143,2,1,10,1,56,91,11,7,0,0,0,0,0,0,0.85416,0.76461,11.2,4.17,7.03,26.63,32.04,5.42,37,Arkansas Valley,1210.94,1212.26,1.32,Arkansas
