STATE,RESINFO,RESNAME1,RESID,LONGITUDE,LATITUDE,CLUSID
KS,66,Horsethief Reservoir,KS66,-100.05372,38.059175,SPL                1
KS,67,Finney State Fishing Lake,KS67,-100.8854,37.9499,SPL                2
KS,68,Middle Creek State Fishing Lake,KS68,-94.6861,38.5036,TPL                1
KS,69,Carbondale City Lake,KS69,-95.6402,38.81776,TPL                2
KS,7,Cedar Bluff Reservoir,KS7,-99.72222,38.79389,SPL                3
KS,70,Eureka City Lake,KS70,-96.2904,37.8975,TPL                2
KS,71,Herington City Lake,KS71,-97.0062,38.6618,TPL                1
KS,72,Herington Reservoir,KS72,-96.9989,38.6691,TPL                2
KS,73,Lake Shawnee,KS73,-95.8036,39.2003,TPL                1
KS,74,Lake Afton,KS74,-97.6313,37.606,SPL                3
KS,75,Harvey County East Lake,KS75,-97.1976,38.046,SPL                3
KS,76,Council Grove City Lake,KS76,-96.55344,38.67764,TPL                1
KS,8,Cedar Valley Reservoir,KS8,-95.31197,38.25708,TPL                2
KS,9,Cheney Reservoir,KS9,-97.80196,37.72297,SPL                5
KY,10,Dewey Lake,KY10,-82.73,37.73667,SAP                3
KY,11,Herrington Lake,KY11,-84.70583,37.78556,SAP                3
KY,12,doe valley lake,KY12,-86.11611,37.99861,SAP                1
KY,13,Fishtrap Lake,KY13,-82.41667,37.43167,SAP                3
KY,14,Grayson Lake,KY14,-82.985,38.25333,SAP                1
KY,15,Green River Lake,KY15,-85.34167,37.245,SAP                1
KY,16,Spotsville pool Green River,KY16,-87.40833,37.85833,TPL                1
KY,17,Green River Calhoun pool,KY17,-87.265,37.53167,TPL                1
KY,18,Green River Lock 3 Pool,KY18,-86.9,37.21333,TPL                3
KY,19,Green River Lock 5 pool,KY19,-86.40333,37.16833,TPL                3
KY,2,Lake Barkley,KY2,-88.22,37.02167,SAP                3
KY,20,Green River Lock 6 pool,KY20,-86.26,37.20667,TPL                3
KY,21,Greenup Pool,KY21,-82.85833,38.64667,SAP                3
KY,22,Guist Creek Lake,KY22,-85.15833,38.20722,SAP                3
KY,23,Uniontown Pool Ohio River,KY23,-87.95833,37.77,TPL                1
KY,24,Kentukcy Lake,KY24,-88.108,36.242,CPL                3
KY,25,Kentucky River Pool 11,KY25,-84.1032,37.78443,SAP                4
KY,26,Kentucky River Pool 12,KY26,-83.9482,37.67731,SAP                1
KY,27,Kentucky River pool 13,KY27,-83.8327,37.60166,SAP                1
KY,28,Kentucky River pool 14,KY28,-83.7696,37.55246,SAP                1
KY,29,Pool 5 Kentucky River,KY29,-84.8304,38.05214,SAP                3
KY,3,Barren River Lake,KY3,-86.125,36.89667,SAP                4
KY,30,Pool 6 Kentucky River,KY30,-84.8215,37.92678,SAP                3
KY,31,Pool 7 Kentucky River,KY31,-84.7242,37.82954,SAP                3
KY,32,Pool 8 Kentucky River,KY32,-84.5871,37.74568,SAP                3
KY,33,Pool 9 Kentucky River,KY33,-84.4404,37.84329,SAP                3
KY,35,Laurel River Lake,KY35,-84.27333,36.95667,SAP                1
KY,37,Markland Pool,KY37,-84.965,38.77667,SAP                3
KY,38,Martins Fork Lake,KY38,-83.25833,36.75167,SAP                1
KY,39,McAlpine Pool,KY39,-85.76833,38.27167,SAP                3
KY,4,Lake Beshear,KY4,-87.68139,37.14833,TPL                3
KY,40,Lake Malone,KY40,-87.03333,37.08167,TPL                3
KY,41,Newburgh Pool,KY41,-87.375,37.92833,TPL                1
KY,42,Nolin River Lake,KY42,-86.245,37.27833,TPL                3
KY,43,Ohio River L&D 52,KY43,-88.65167,37.12167,TPL                1
KY,44,Ohio River  L&D 53,KY44,-89.03667,37.19833,TPL                1
KY,45,Paintsville Lake,KY45,-82.87,37.83667,SAP                1
KY,46,Lake Linville,KY46,-84.33472,37.38278,SAP                4
KY,47,Rough River Lake,KY47,-86.5,37.62,SAP                1
KY,48,Taylorsville Lake,KY48,-85.31667,38,SAP                3
KY,49,Williamstown Lake,KY49,-84.51833,38.67667,SAP                3
KY,5,Buckhorn Lake,KY5,-83.47167,37.34,SAP                3
KY,50,Lake Cumberland,KY50,-85.145,36.87167,SAP                1
KY,51,Wood Creek Lake,KY51,-84.19722,37.21389,SAP                1
KY,52,Yatesville Lake,KY52,-82.69833,38.12667,SAP                3
KY,6,Ohio River Cannelton pool,KY6,-84.38667,38.87722,SAP                1
KY,7,Carr Creek Lake,KY7,-83.05667,37.22333,SAP                3
KY,77,Cedar Creek Lake,KY77,-84.551153,37.489842,SAP                1
KY,8,Cave Run Lake,KY8,-83.53333,38.11833,SAP                1
KY,9,Meldahl Pool,KY9,-84.17,38.79,SAP                3
LA,12,Bundick Lake,LA12,-93.09,30.733,CPL                3
LA,13,Caddo Lake,LA13,-93.91833,32.70667,CPL                2
LA,14,Cane River,LA14,-92.975,31.568,CPL                1
LA,15,Caney Lake,LA15,-92.499,32.218,CPL                3
LA,16,Choctaw Bayou,LA16,-92.173,31.089,CPL                3
LA,17,Cheniere,LA17,-92.182,32.456,CPL                3
LA,18,Chicot Lake,LA18,-92.269,30.828,CPL                1
LA,2,Bayou Bonne Idee,LA2,-91.714,32.662,CPL                4
LA,20,Cleco/Rodemacher,LA20,-92.717,31.382,CPL                1
LA,23,Corney Lake,LA23,-92.736,32.904,CPL                2
LA,24,Cotile Lake,LA24,-92.733,31.338,CPL                1
LA,25,Cross Lake,LA25,-93.803,32.515,CPL                2
LA,26,Cypress Bayou Reservoir (Cypress Lake),LA26,-93.664,32.652,CPL                2
LA,27,Black Bayou Reservoir (Black Bayou - Bossier),LA27,-93.668,32.648,CPL                2
LA,28,Flag Lake,LA28,-93.587,32.505,CPL                2
LA,29,Grand Bayou Reservoir,LA29,-93.214,31.998,CPL                3
LA,3,Cocodrie Lake,LA3,-92.382,31.001,CPL                3
LA,30,Iatt Lake,LA30,-92.66,31.555,CPL                1
LA,31,Bodcau,LA31,-93.498,32.95,CPL                3
LA,32,Indian Creek Lake,LA32,-92.46,31.128,CPL                1
LA,33,Ivan Lake,LA33,-93.495,32.831,CPL                2
LA,35,Red River Pool 2,LA35,-92.29333,31.18667,CPL                1
LA,36,Catahoula Lake,LA36,-91.86167,31.48333,CPL                1
LA,37,Black River,LA37,-91.86167,31.48333,CPL                1
LA,38,Kepler Lake,LA38,-93.153,32.317,CPL                2
LA,39,Kincaid Lake,LA39,-92.614,31.282,CPL                1
LA,40,Lake Bistineau,LA40,-93.427,32.327,CPL                2
LA,41,Lake Claiborne,LA41,-92.904,32.739,CPL                3
LA,42,Lake Martin,LA42,-91.906,30.222,CPL                1
LA,45,French Fork Old River,LA45,-91.97833,31.57833,CPL                1
LA,46,Anacoco Lake,LA46,-93.384,31.092,CPL                3
LA,47,Mill Creek Reservoir,LA47,-92.99,32.17,CPL                3
LA,48,Miller's Lake,LA48,-92.378,30.755,CPL                3
LA,49,Nantachie Lake,LA49,-92.785,31.604,CPL                1
LA,5,Bayou DeSiard,LA5,-92.12,32.554,CPL                4
LA,50,Poverty Point,LA50,-91.491,32.483,CPL                3
LA,51,Red River Pool 3,LA51,-92.68333,31.48333,CPL                1
LA,53,saline lake,LA53,-92.932,31.853,CPL                1
LA,54,Sibley Lake,LA54,-93.758,31.755,CPL                1
LA,55,Clear / Smithport Lake,LA55,-93.563,32.116,CPL                2
LA,56,Spanish Lake,LA56,-91.862,30.071,CPL                3
LA,57,Toledo Bend Reservoir,LA57,-93.5684,31.1857,CPL                3
LA,58,Turkey Creek,LA58,-91.771,31.905,CPL                3
LA,59,Bayou Nezpique,LA59,-92.479,30.829,CPL                3
LA,6,Black Bayou Lake at Hosston (Caddo Parish),LA6,-93.898,32.882,CPL                2
LA,60,Vernon Lake,LA60,-93.358,31.177,CPL                3
LA,61,Wallace Lake,LA61,-93.67,32.31667,CPL                2
LA,7,Black-Clear Lake,LA7,-92.952,31.855,CPL                1
MD,13,Prettyboy Reservoir,MD13,-76.7074,39.6196,SAP                4
MD,15,Savage River Reservoir,MD15,-79.13445,39.5075,SAP                1
MD,3,Conowingo Pool,MD3,-76.1735,39.661,SAP                3
MD,4,Deep Creek Lake,MD4,-79.3916,39.5091,SAP                4
MD,5,Jennings Randolph Lake,MD5,-79.07167,39.48022,SAP                1
MD,7,Little Seneca Lake,MD7,-77.3,39.185,SAP                4
MI,14,Barton Pond,MI14,-83.7543,42.3083,TPL                3
MN,102,Rabideau Lake,MN102,-94.5434,47.63176,UMW                1
MN,11,Boulder Lake Reservoir,MN11,-92.2,47.0517,UMW                1
MN,112,Big Sandy Lake,MN112,-93.31967,46.78792,UMW                1
MN,114,Mississippi River,MN114,-94.2,45.6167,UMW                1
MN,115,Big Sauk Lake,MN115,-94.95176,45.74027,UMW                1
MN,119,Mississippi River,MN119,-94.15,45.55,UMW                1
MN,124,Sylvan Lake,MN124,-94.3783,46.305,UMW                1
MN,128,Thomson,MN128,-92.4067,46.665,UMW                1
MN,145,Whiteface Reservoir,MN145,-92.1917,47.28,UMW                1
MN,149,Wild Rice,MN149,-92.1617,46.91,UMW                1
MN,154,Grindstone Reservoir,MN154,-93.007429,46.125218,UMW                1
MN,155,Bear Creek Reservoir,MN155,-92.314539,43.98948,UMW                1
MN,21,Horseshoe Chain of Lakes,MN21,-94.42285,45.4554,UMW                1
MN,36,Fish Lake Reservoir,MN36,-92.2783,46.9567,UMW                1
MN,52,Island Lake Reservoir,MN52,-92.225,46.9917,UMW                1
MN,57,Lake Byllesby,MN57,-92.9333,44.5167,TPL                1
MN,61,Mississippi River,MN61,-94.3678,45.9756,UMW                1
MN,7,Zebulon Pike Reservoir,MN7,-94.3583,45.86,UMW                1
MN,9,Blandin Reservoir,MN9,-93.53,47.2317,UMW                1
MN,94,Placid Lake,MN94,-94.485,46.315,UMW                1
MO,11,Duck Creek Pool #1,MO11,-90.10139,37.0225,CPL                1
MO,14,Edwin Pape Lake (Concordia),MO14,-93.5817,38.93336,TPL                3
MO,15,Fellows Lake,MO15,-93.23102,37.31481,SAP                1
MO,16,Forest Lake,MO16,-92.65822,40.16961,TPL                3
MO,18,Harrisonville City Lake,MO18,-94.32583,38.76444,TPL                3
MO,19,Truman Reservori,MO19,-93.40167,38.26667,SAP                3
MO,2,Alpine Lake,MO2,-91.08155,38.7492,TPL                1
MO,20,Hazel Creek Lake,MO20,-92.62907,40.29973,TPL                1
MO,21,Holden City Lake,MO21,-94.0348,38.76115,TPL                1
MO,22,Indian Hills,MO22,-91.4575,38.1075,SAP                4
MO,23,Lake Jacomo,MO23,-94.3079,38.99298,TPL                3
MO,24,Lake Lotawana,MO24,-94.2468,38.93564,TPL                3
MO,25,Lake Paho,MO25,-93.65619,40.3991,TPL                2
MO,26,Lake Springfield,MO26,-93.26366,37.1121,SAP                4
MO,27,Lake St. Louis,MO27,-90.7652,38.80179,TPL                1
MO,29,Lake Viking,MO29,-94.05677,39.9381,TPL                1
MO,3,Atkinson Lake,MO3,-94.04638,38.00633,TPL                2
MO,30,Lake Winnebago,MO30,-94.35561,38.81785,TPL                3
MO,35,Mississippi River Pool 24,MO35,-90.90108,39.37905,TPL                2
MO,36,Upper Mississippi River Pool 25,MO36,-90.68385,39.00617,TPL                2
MO,37,Sandy Slough,MO37,-90.70475,39.02296,TPL                2
MO,38,Long Branch Lake,MO38,-92.51333,39.75167,TPL                1
MO,39,Longview Lake,MO39,-94.46833,38.92667,TPL                3
MO,40,McDaniel Lake,MO40,-93.31439,37.29469,SAP                1
MO,41,Upper Mississippi River Pool 20,MO41,-91.5149,40.1433,TPL                2
MO,42,Upper Mississippi River Pool 21,MO42,-91.4288,39.903,TPL                2
MO,43,Upper Mississippi River Pool 22,MO43,-91.2487,39.6354,TPL                2
MO,44,Montrose Lake,MO44,-93.91695,38.30861,TPL                1
MO,45,Mozingo Lake,MO45,-94.77625,40.34748,TPL                3
MO,46,Lake Nehai,MO46,-92.89191,39.5904,TPL                3
MO,47,Lake of the Ozarks,MO47,-92.6248,38.2031,SAP                3
MO,48,Pomme de Terre,MO48,-93.32,37.90167,SAP                3
MO,5,Blue Springs Lake,MO5,-94.33833,39.01833,TPL                1
MO,50,Prairie Lee Lake,MO50,-94.33096,38.94431,TPL                1
MO,51,Raintree Lake,MO51,-94.38159,38.83459,TPL                3
MO,52,Smithville Reservoir,MO52,-94.555,39.39833,TPL                1
MO,56,Stockton Lake,MO56,-93.75833,37.69167,SAP                1
MO,58,Sugar Creek Lake,MO58,-92.47917,39.47361,TPL                3
MO,61,Table Rock Lake,MO61,-93.30833,36.595,SAP                1
MO,63,Thomas Hill Reservoir,MO63,-92.6445,39.55104,TPL                1
MO,64,Lake Niangua,MO64,-92.8517,37.9383,SAP                3
MO,65,Wappapello,MO65,-90.27982,36.93151,SAP                3
MO,7,Mark Twain Lake,MO7,-91.64491,39.52595,TPL                1
MO,8,Salt River Re-regulation Pool,MO8,-91.6498,39.5453,TPL                2
MO,9,Clearwater Lake,MO9,-90.77167,37.13667,SAP                3
MS,10,Bluff Lake,MS10,-88.783743,33.279496,CPL                3
MS,15,Elvis Presley Lake,MS15,-88.6583,34.2967,CPL                1
MS,16,Enid Lake,MS16,-89.82167,34.15833,CPL                4
MS,18,Lock C,MS18,-90.1926,33.0297,CPL                2
MS,2,Aberdeen Lake,MS2,-88.52,33.83,CPL                2
MS,20,Lock E,MS20,-88.365,34.46333,CPL                2
MS,21,Lock B,MS21,-88.425,34.065,CPL                2
MS,22,Grenada Lake,MS22,-89.77167,33.80833,CPL                4
MS,23,Bay Springs Reservoir,MS23,-88.325,34.525,CPL                1
MS,24,Columbus Lake,MS24,-88.49,33.51667,CPL                2
MS,25,Lock D,MS25,-88.408423,34.362553,CPL                2
MS,26,Kemper County Lake,MS26,-88.715,32.8067,CPL                1
MS,27,Lake Bill Waller,MS27,-89.71667,31.19,CPL                1
MS,28,Lake Bogue Homa,MS28,-89.025,31.7033,CPL                1
MS,29,Lake Calling Panther,MS29,-90.4808,31.9708,CPL                1
MS,3,Lock A,MS3,-88.48892,34.012209,CPL                2
MS,33,Lake Lamar Bruce,MS33,-88.6694,34.3867,CPL                1
MS,35,Lake Lincoln,MS35,-90.3267,31.6783,CPL                1
MS,38,Loakfoma Lake,MS38,-88.778414,33.260686,CPL                3
MS,43,Okatibbee Reservoir,MS43,-88.79833,32.475,CPL                1
MS,44,Oktibbeha County Lake,MS44,-88.93166,33.505,CPL                2
MS,46,Geiger Lake,MS46,-89.23833,31.13389,CPL                1
MS,47,Lake Tangipahoa,MS47,-90.5286,31.175,CPL                1
MS,48,Ross Barnett Reservoir,MS48,-90.06361,32.40222,CPL                1
MS,49,Sardis Lake,MS49,-89.7868,34.4,CPL                4
MS,53,Trace State Park,MS53,-88.895,34.2367,CPL                1
MS,58,Whites Creek Lake,MS58,-89.2756,33.5536,CPL                3
MS,6,Arkabutla Lake,MS6,-90.12333,34.75667,CPL                4
MT,10,Cooney Reservoir,MT10,-109.2014,45.4499,NPL                2
MT,100,Yellow Water Reservoir,MT100,-108.4712,46.9023,NPL                2
MT,102,North Chinook Reservoir,MT102,-109.33063,48.773161,NPL                2
MT,103,Dodson Diversion Dam,MT103,-108.3099,48.41194,NPL                2
MT,14,Delmoe Lake,MT14,-112.3416,45.9843,WMT                2
MT,15,Dry Fork Reservoir,MT15,-109.2227,48.6644,NPL                1
MT,16,Eureka Reservoir,MT16,-112.3178,47.8784,NPL                1
MT,20,Frenchman Reservoir,MT20,-107.2243,48.9588,NPL                2
MT,21,Fresno Reservoir,MT21,-109.946,48.59951,NPL                1
MT,22,Gibson Reservoir,MT22,-112.7616,47.60138,NPL                1
MT,25,Hauser,MT25,-111.8863,46.7649,NPL                2
MT,26,Hebgen Reservoir,MT26,-111.3354,44.8623,WMT                1
MT,27,Helena Valley Regulating Reservoir,MT27,-111.8828,46.64132,WMT                2
MT,31,Holter,MT31,-112.0035,46.9913,NPL                2
MT,33,Hungry Horse Reservoir,MT33,-114.0126,48.34133,NPL                1
MT,35,Lake Frances,MT35,-112.2074,48.2629,NPL                1
MT,37,Lake Seventeen,MT37,-108.8669,48.0837,NPL                1
MT,42,Lake Koocanusa,MT42,-115.3083,48.41167,WMT                2
MT,47,Martinsdale Reservoir,MT47,-110.2681,46.452,NPL                2
MT,60,Nelson Reservoir,MT60,-107.5196,48.5238,NPL                2
MT,61,Nevada Reservoir,MT61,-112.8107,46.8024,WMT                2
MT,62,Newlan Creek Reservoir,MT62,-110.9376,46.6363,NPL                1
MT,64,Nilan Reservoir,MT64,-112.5389,47.4869,NPL                1
MT,66,Noxon Reservoir,MT66,-115.7306,47.9597,WMT                1
MT,68,Pishkun Reservoir,MT68,-112.454,47.69225,NPL                1
MT,7,Bynum Reservoir,MT7,-112.416,47.9648,NPL                1
MT,8,Canyon Ferry,MT8,-111.7281,46.6486,WMT                2
MT,82,Thompson Falls Reservoir,MT82,-115.35,47.5916,WMT                1
MT,83,Tiber Reservoir,MT83,-111.0969,48.32194,NPL                1
MT,85,Tongue River Reservoir,MT85,-106.7668,45.1309,NPL                2
MT,9,Clark Canyon Reservoir,MT9,-112.8588,45.00024,WMT                2
MT,92,Painted Rocks Reservoir,MT92,-114.2814,45.7174,WMT                1
MT,94,Willow Creek Reservoir,MT94,-112.4293,47.54682,NPL                1
MT,98,Harrison Lake or Willow Creek Reservoir,MT98,-111.6997,45.7138,WMT                2
NC,100,Wiggins Mill Reservoir,NC100,-77.951825,35.692367,CPL                3
NC,101,Buckhorn Reservoir,NC101,-78.124394,35.695086,SAP                4
NC,102,Mayo Reservoir,NC102,-78.87125,36.527571,SAP                4
NC,103,Lake Reidsville,NC103,-79.665828,36.284343,SAP                4
NC,104,Cane Creek Reservoir,NC104,-80.69194,34.835,SAP                1
NC,11,Lake Chatuge,NC11,-83.791,35.018,SAP                1
NC,12,Lake Cheoah,NC12,-83.9366,35.4484,SAP                1
NC,13,High Point City Lake,NC13,-79.945,35.995,SAP                4
NC,14,Farmer Lake,NC14,-79.36139,36.38472,SAP                4
NC,15,Lake Norman,NC15,-80.9587,35.435,SAP                1
NC,17,Falls of the Neuse Reservoir,NC17,-78.58167,35.94167,SAP                4
NC,18,Lake Fontana,NC18,-83.805,35.45333,SAP                1
NC,19,Lake Gaston,NC19,-77.811,36.5019,SAP                4
NC,2,Apalachia,NC2,-84.295,35.17,SAP                1
NC,26,High Rock Lake,NC26,-80.2349,35.6007,SAP                1
NC,28,Lake Hiwassee,NC28,-84.178,35.152,SAP                1
NC,3,B. Everett Jordan,NC3,-79.07,35.65667,SAP                4
NC,31,Lake Benson,NC31,-78.611,35.662,SAP                4
NC,32,Lake Brandt,NC32,-79.8381,36.1711,SAP                4
NC,33,Lake Holt,NC33,-78.772,36.167,SAP                4
NC,34,Lake Cammack,NC34,-79.412,36.177,SAP                4
NC,35,Lake Crabtree,NC35,-78.78222,35.83639,SAP                4
NC,37,Hyco Reservoir,NC37,-79.047,36.513,SAP                1
NC,4,Graham Mebane Reservoir,NC4,-79.32972,36.09972,SAP                4
NC,41,Lake Mackintosh,NC41,-79.50417,36.04028,SAP                4
NC,42,Lake Michie,NC42,-78.83,36.151,SAP                1
NC,44,Thom-a-lex,NC44,-80.193,35.871,SAP                1
NC,46,Lake Wheeler,NC46,-78.694,35.695,SAP                4
NC,49,Little River Reservoir,NC49,-78.86789,36.11222,SAP                1
NC,5,Bear Lake,NC5,-83.0724,35.2414,SAP                1
NC,52,Lookout Shoals Reservoir,NC52,-81.0908,35.7575,SAP                1
NC,54,Moss Lake,NC54,-81.457,35.276,SAP                4
NC,55,Mountain Island Lake,NC55,-80.9852,35.3359,SAP                1
NC,56,Lake Nantahala,NC56,-83.6538,35.1992,SAP                1
NC,59,Oak Hollow Lake,NC59,-79.986,36.012,SAP                4
NC,60,Lake Hickory,NC60,-81.1922,35.8214,SAP                1
NC,63,Lake James,NC63,-81.848,35.734,SAP                1
NC,68,Randleman Reservoir,NC68,-79.8113,35.836,SAP                4
NC,69,Lake Rhodhiss,NC69,-81.4381,35.7742,SAP                1
NC,7,Blewett Falls,NC7,-79.8798,34.988,SAP                1
NC,70,Roanoke Rapids Lake,NC70,-77.6733,36.4817,SAP                3
NC,71,Lake Reece,NC71,-79.97,35.681,SAP                4
NC,73,Salem Lake,NC73,-80.192,36.096,SAP                1
NC,74,Lake Santeetlah,NC74,-83.8767,35.3772,SAP                1
NC,76,Shearon Harris Reservoir,NC76,-78.95611,35.63333,SAP                4
NC,78,Tar River Reservoir,NC78,-77.885,35.899,CPL                3
NC,79,Lake Glenville,NC79,-83.1525,35.1962,SAP                1
NC,82,Lake Tillery,NC82,-80.0658,35.2067,SAP                1
NC,83,Lake Townsend,NC83,-79.732,36.189,SAP                4
NC,86,Tuckertown Lake,NC86,-80.1764,35.4851,SAP                1
NC,87,W. Kerr Scott Reservoir,NC87,-81.23333,36.15,SAP                1
NC,9,Cane Creek Lake,NC9,-80.688415,34.836702,SAP                1
NC,95,Badin Lake,NC95,-80.0931,35.4197,SAP                1
NC,97,Lake Twitty,NC97,-80.479367,35.035443,SAP                1
NC,98,Belews Lake,NC98,-80.026188,36.316785,SAP                1
NC,99,Lake Adger,NC99,-82.203062,35.338304,SAP                1
ND,19,Lake Sakakawea,ND19,-101.4317,47.50167,NPL                1
ND,24,Harvey Dam,ND24,-99.92217,47.76226,TPL                1
ND,45,Mt. Carmel Dam,ND45,-98.28019,48.90768,TPL                1
ND,46,Nelson Lake,ND46,-101.2064,47.06629,NPL                2
ND,49,Painted Woods Lake,ND49,-100.9634,47.20931,NPL                2
ND,5,Bowman-Haley Dam,ND5,-103.2467,45.98167,NPL                2
ND,55,Lake Audubon,ND55,-101.2673,41.607,SPL                1
ND,58,Sweet Briar Dam,ND58,-101.2579,46.86369,NPL                2
ND,59,"Lake Darling, Upper Souris NWR",ND59,-101.6,48.48333,TPL                3
ND,61,Heart Butte Reservoir,ND61,-101.860099,46.609887,NPL                2
ND,62,Patterson Lake,ND62,-102.852044,46.860778,NPL                2
ND,63,Garrison Diversion Unit Canal Lakes,ND63,-100.808258,47.537601,NPL                2
ND,8,Coal Mine Lake,ND8,-100.1366,47.6791,TPL                1
NE,12,Enders Reservoir,NE12,-101.521,40.435,SPL                3
NE,14,Jeffrey Reservoir,NE14,-100.4034,40.9598,SPL                3
NE,17,Lake McConaughy,NE17,-101.6667,41.2367,SPL                3
NE,23,Merritt,NE23,-100.8725,42.63363,SPL                3
NE,26,Oliver,NE26,-103.8105,41.22355,SPL                3
NE,27,Zorinsky Reservoir,NE27,-96.16,41.22,TPL                2
NE,28,Wehrspann Reservoir,NE28,-96.055,41.33833,TPL                2
NE,29,Glenn Cunningham Reservoir,NE29,-96.052709,41.339249,TPL                2
NE,30,Pawnee,NE30,-96.865,40.84,TPL                2
NE,34,Sutherland Reservoir,NE34,-101.1267,41.1367,SPL                5
NE,36,Wagon Train Reservoir,NE36,-96.58333,40.62,TPL                2
NE,37,Whitney Reservoir,NE37,-103.3158,42.77964,NPL                2
NE,38,Willow Creek,NE38,-97.55473,42.18044,TPL                1
NE,39,Yankee Hill,NE39,-96.78333,40.73167,TPL                2
NE,40,Swanson,NE40,-101.097765,40.160771,SPL                3
NE,41,Harry Strunk,NE41,-100.227613,40.388135,SPL                3
NE,42,Hugh Butler Reservoir,NE42,-100.671873,40.358187,SPL                3
NE,43,Lake Maloney,NE43,-100.779147,41.042398,SPL                3
NE,44,Lewis & Clark,NE44,-97.649975,42.849541,TPL                1
NE,45,Calamus Reservoir,NE45,-99.247427,41.858311,SPL                3
NE,46,Lake Babcock,NE46,-97.359645,41.482701,SPL                5
NE,47,Lake Minatare,NE47,-103.49174,41.933508,SPL                3
NE,48,Box Butte Reservoir,NE48,-103.090568,42.45956,SPL                3
NE,49,Bruning Pit,NE49,-97.484032,40.345448,SPL                5
NE,50,Johnson Lake,NE50,-99.854529,40.694045,SPL                5
NE,6,Bluestem Reservoir,NE6,-96.79,40.62833,TPL                2
NE,7,Branched Oak,NE7,-96.85333,40.97,TPL                2
NH,14,Baxter Lake,NH14,-71.0433,43.3213,NAP                1
NM,14,Conchas Reservoir,NM14,-104.19,35.40333,SPL                3
NM,15,Costilla Reservoir,NM15,-105.2783,36.875,WMT                2
NM,18,Eagle Nest Lake,NM18,-105.2296,36.5318,WMT                2
NM,20,Elephant Butte,NM20,-107.1919,33.15409,XER                3
NM,28,Maxwell Lake 12,NM28,-104.5907,36.5588,
NM,29,Maxwell Lake 13,NM29,-104.5862,36.5765,
NM,30,Maxwell Lake 2,NM30,-104.6336,36.60452,SPL                3
NM,4,Avalon,NM4,-104.2528,32.492,XER                3
NM,42,Santa rosa,NM42,-104.6883,35.02833,SPL                3
NM,43,Springer Lake,NM43,-104.6482,36.4164,
NM,44,Storrie Reservoir,NM44,-105.2281,35.6649,SPL                3
NM,45,Stubblefield Reservoir,NM45,-104.6667,36.5667,
NM,46,Sumner,NM46,-104.3898,34.60744,SPL                3
NM,47,Ute Lake,NM47,-103.4452,35.34949,SPL                1
NM,48,Lake Alice,NM48,-104.385654,36.954522,WMT                2
NM,49,Lake Maloya,NM49,-104.374201,36.9861,WMT                2
NM,50,Cabresto Lake,NM50,-105.497451,36.748367,WMT                2
NM,51,Maxwell Lake 14,NM51,-104.566934,36.582004,
NM,52,Clayton Lake,NM52,-103.298872,36.576697,SPL                1
NM,6,Brantley,NM6,-104.3781,32.54783,XER                3
NM,7,Caballo,NM7,-107.293,32.89623,XER                3
NV,14,Harmon,NV14,-118.6294,39.4753,XER                3
NV,21,Marlette Lake,NV21,-119.9064,39.1728,WMT                1
NV,22,Bassett Lake,NV22,-114.8197,39.4297,XER                1
NV,25,Old River,NV25,-118.7686,39.5244,XER                3
NV,26,S-line,NV26,-118.6964,39.5128,XER                3
NV,28,Rye Patch Reservoir,NV28,-118.2997,40.6097,XER                1
NV,29,Pit-Taylor,NV29,-118.2697,40.64,XER                1
NV,30,Ruby Lake National Wildlife Refuge,NV30,-115.4617,40.1828,XER                1
NV,34,South Fork Reservoir,NV34,-115.78,40.6797,XER                1
NV,39,Upper Pahranagat Reservoir,NV39,-115.15,37.31667,XER                1
NV,41,Wildhorse Reservoir,NV41,-115.8418,41.68675,XER                1
NV,42,Willow Creek Reservoir,NV42,-116.5361,41.21,XER                1
NV,43,Wilson Reservoir,NV43,-116.3497,41.6797,XER                1
NV,44,Lahontan,NV44,-119.172535,39.377568,XER                3
NV,6,Boyd Reservoir,NV6,-115.5314,40.8347,XER                1
NV,7,Chimney Reservoir,NV7,-116.5528,41.70993,XER                1
NV,9,cold springs reservoir,NV9,-115.1416,38.3379,XER                1
NY,1,Canadice Lake,NY1,-77.5725,42.74083,NAP                1
NY,10,Great Sacandaga Lake,NY10,-73.924,43.3179,NAP                1
NY,11,Union Falls Flow,NY11,-73.9162,44.5072,NAP                1
NY,12,Delta Lake,NY12,-75.42889,43.27444,NAP                1
NY,13,Carry Falls Reservoir,NY13,-74.7572,44.4523,NAP                1
NY,14,Salmon River Reservoir,NY14,-75.9195,43.5445,NAP                1
NY,15,Whitney Point Reservoir,NY15,-75.9701,42.3412,NAP                2
NY,16,Hemlock Lake,NY16,-77.61667,42.7775,NAP                1
NY,17,Quaker Lake,NY17,-73.562658,41.599141,NAP                1
NY,18,Rushford Lake,NY18,-78.18333,42.38,NAP                1
NY,2,Ashokan Reservoir,NY2,-74.21917,41.93806,NAP                1
NY,3,Rio Reservoir,NY3,-74.7559,41.4796,NAP                1
NY,4,Cannonsville Reservoir,NY4,-75.375,42.06361,NAP                1
NY,5,Goodyear Lake,NY5,-74.985,42.5036,NAP                1
NY,6,Lower Blenheim-Gilboa Reservoir,NY6,-74.4555,42.4538,NAP                1
NY,7,Pepacton Reservoir,NY7,-74.96611,42.07417,NAP                1
NY,8,Schoharie Reservoir,NY8,-74.45,42.39111,NAP                1
