,nid_id,lat,lon,river,purpose,yr_comp,res_age,hydr_hght,max_dis,max_stor,norm_stor,surf_area_km2,res_perim_km,sdi,mean_depth,mean_max_depth_ratio,mean_q,drain_area_km2,catch_surf_area_ratio,rel_depth_perc,lake_vol_m3,elev,reach_code,e2rf1,mean_v,strahler,water,wetlands,urb_grass,lo_urb_dev,hi_urb_dev,industry,for_dec,for_ever,for_mixed,shrub,grass,pasture,crops,orchards,barren,tn_bg_kg_km2_yr,tp_bg_kg_km2_yr,tn_bg_kg_km2_yr_atom,tn_kg_km2_yr,tp_kg_km2_yr,tn_point,tp_point,tn_fert,tp_fert,tn_ag_anml,tp_ag_anml,tn_forest,tp_forest,tn_barren,tp_barren,tn_shrub,tp_shrub,tn_grass,tp_grass,tn_frac,tp_frac,WinT_rcp85,WintT_abs,WinT_hist,SumT_hist,SumT_rcp85,SumT_abs,US_L3CODE,US_L3NAME,Histprecip,RCP85precip,ABSprecip
152,AZ00190,34.30111,-109.8475,Brown Creek,C,1987,28,NA,NA,2390,2390,1.1331208,NA,NA,8.53569469,NA,NA,88.05966,77.71428571,0.216601455,2948017.2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,4.32,3.03,20.09,25.01,4.92,23,Arizona/New Mexico Mountains,479.12,488.38,9.26
153,AZ00199,33.47583,-113.0667,Unnamed Washes,C,1982,33,NA,NA,NA,7600,5.058575,NA,NA,6.079986042,NA,NA,57.49777998,11.36640039,0.073021221,9374448,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.41,4.15,13.26,31.6,36.27,4.67,81,Sonoran Basin and Range,202.48,208.09,5.61
154,AZ00200,33.54889,-113.1003,Tr-Bouse Wash,C,1982,33,NA,NA,8000,8000,4.7752948,NA,NA,6.779645453,NA,NA,264.17898,55.3220339,0.083804529,9867840,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,4.14,13.06,31.35,36.03,4.69,81,Sonoran Basin and Range,202.48,208.09,5.61
155,AZ00201,33.36361,-112.8689,Off-channel,O,1981,34,NA,NA,6590,6200,1.06837104,NA,NA,24.96206391,NA,NA,1.035996015,0.969696984,0.652349059,7647576,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.58,4.16,14.41,32.75,37.41,4.66,81,Sonoran Basin and Range,202.48,208.09,5.61
156,AZ00202,33.735,-112.2286,New River,C,1985,30,NA,NA,102520,43520,7.2034108,NA,NA,57.5953734,NA,NA,424.75836,58.96629213,0.579667711,53681049.6,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,4.18,14.21,32.25,37.03,4.78,81,Sonoran Basin and Range,202.48,208.09,5.61
157,AZ00203,33.675,-112.1603,Skunk Creek/New River,C,1982,33,NA,NA,61000,18350,5.3418552,NA,NA,46.21201512,NA,NA,232.0631,43.4424235,0.540094126,22634358,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.55,4.18,14.37,32.41,37.19,4.78,81,Sonoran Basin and Range,202.48,208.09,5.61
158,AZ00242,34.96667,-113.1,North Mountain Hope Wash,P,NA,NA,NA,NA,2284,1500,1.0521836,NA,NA,8.784595218,NA,NA,22.53291251,21.41538415,0.231332469,1850220,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,4.16,4.75,21.9,26.87,4.97,23,Arizona/New Mexico Mountains,479.12,488.38,9.26
159,AZ00249,34.4875,-109.3614,No Wash Creek,I,NA,NA,NA,NA,NA,1128,1.369457399,NA,NA,3.333325741,NA,NA,NA,NA,0.076942111,1391365.44,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31,4.37,3.94,22.42,27.36,4.94,22,Arizona/New Mexico Plateau,272.63,284.91,12.28
160,AZ10003,33.6775,-112.4233,Trilby Wash,C,1956,59,NA,NA,23800,16800,9.0244978,NA,NA,10.67262124,NA,NA,639.72753,70.88789238,0.095966615,20722464,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37,4.17,14.2,32.38,37.12,4.75,81,Sonoran Basin and Range,202.48,208.09,5.61
161,AZ10007,33.71695,-112.0467,Cave Creek,C,1980,35,NA,NA,122000,46600,7.3652852,NA,NA,67.03281315,NA,NA,494.68809,67.16483516,0.66719574,57480168,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.31,4.19,14.12,32,36.8,4.81,81,Sonoran Basin and Range,202.48,208.09,5.61
162,AZ10307,36.91528,-111.4672,COLORADO RIVER,HIRO,1963,52,579,276000,29875000,2.70E+07,650.6703382,1229.339773,13.59522249,185.8078628,0.32091168,19,280638.3665,431.3065977,0.19676334,33303960000,1127.8,1.41E+13,42673,0.48,1,0,0,0,0,0,0.1,0,0.3,0,63.3,34.9,0,0,0,1.4,0,1,1,28,9,10,4,0,0,0,0,0,0,4,0,45,52,14,44,0,0,10.34,4.64,5.7,27.27,32.52,5.25,20,Colorado Plateaus,306.78,337.73,30.96
163,AZ10308,33.81528,-111.6025,VERDE RIVER,S,1938,77,210.6,175000,249693,178000,11.3919109,63.32727031,5.292822988,88.70068447,0.421180838,646.378,15060.79185,1322.060391,0.7098871,219559440,NA,1.51E+13,44514,1.05,4,0.1,0,0,0.2,0,0.1,0.4,44.2,1.2,47.1,5.7,0.2,0.1,0,0.5,1,0,1,26,5,23,11,0,1,0,0,34,36,0,0,23,46,1,6,0,0,15.67,4.2,11.47,29.02,33.84,4.82,81,Sonoran Basin and Range,202.48,208.09,5.61
164,AZ10309,35.17,-114.565,COLORADO RIVER,H,1952,63,140,216000,1592300,1592300,115.33551,NA,NA,55.87004718,0.399071766,NA,2390.56077,20.72701754,0.140526465,1964070204,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.27,4,14.27,33.58,38.48,4.9,14,Mojave Basin and Range,176.03,195.09,19.06
165,AZ10310,33.95278,-111.6917,VERDE RIVER,SI,1945,70,175,250000,214372,131427,11.37977032,30.34023177,2.537155216,76.23453338,0.435625905,620.234,14550.56382,1278.634424,0.610443679,162112576,NA,1.51E+13,44499,1.03,4,0.1,0,0,0.2,0,0.1,0.4,44.7,1.2,46.5,5.8,0.2,0.1,0,0.5,1,1,2,27,5,23,11,0,1,0,0,35,38,0,0,22,44,1,6,0,0,17.02,4.19,12.83,30.4,35.25,4.85,81,Sonoran Basin and Range,202.48,208.09,5.61
166,AZ10311,33.59333,-111.325,SALT RIVER,ND,1926,89,272,NA,261335,245048,10.7646476,47.68008021,4.099510093,98.24601506,0.361198585,936.337,543.8979,50.52631579,0.808864246,302261807,NA,1.51E+13,44481,1.22,4,0.8,0.1,0,0.1,0,0,0,61.7,0.1,32.8,3.7,0,0,0,0.6,2,1,3,33,3,11,5,0,0,0,0,43,42,2,0,24,47,2,5,0,0,16.47,4.18,12.29,29.8,34.6,4.8,81,Sonoran Basin and Range,202.48,208.09,5.61
167,AZ10312,34.27167,-114.1333,COLORADO RIVER,SIH,1938,77,80,314000,180000,180000,82.5154754,264.9519595,8.228000774,8.827836527,0.110347957,143.001,24604.905,298.185385,0.02625108,222026400,137.2,1.50E+13,62612,0.65,4,0.2,0,0,0,0,0,0.6,20.3,0.1,70.8,3.5,0.1,0.1,0,4,0,0,0,11,3,3,1,2,2,0,1,7,6,15,0,51,86,1,5,0,0,18.67,4.06,14.61,33.4,38.14,4.74,81,Sonoran Basin and Range,202.48,208.09,5.61
168,AZ10313,33.54667,-111.425,SALT RIVER,ND,1924,91,142,NA,57852,57852,3.844517,14.6535172,2.108219746,60.89670231,0.428850016,0.3,310.7988,80.84210526,0.838944991,71359284.96,NA,1.51E+13,44475,0.8,1,0.3,0,0,0,0,0,0.2,12.5,0,85.1,1.3,0,0,0,0.5,4,1,5,19,11,5,1,0,0,0,0,9,9,1,0,66,88,1,2,0,0,17.98,4.18,13.8,31.41,36.19,4.79,81,Sonoran Basin and Range,202.48,208.09,5.61
169,AZ10317,33.66167,-111.14,SALT RIVER,IHR,1911,104,229,150000,3432408,1653043,86.97916198,150.0314373,4.538052873,159.6985121,0.697373415,32.6,14856.18264,170.8016564,0.462544864,2038995480,2112,1.51E+13,44426,0.6,1,0.6,0,0,0,0,0,0.1,51.8,0.3,46.1,1.1,0,0,0,0.1,7,2,9,35,12,2,1,0,0,0,0,42,45,0,0,36,52,1,2,0,0,15.81,4.17,11.63,29.94,34.77,4.83,81,Sonoran Basin and Range,202.48,208.09,5.61
170,AZ10318,33.53472,-111.5278,SALT RIVER,ISH,1929,86,115,105000,70070,68800,5.11523104,9.711783551,1.211326612,55.43499932,0.482043472,740.534,313.38879,61.26582278,0.662082368,84863424,NA,1.51E+13,44477,1.11,4,0.8,0.1,0,0.1,0,0,0,59.4,0.1,35.2,3.6,0,0,0,0.6,1,1,2,30,3,11,4,0,0,0,0,42,35,2,0,26,56,1,5,0,0,18.18,4.19,14,31.57,36.35,4.78,81,Sonoran Basin and Range,202.48,208.09,5.61
171,AZ10446,33.38667,-110.4167,SAN CARLOS RIVER,R,1980,35,74,94000,13000,7200,1.65516574,NA,NA,31.78476811,0.429523893,NA,1243.1952,751.1002445,0.667358054,8881056,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.35,4.18,10.17,27.99,32.79,4.8,81,Sonoran Basin and Range,202.48,208.09,5.61
172,AZ82203,34.23167,-113.6017,BILL WILLIAMS RIVER,C,1968,47,278,41500,1409000,1,167.94469,46.98338198,1.022718302,33.95172929,0.122128523,92.4127,12354.2523,73.56144578,0.070768398,1233.48,337.1,1.50E+13,44473,0.6,4,0.1,0,0,0,0,0,0.7,23.5,0.1,68,3.6,0.1,0,0,3.7,0,0,0,6,2,3,1,0,1,0,0,11,13,15,0,48,81,1,5,0,0,17.08,4.1,12.98,31.76,36.56,4.79,81,Sonoran Basin and Range,202.48,208.09,5.61
173,CA00029,35.448,-120.885,Old Creek,IS,1960,55,176,11500,NA,40662,2.40383484,10.35671257,1.884362713,68.4543883,0.388945388,NA,53.871792,22.41077441,1.192640586,50155763.76,150,1.81E+13,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,3.26,11.86,16.12,19.58,3.46,6,Central California Foothills and Coastal Mountains,641.02,694.78,53.77
174,CA00032,39.892,-120.187,Lit Last Chance Cr,ISR,1961,54,110,173,NA,55477,6.3940388,NA,NA,35.11194471,0.319199497,NA,212.37918,33.21518987,0.375083408,68429769.96,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,4.01,1.55,17.52,22.76,5.24,5,Sierra Nevada,1046.71,1142.74,96.03
175,CA00036,39.5288,-121.5449,Feather River,SH,1967,48,135,150000,13328,NA,1.30713578,17.1636563,4.234911598,41.26306317,0.30565232,4775.43,9427.5636,7212.383901,0.974903695,NA,68.3,1.80E+13,58739,2.3,4,2.5,0.4,0,0.5,0,0.1,1.1,66,4.1,14.7,6.8,2.7,0.1,0.6,0.5,57,8,68,176,15,9,11,2,5,1,4,58,59,1,1,7,11,2,10,0.95955,0.97103,14.04,3.66,10.38,24.93,29.78,4.84,6,Central California Foothills and Coastal Mountains,641.02,694.78,53.77
176,CA00037,40.18,-120.607,Indian Creek,SR,1964,51,90,30200,NA,22566,3.76762666,NA,NA,24.23839763,0.269315529,NA,183.88929,48.80773362,0.337311058,27834709.68,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,3.94,1,16.43,21.63,5.21,5,Sierra Nevada,1046.71,1142.74,96.03
177,CA00039,39.882,-120.475,Big Grizzly Cr,SR,1966,49,105,3450,NA,83000,16.29265836,NA,NA,20.6159487,0.196342369,NA,113.95956,6.994535519,0.137964691,102378840,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,3.95,0.77,15.86,21.03,5.17,5,Sierra Nevada,1046.71,1142.74,96.03
178,CA00041,39.5252,-121.6012,Feather River - OS,HR,1967,48,65,5000,11768,NA,2.5495218,13.83354782,2.443988184,18.6793222,0.287374188,NA,12.94995,5.079365079,0.316003834,NA,68.3,1.80E+13,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.02,3.65,10.37,25.02,29.85,4.83,7,Central California Valley,355.22,383.48,28.26
179,CA00042,39.4771,-121.6871,Feather River - OS,SIHR,1967,48,31.5,17000,57000,57000,17.401498,66.7660957,4.514997912,13.25578352,0.420818525,NA,34.446867,1.979534884,0.085836636,70308360,NA,1.80E+13,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,3.65,10.33,25.07,29.86,4.79,7,Central California Valley,355.22,383.48,28.26
180,CA00043,37.615,-121.745,Arroyo Valle,ICR,1968,47,194,293,NA,77100,4.2896716,31.13723366,4.240947479,72.73568208,0.374926196,26.7897,385.90851,89.96226415,0.948628342,95101308,745,1.81E+13,58046,0.34,2,0,0,0,0,0,0,12.8,13.1,9,26.8,38.3,0,0,0,0.1,0,1,2,35,14,4,1,0,0,0,0,29,25,0,0,21,21,18,53,0.33117,0.1011,13.91,3.48,10.43,21.12,25.31,4.19,6,Central California Foothills and Coastal Mountains,641.02,694.78,53.77
181,CA00044,34.52,-118.603,Castaic Creek,ISR,1973,42,320,116000,NA,323700,9.0447321,46.40922267,4.353126939,144.8318823,0.452599632,5.2851,398.081463,44.01252796,1.30084911,399277476,1515,1.81E+13,58289,0.31,1,2.5,0,0.1,0.2,0,0.1,1.5,17.3,5.7,64.9,6.3,0.2,0.2,0,1,2,1,4,21,2,31,12,1,1,0,0,13,17,2,0,34,60,2,9,0.04843,0,15.95,3.73,12.21,23.88,27.81,3.93,8,Southern California Mountains,598.97,636.73,37.76
182,CA00050,37.83,-121.547,Tr Old River,IS,1970,45,26,NA,NA,29000,10.11715,13.06672469,1.158864175,11.59997337,0.446152822,24.8986,15.53994,1.536,0.098511856,35770920,0.3,1.80E+13,57765,0.32,2,4.1,0.1,0,0.1,0,0.4,1.1,0.6,3.3,2.8,74.5,5,6.4,1.4,0.3,1,1,4,20,2,22,5,29,13,11,20,2,2,1,0,1,1,19,59,0.34206,0.06233,14.33,3.55,10.78,24.35,28.63,4.28,7,Central California Valley,355.22,383.48,28.26
183,CA00054,33.858,-117.183,Bernasconi Pass,ISR,1973,42,120,NA,NA,131452,9.4696524,NA,NA,56.17593941,0.468132828,NA,25.8999,2.735042735,0.493110134,162143413,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,3.85,12.75,25.11,29.21,4.1,85,Southern California/Northern Baja Coast,410.75,429.54,18.8
184,CA00067,34.227,-118.63,Tr Los Angeles R,S,1918,97,35,5100,NA,9886,2.45644402,11.73451926,2.11206246,16.28661829,0.465331951,NA,13.985946,5.693574959,0.280697203,12194183.28,NA,1.81E+13,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.51,3.68,13.83,24.33,28.09,3.76,85,Southern California/Northern Baja Coast,410.75,429.54,18.8
185,CA00082,36.137,-117.948,Rose Valley,IS,1913,102,49,1180,NA,46600,2.6709276,NA,NA,70.60589852,1.440936704,NA,230.50911,86.3030303,1.166999122,57480168,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.31,3.97,7.34,24.61,29.41,4.79,14,Mojave Basin and Range,176.03,195.09,19.06
186,CA00084,37.058,-118.225,Owens River,S,1928,87,22.5,5800,NA,16405,8.49031228,23.20077287,2.246133223,7.819333813,0.347525947,37.9,4959.83085,584.1754051,0.072488402,20235239.4,1178.4,1.81E+13,58837,0.41,2,0.4,0,0,0,0,0.1,0.1,5.3,0.3,84.4,5.8,2.1,0,0,1.5,12,5,26,48,11,4,2,1,1,1,3,4,4,4,0,56,80,2,9,0,0,9.98,4.11,5.87,23.97,29.04,5.07,13,Central Basin and Range,279.79,322.84,43.05
187,CA00088,34.579,-118.387,Bouquet Creek,S,1934,81,175,37800,NA,36505,2.54142808,14.38642865,2.545710273,58.12884745,0.332164843,NA,35.223864,13.85987261,0.984948228,45028187.4,NA,1.81E+13,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,3.74,9.53,23.79,27.78,3.98,8,Southern California Mountains,598.97,636.73,37.76
188,CA00089,37.862,-119.102,Rush Creek,S,1940,75,72,5000,NA,47525,4.4313117,16.77371675,2.247801964,43.40172685,0.602801762,101.607,155.3994,35.06849315,0.55693109,58621137,2173.5,1.81E+13,58499,0.98,1,4.3,0,0,0.1,0,0.2,0.3,29.9,0.3,56.3,5.8,0,0,0,2.8,32,14,54,102,6,4,3,0,0,0,0,20,25,7,0,36,61,2,10,0,0,4.41,4.14,0.26,16.17,21.3,5.12,13,Central Basin and Range,279.79,322.84,43.05
189,CA00090,37.588,-118.707,Owens River,HSR,1941,74,111,5000,NA,183465,21.3674208,39.77449653,2.427300418,34.74707932,0.313036751,79.2,1131.82563,52.96969697,0.203049936,226300408.2,2062,1.81E+13,58824,0.62,2,1.6,1,0,0.3,0,0.3,0.2,41.6,0.2,45.4,5.4,1.9,0,0,2.1,44,8,55,100,11,17,17,1,1,1,3,22,29,5,0,26,42,2,8,0,0,5.12,4.2,0.93,17.75,22.87,5.12,13,Central Basin and Range,279.79,322.84,43.05
190,CA00104,38.482,-122.372,Conn Creek,IS,1946,69,110,24030,NA,31000,3.1970194,36584.04581,5771.836064,39.24041625,0.356731057,NA,139.85946,43.74683544,0.592818261,38237880,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75,3.43,10.32,22.03,26.29,4.27,6,Central California Foothills and Coastal Mountains,641.02,694.78,53.77
191,CA00106,32.678,-116.67,Cottonwood Cr,S,1922,93,151,88260,NA,44755,3.60575226,NA,NA,50.22996325,0.332648763,NA,652.67748,181.010101,0.714538315,55204397.4,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,3.8,11.16,22.77,26.51,3.74,85,Southern California/Northern Baja Coast,410.75,429.54,18.8
192,CA00108,33.045,-117.128,San Dieguito River,S,1918,97,116,65124,NA,37700,5.32971462,NA,NA,28.62559867,0.246772402,NA,784.76697,147.2437358,0.33493706,46502196,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.88,3.74,14.14,22.99,26.67,3.68,85,Southern California/Northern Baja Coast,410.75,429.54,18.8
193,CA00109,32.61,-116.927,Otay River,S,1919,96,144,49400,NA,49510,4.4920146,NA,NA,44.60350121,0.309746536,NA,262.106988,58.34954955,0.568471863,61069594.8,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.38,3.73,13.64,22.33,25.96,3.63,85,Southern California/Northern Baja Coast,410.75,429.54,18.8
194,CA00110,32.685,-116.55,Cottonwood Cr,S,1912,103,167,25000,NA,50206,5.9691185,NA,NA,34.03788796,0.203819688,NA,295.25886,49.46440678,0.376329365,61928096.88,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.86,3.83,10.02,22.06,25.86,3.8,85,Southern California/Northern Baja Coast,410.75,429.54,18.8
195,CA00111,32.883,-116.81,San Diego River,S,1934,81,217,170600,NA,112800,6.32119532,NA,NA,72.21494305,0.332787756,NA,492.0981,77.84891165,0.775868413,139136544,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.63,3.82,12.8,23.28,27.07,3.79,85,Southern California/Northern Baja Coast,410.75,429.54,18.8
196,CA00113,32.912,-116.925,San Vicente Creek,S,1943,72,191,50500,NA,90230,4.32609334,NA,NA,84.40579313,0.441915147,NA,191.918259,44.36295603,1.096187677,111296900.4,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.21,3.81,13.4,23.35,27.1,3.75,85,Southern California/Northern Baja Coast,410.75,429.54,18.8
197,CA00114,33.118,-116.787,Santa Ysabel Creek,S,1954,61,145,NA,NA,29000,2.225773,NA,NA,52.72715168,0.363635529,NA,139.85946,62.83636364,0.954672647,35770920,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.61,3.85,10.76,22.85,26.71,3.86,85,Southern California/Northern Baja Coast,410.75,429.54,18.8
198,CA00121,37.973,-119.878,Eleanor Creek,HS,1918,97,61,4162,NA,28600,3.85665758,15.71083678,2.256777106,30.01042428,0.491974169,NA,208.235196,53.99370409,0.412788128,35277528,1420.1,1.80E+13,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,3.94,4.38,19.41,24.35,4.95,5,Sierra Nevada,1046.71,1142.74,96.03
199,CA00123,37.948,-119.787,Tuolumne River,HS,1923,92,306,48672,NA,360000,7.98040792,31.6733379,3.162832404,182.5553618,0.59658615,448.028,1188.80541,148.9655172,1.74559163,444052800,1157.3,1.80E+13,58792,1.46,2,1.3,0,0,0,0,0,0.8,35.2,0.8,41.1,9.1,0,0,0,11.7,137,16,154,198,11,0,0,0,0,0,0,21,36,25,0,23,47,3,17,0.79553,0.52105,8.19,3.98,4.21,18.18,23.16,4.98,5,Sierra Nevada,1046.71,1142.74,96.03
200,CA00125,37.975,-119.908,Cherry Creek,IHS,1956,59,302.5,45494,NA,273500,6.2119301,18.00202999,2.037525684,178.1754867,0.589009873,359.246,295.25886,47.53094463,1.931057816,337356780,1433.2,1.80E+13,58794,1.33,2,3.5,0,0,0,0,0,0.4,30.1,1.1,34.9,8.3,0,0,0,21.7,176,18,198,597,12,0,0,0,0,0,0,14,35,43,0,17,46,2,19,0.79722,0.50391,8.9,3.93,4.97,20.39,25.33,4.95,5,Sierra Nevada,1046.71,1142.74,96.03
201,CA00126,37.492,-121.82,Calaveras Creek,S,1925,90,187.6,41000,NA,1.00E+05,5.867947,30.87352422,3.595323778,68.96535892,0.367619184,44.3627,254.855016,43.43172414,0.769039262,123348000,765,1.81E+13,58040,0.44,2,0,0,0,0.1,0,0,15.3,16,24.8,9.1,34.7,0,0,0,0,1,1,4,48,12,3,1,0,0,0,0,47,40,0,0,7,9,16,50,0.56958,0.18537,13.91,3.43,10.48,20.58,24.66,4.08,6,Central California Foothills and Coastal Mountains,641.02,694.78,53.77
202,CA00127,37.529,-122.361,San Mateo Creek,S,1888,127,139,1119,NA,57910,5.35399578,22.26949344,2.71497739,43.77163043,0.314903816,NA,76.145706,14.22222222,0.510992251,71430826.8,284,1.81E+13,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.78,3.34,11.44,18.4,22.26,3.86,6,Central California Foothills and Coastal Mountains,641.02,694.78,53.77
203,CA00129,37.58,-122.412,Tr San Mateo Cr,S,1870,145,97,4410,NA,19027,2.225773,13.84760839,2.618359227,34.59446604,0.35664398,NA,11.395956,5.12,0.626364016,23469423.96,450,1.81E+13,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.76,3.26,11.5,17.23,20.97,3.74,6,Central California Foothills and Coastal Mountains,641.02,694.78,53.77
204,CA00132,37.573,-121.848,San Antonio Creek,S,1964,51,175,24800,NA,50500,3.3386595,22.81251958,3.52194104,61.21198069,0.349782747,7.0341,102.822603,30.79757576,0.904921634,62290740,NA,1.81E+13,58945,0.33,1,3,0,0,0,0,0,6.4,6.5,20.8,6.3,56.9,0,0,0,0,1,1,6,24,4,7,2,0,0,0,0,29,20,0,0,5,5,28,73,0.66252,0.24416,14.07,3.44,10.62,20.56,24.66,4.1,6,Central California Foothills and Coastal Mountains,641.02,694.78,53.77
205,CA00140,38.358,-122.123,Gordon Valley Cr,S,1926,89,97,8017,NA,10700,1.52566622,9.948331667,2.272036906,28.38189771,0.292596884,86.3112,44.02983,28.85941645,0.620686455,13198236,389,1.81E+13,57993,0.92,1,1.7,4.4,0,0.8,0,0.4,9.8,7.6,20.9,2,23.2,7,5.4,16.5,0.3,7,4,20,181,18,33,24,39,25,5,16,10,15,0,0,1,1,3,18,0.87144,0.58295,14.04,3.47,10.58,23.47,27.75,4.27,6,Central California Foothills and Coastal Mountains,641.02,694.78,53.77
206,CA00164,38.2571,-120.85,Mokelumne River,SFHR,1929,86,NA,NA,198000,NA,8.99212292,30.18580938,2.839661667,89.10870633,NA,894.696,1491.83424,165.9045905,0.802693275,NA,568,1.80E+13,58768,1.56,3,1.2,0,0,0.3,0,0,1.4,69.5,3.9,12.9,9,0,0,0,1.9,38,6,50,217,16,6,8,0,0,0,0,49,64,5,0,8,12,3,15,0.76958,0.34233,14.09,3.68,10.41,24.77,29.47,4.7,6,Central California Foothills and Coastal Mountains,641.02,694.78,53.77
