FID,UID,SITE_ID,VISIT_NO,INDEX_NLA,AGGR_ECO3_,AGGR_ECO9_,AREA_HA,COMID2012,ELEVATION,EPA_REG,LAKE_ORIGI,STATE,WGT_ALL,REF_NLA12_,RT_NLA12,RT_NLA12_B,RT_NLA12_Z,CHLX_RESUL,CHLX_UNITS,INDEX_SITE,INDEX_LAT_,INDEX_LON_,COLOR_RESU,COLOR_UNIT,CHLORIDE_R,CHLORIDE_U,NTL_RESULT,NTL_UNITS,PTL_RESULT,PTL_UNITS,TROPHIC_ST,BENT_COND,MMI_BENT_N,ZOOP_COND,MMI_ZOOP_N,AMITOTAL,HORIZDD,LitCvrQc3O,LitRipCvrQ,RDis_IX,RVegQc3OE,VERTDD,MICX_RESUL,MICX_UNITS,ATRAZINE_R,ATRAZINE_U,TOTALHG_RE,TOTALHG_UN,METHYLMERC,METHYLME_1,NAME
56,6609,NLA12_KS-124,1,Y,PLNLOW,TPL,20.08173323,21134755,397.9,Region_7,MAN_MADE,KS,21.58839317, ,S,S,S,19.71,ug/L,2.3,37.39467,-96.84801,16,APHA Pt-Co,3.129,mg/L,0.678,mg/L,103,ug/L,NA,Fair,40,Fair,34.67,0.065,0,0.366679484,0.855062719,0.768699187,1.200222202,0,0.11447,ppb,1.2,ppb,21.83,ng/g,0.16,ng/g,Arkansas
57,6781,NLA12_KS-126,1,Y,PLNLOW,TPL,2.634535372,20873502,276.89,Region_7,MAN_MADE,KS,428.5333333, ,T,T,T,6.336,ug/L,1.6,37.49179,-95.07723,31,APHA Pt-Co,2.631,mg/L,2.13,mg/L,455,ug/L,EUTROPHIC,Fair,37.4,Poor,27.22,0,0,0,0.069728004,0.868032787,0.117459875,0,0,ppb,0.09,ppb,34.76,ng/g,0.18,ng/g,Arkansas
58,6524,NLA12_KS-138,1,Y,PLNLOW,SPL,10.80830283,21164389,392.44,Region_7,MAN_MADE,KS,44.41666027, ,T,T,T,3.588571429,ug/L,4.6,37.63303,-97.39722,7,APHA Pt-Co,90.9,mg/L,0.329,mg/L,12,ug/L,MESOTROPHIC,Fair,37.9,Poor,25.08,0.01,0,0.091796382,0.225055635,0.876373626,0.318991111,0,0.08401,ppb,0.07,ppb,NA,NA,NA,NA,Arkansas
59,6992,NLA12_MO-108,1,Y,EHIGH,SAP,21.27235786,7557711,324.15,Region_7,MAN_MADE,MO,50.38275521, ,S,S,S,2.192,ug/L,4.8,36.65834,-91.88407,11,APHA Pt-Co,2.57,mg/L,0.3,mg/L,20,ug/L,EUTROPHIC,Fair,46.2,Poor,58.85,0.8975,0,1.226550586,0.799273334,0.537234043,0.640173107,0,0.13627,ppb,0,ppb,109.85,ng/g,0.28,ng/g,Arkansas
60,7974,NLA12_MO-108,2,N,EHIGH,SAP,21.27235786,7557711,324.15,Region_7,MAN_MADE,MO,50.38275521, ,S,S,S,6.928,ug/L,4.6,36.65869,-91.88337,20,APHA Pt-Co,2.485,mg/L,0.399,mg/L,33,ug/L,EUTROPHIC,Poor,34,Poor,46.68,0.93,0,1.196652835,0.791980125,0.724561404,0.660404418,0,0.06825,ppb,0,ppb,NA,NA,NA,NA,Arkansas
61,6919,NLA12_OK-103,1,Y,PLNLOW,SPL,10136.04452,20971700,220.49,Region_6,MAN_MADE,OK,1.519730888, ,S,S,S,19.4,ug/L,16.5,36.166376,-96.268573,40,APHA Pt-Co,288,mg/L,1.31,mg/L,105,ug/L,MESOTROPHIC,Poor,19.1,Good,43.97,0,2.2,0.638880553,0.933343254,0.295431472,1.153802453,0.36,0.10387,ppb,0.59,ppb,30.47,ng/g,0.7,ng/g,Arkansas
62,6669,NLA12_OK-104,1,Y,PLNLOW,SPL,4212.857956,999990128,217.74,Region_6,MAN_MADE,OK,6.601996359, ,S,S,S,4.28,ug/L,13,36.377856,-96.180322,23,APHA Pt-Co,30.6,mg/L,0.56,mg/L,5,ug/L,MESOTROPHIC,Poor,27.7,Good,63.77,0,10.33333333,2.147083097,1.491949898,0.519230769,1.106954636,1.49,0.12911,ppb,0,ppb,55.23,ng/g,0.4,ng/g,Arkansas
63,7959,NLA12_OK-107,1,Y,EHIGH,SAP,5210.838212,399680,182.13,Region_6,MAN_MADE,OK,1.519730888, ,S,S,S,10.3,ug/L,9.6,35.671941,-94.978166,12,APHA Pt-Co,10,mg/L,0.62,mg/L,5,ug/L,MESOTROPHIC,Poor,14,Poor,59.97,0,18.7,0.075143886,0.203315939,0.366666667,0.276440656,1.77,0.15469,ppb,0.07,ppb,51.45,ng/g,0.45,ng/g,Arkansas
64,6695,NLA12_OK-109,1,Y,PLNLOW,TPL,325.3718103,846154,266.81,Region_6,MAN_MADE,OK,5.511051679, ,S,S,S,6.77,ug/L,4.6,36.704459,-96.417926,47,APHA Pt-Co,10,mg/L,0.69,mg/L,30,ug/L,MESOTROPHIC,Good,55.6,Fair,37.8,0.235,0,1.268856199,0.830231883,0.636956522,0.567484278,0,0.08922,ppb,0,ppb,12.79,ng/g,0.09,ng/g,Arkansas
65,6668,NLA12_OK-120,1,Y,PLNLOW,SPL,103.4516931,21784874,230.56,Region_6,MAN_MADE,OK,2.684319352, ,S,S,S,11.4,ug/L,5.2,36.8149,-96.04107,40,APHA Pt-Co,10,mg/L,0.65,mg/L,30,ug/L,EUTROPHIC,Good,51.7,Good,42.98,0.38,0,1.434027494,1.394965136,0.2875,1.410617975,0,0.15018,ppb,0,ppb,72.03,ng/g,0.33,ng/g,Arkansas
66,6525,NLA12_OK-121,1,Y,PLNLOW,SPL,177.657303,493066,255.6,Region_6,MAN_MADE,OK,2.437808433, ,T,T,T,8.68,ug/L,2.8,35.9992,-96.87766,214,APHA Pt-Co,12.7,mg/L,1.09,mg/L,119,ug/L,EUTROPHIC,Good,54.9,Good,47.22,0.335,0.45,1.27619237,1.011301144,0.287369737,0.867698314,0.19,0.18032,ppb,0,ppb,48,ng/g,0.17,ng/g,Arkansas
67,8358,NLA12_OK-133,1,Y,PLNLOW,SPL,9.518964705,20971688,277.48,Region_6,MAN_MADE,OK,1682.903939, ,S,S,S,71.1,ug/L,1.5,36.38739,-96.82359,40,APHA Pt-Co,29,mg/L,2.19,mg/L,142,ug/L,EUTROPHIC,Fair,34.3,Good,44.83,0,4.55,0.281107443,0.658165808,0.133333333,0.924588863,0.73,0.10827,ppb,0,ppb,26.57,ng/g,1.8,ng/g,Arkansas
68,6646,NLA12_OK-134,1,Y,PLNLOW,SPL,1245.389041,21784832,223.61,Region_6,MAN_MADE,OK,0.298382086, ,T,T,T,13.4,ug/L,3.7,36.93697,-96.0909,172,APHA Pt-Co,10,mg/L,0.95,mg/L,87,ug/L,NA,Not Assessed,NA,Good,54.57,0.005,1.47,0.224885955,0.682057986,0.114594039,1.001660332,0.42,0.10889,ppb,0,ppb,34.23,ng/g,0.48,ng/g,Arkansas
69,8393,NLA12_OK-286,1,Y,PLNLOW,SPL,3.003753759,20969614,293.53,Region_6,MAN_MADE,OK,349.6923077, ,T,T,T,191,ug/L,1,36.39739,-97.27494,115,APHA Pt-Co,81.1,mg/L,6.94,mg/L,2150,ug/L,OLIGOTROPHIC,Poor,15.7,Poor,25.75,0,13.4,0.030666267,0.012652151,0.618421053,0.001227257,1.29,1.1225,ppb,0.08,ppb,26.37,ng/g,0.82,ng/g,Arkansas
70,6551,NLA12_OK-291,1,Y,EHIGH,SAP,175.5528673,167801030,143.05,Region_6,NATURAL,OK,13.42719385, ,T,T,T,50.3,ug/L,1.3,35.4576,-94.99244,34,APHA Pt-Co,10,mg/L,1.65,mg/L,188,ug/L,EUTROPHIC,Poor,23.6,Fair,64,0.7975,0,1.900066107,2.291276227,0.023809524,1.162534809,0,0.11069,ppb,0,ppb,31.72,ng/g,0.13,ng/g,Arkansas
71,7262,NLA12_OK-299,1,Y,EHIGH,SAP,4.020646732,1541317,152.43,Region_6,MAN_MADE,OK,47.27999775, ,T,T,T,2.48,ug/L,13.2,35.155058,-94.987939,20,APHA Pt-Co,10,mg/L,0.47,mg/L,5,ug/L,MESOTROPHIC,Poor,33.9,Poor,52.28,0.6,1.57,1.503981335,1.372580267,0.023809524,0.296494202,0.35,0.12039,ppb,0,ppb,97.47,ng/g,0.59,ng/g,Arkansas
72,8503,NLA12_OK-299,2,N,EHIGH,SAP,4.020646732,1541317,152.43,Region_6,MAN_MADE,OK,47.27999775, ,T,T,T,5.18,ug/L,14.5,35.155058,-94.987939,12,APHA Pt-Co,10,mg/L,0.71,mg/L,12,ug/L,EUTROPHIC,Poor,26.1,Poor,37.9,0,1.91,0.242303597,0.420879216,0,0.37454965,0.85,0.16824,ppb,0.06,ppb,NA,NA,NA,NA,Arkansas
73,7106,NLA12_OK-302,1,Y,PLNLOW,SPL,18.41034509,21037895,307.32,Region_6,MAN_MADE,OK,67.5835424, ,S,S,S,4.42,ug/L,5.5,36.66772,-96.99644,27,APHA Pt-Co,10,mg/L,0.85,mg/L,24,ug/L,HYPEREUTROPHIC,Good,52,Good,57.2,0.92,6.1,1.05872326,1.233907862,0.920969442,1.385127375,0.56,0.08117,ppb,0,ppb,32.84,ng/g,1,ng/g,Arkansas
74,8481,NLA12_OK-311,1,Y,EHIGH,SAP,12.54564974,6048424,224.14,Region_6,MAN_MADE,OK,67.5835424,R,R,R,R,13.8,ug/L,5.5,34.97686,-95.34766,23,APHA Pt-Co,3.3,mg/L,0.79,mg/L,19,ug/L,MESOTROPHIC,Poor,35.1,Good,72.73,0.1,0,0.401030356,0.724195854,0.045454546,1.041289673,0,0.13667,ppb,0,ppb,113.4,ng/g,2.6,ng/g,Arkansas
75,6795,NLA12_CO-102,1,Y,WMTNS,WMT,14.98464518,3230751,3070.94,Region_8,MAN_MADE,CO,139.0707292,R,R,R,R,0.92,ug/L,14,38.99688,-108.0513,14,APHA Pt-Co,0.272,mg/L,0.135,mg/L,29,ug/L,MESOTROPHIC,Good,62.9,Good,72.13,0.18,0,2.263591613,1.048542086,0.023809524,0.705752863,0,0.08678,ppb,0,ppb,90.53,ng/g,0.38,ng/g,Upper Colorado
76,8325,NLA12_CO-105,1,Y,WMTNS,WMT,65.38610038,3262179,2213,Region_8,MAN_MADE,CO,33.9172379, ,T,T,T,101.3,ug/L,4.4,37.41743,-108.40691,18,APHA Pt-Co,1.843,mg/L,1.079,mg/L,114,ug/L,EUTROPHIC,Not Assessed,NA,Fair,63.23,0.025,54.3,0.245094064,0.548887561,0.305700326,0.633811651,2.16,0.09311,ppb,0.09,ppb,66.83,ng/g,0.88,ng/g,Upper Colorado
77,8297,NLA12_CO-107,1,Y,WMTNS,WMT,50.09886464,18377442,2959.6,Region_8,MAN_MADE,CO,33.9172379, ,S,S,S,1.224,ug/L,16.4,37.8247,-107.8849,8,APHA Pt-Co,0.336,mg/L,0.104,mg/L,16,ug/L,MESOTROPHIC,Not Assessed,NA,Good,70.6,0.195,6.97,0.696536235,0.553655616,0.367961165,0.547676788,1.01,0.08004,ppb,0,ppb,80,ng/g,0.45,ng/g,Upper Colorado
78,8184,NLA12_CO-109,1,Y,WMTNS,WMT,51.02796638,1233765,3029.04,Region_8,MAN_MADE,CO,33.9172379,R,S,S,S,5.993,ug/L,12.5,40.0559,-105.74693,28,APHA Pt-Co,0.146,mg/L,0.215,mg/L,16,ug/L,MESOTROPHIC,Good,57.9,Good,79.7,0.045,34.06,0.843503774,0.499544305,0.190053478,0.437330699,2.83,0.08496,ppb,0,ppb,146.27,ng/g,4.4,ng/g,Upper Colorado
79,6874,NLA12_CO-114,1,Y,WMTNS,WMT,5.726832826,3230297,3105.21,Region_8,MAN_MADE,CO,111.2858011, ,S,S,S,5.8,ug/L,5.1,39.03661,-107.91121,33,APHA Pt-Co,0.194,mg/L,0.345,mg/L,37,ug/L,MESOTROPHIC,Fair,49,Good,69.1,0.1,4.52,1.963505558,0.913702526,0,0.559607138,1.01,0.1352,ppb,0,ppb,63.29,ng/g,0.82,ng/g,Upper Colorado
80,7102,NLA12_CO-115,1,Y,WMTNS,WMT,3.511584722,1342174,2994.12,Region_8,NATURAL,CO,329.2857143,R,R,R,R,3.04,ug/L,3.3,40.00183,-107.35739,12,APHA Pt-Co,0.154,mg/L,0.244,mg/L,14,ug/L,MESOTROPHIC,Poor,40.9,Fair,63.57,0.1725,1.02,0.712768001,1.199692042,0,1.430368396,0.37,0.0735,ppb,0,ppb,129.87,ng/g,0.91,ng/g,Upper Colorado
81,7686,NLA12_CO-117,1,Y,WMTNS,WMT,35.17102053,17030676,2348.41,Region_8,MAN_MADE,CO,48.6430474, ,T,T,T,6.102857143,ug/L,5,37.31672,-107.11303,22,APHA Pt-Co,4.348,mg/L,0.538,mg/L,33,ug/L,MESOTROPHIC,Poor,22.8,Fair,56.67,1.0825,8.57,1.657263748,0.570607014,0.360612831,0.30218714,1.06,0,ppb,0,ppb,66.54,ng/g,0.25,ng/g,Upper Colorado
82,7957,NLA12_CO-130,1,Y,WMTNS,WMT,3.837669916,1312039,3435.34,Region_8,NATURAL,CO,329.2857143,R,R,B,R,5.187692308,ug/L,5.8,39.6461,-106.16733,6,APHA Pt-Co,0.128,mg/L,0.185,mg/L,9,ug/L,MESOTROPHIC,Not Assessed,NA,Good,68.68,0,0,0.935328867,1.284763239,0.095454546,1.482762994,0,0,ppb,0,ppb,116.28,ng/g,1.1,ng/g,Upper Colorado
83,7827,NLA12_CO-133,1,Y,WMTNS,WMT,15.67964295,17013513,3329.18,Region_8,MAN_MADE,CO,48.6430474,R,R,B,R,1.104,ug/L,2.4,37.54059,-107.59734,19,APHA Pt-Co,0.057,mg/L,0.09,mg/L,14,ug/L,MESOTROPHIC,Not Assessed,NA,Poor,48.27,0.3925,11.37,0.524030189,0.664485263,0.020766773,0.759154767,1.11,0,ppb,0,ppb,76.5,ng/g,0.5,ng/g,Upper Colorado
84,6500,NLA12_NM-134,1,Y,WMTNS,XER,86.18705845,17015367,1718.89,Region_6,MAN_MADE,NM,3.329253503, ,S,S,S,1.83,ug/L,16.9,36.8016,-108.10184,5,APHA Pt-Co,10.449,mg/L,0.129,mg/L,17,ug/L,MESOTROPHIC,Fair,48.6,Fair,64.03,0,0,1.669201068,1.507515964,0.680790961,1.469715857,0,0.11213,ppb,0,ppb,40.16,ng/g,0.26,ng/g,Upper Colorado
85,6477,NLA12_NM-150,1,Y,WMTNS,XER,17.24188628,17037195,1614.29,Region_6,MAN_MADE,NM,2.421275275, ,T,T,T,34.4,ug/L,1.9,36.71359,-108.15627,16,APHA Pt-Co,16.906,mg/L,0.939,mg/L,159,ug/L,EUTROPHIC,Fair,46.7,Poor,46.62,0,0,1.933755401,1.04112363,0.87012987,0.64260118,0,0.1281,ppb,0,ppb,38.8,ng/g,0.1,ng/g,Upper Colorado
86,8053,NLA12_NM-162,1,Y,WMTNS,WMT,17.38204713,17040889,2232.51,Region_6,MAN_MADE,NM,2.421275275, ,T,T,T,1.93,ug/L,5.8,36.87228,-106.92818,23,APHA Pt-Co,5.072,mg/L,0.626,mg/L,56,ug/L,EUTROPHIC,Poor,38.6,Poor,45.65,0.875,14.9,0.124404235,0.392660787,0.729248658,0.476148001,1.08,0.21026,ppb,0,ppb,35.26,ng/g,2.8,ng/g,Upper Colorado
87,6527,NLA12_UT-102,1,Y,WMTNS,XER,1331.970866,11965847,1741,Region_8,MAN_MADE,UT,5.518387688, ,S,S,S,1.668,ug/L,33,40.18843,-110.4653,10,APHA Pt-Co,12.45,mg/L,0.186,mg/L,21,ug/L,MESOTROPHIC,Poor,31.6,Good,70.57,0.1425,9.65,2.032481171,1.462458023,0.314285714,1.263743184,1.37,0.06191,ppb,0,ppb,28.99,ng/g,1.6,ng/g,Upper Colorado
88,6575,NLA12_UT-109,1,Y,WMTNS,XER,43.28528102,10038730,2184,Region_8,MAN_MADE,UT,25.05173511, ,S,S,S,33.6,ug/L,3,40.72438,-109.18235,31,APHA Pt-Co,4.162,mg/L,1.855,mg/L,96,ug/L,HYPEREUTROPHIC,Poor,21.6,Good,68.18,0.84,27.9,0.680358615,0.519313833,0.528345499,0.463143312,1.22,0.21493,ppb,0,ppb,35.09,ng/g,0.46,ng/g,Upper Colorado
89,6552,NLA12_UT-110,1,Y,WMTNS,XER,14.37453838,10038628,1651.38,Region_8,NATURAL,UT,1.203917328, ,S,S,S,1.095384615,ug/L,3,40.87221,-109.13795,18,APHA Pt-Co,15.561,mg/L,0.431,mg/L,29,ug/L,MESOTROPHIC,Fair,46.4,Fair,57.43,0.99,0,3.971890902,1.660383941,0.436842105,0.68311745,0,0.09835,ppb,0,ppb,15.71,ng/g,0.17,ng/g,Upper Colorado
90,8446,NLA12_UT-110,2,N,WMTNS,XER,14.37453838,10038628,1651.38,Region_8,NATURAL,UT,1.203917328, ,S,S,S,2.692,ug/L,3.4,40.8723,-109.13901,21,APHA Pt-Co,15.95,mg/L,0.415,mg/L,21,ug/L,MESOTROPHIC,Poor,42.5,Fair,56.07,0.655,0,2.972180018,1.105004777,0.393589744,0.303213774,0,0.0799,ppb,0,ppb,NA,NA,NA,NA,Upper Colorado
91,7798,NLA12_UT-118,1,Y,WMTNS,WMT,7.743790771,10037184,3298.86,Region_8,NATURAL,UT,2.938915931, ,S,S,S,1.36,ug/L,6.3,40.82023,-110.39043,18,APHA Pt-Co,0.123,mg/L,0.199,mg/L,23,ug/L,MESOTROPHIC,Good,60.1,Good,71.13,0.13,0,1.152445483,0.863092243,0.867355372,0.803051373,0.24,0,ppb,0,ppb,93.43,ng/g,0.34,ng/g,Upper Colorado
92,8329,NLA12_UT-122,1,Y,WMTNS,WMT,11.21402929,10037152,3169.23,Region_8,NATURAL,UT,1.203917328,R,R,R,R,5.08,ug/L,17,40.83116,-110.019,12,APHA Pt-Co,0.233,mg/L,0.159,mg/L,10,ug/L,OLIGOTROPHIC,Poor,36.5,Good,69.8,0.045,0,1.045892107,1.357913854,0,1.542414787,0,0.0826,ppb,0,ppb,183.1,ng/g,0.77,ng/g,Upper Colorado
93,6944,NLA12_UT-125,1,Y,WMTNS,WMT,18.84328611,4876245,2837.65,Region_8,MAN_MADE,UT,1.203917328, ,S,S,S,0.664,ug/L,6.3,39.16964,-111.45062,15,APHA Pt-Co,0.191,mg/L,0.208,mg/L,20,ug/L,MESOTROPHIC,Good,58.7,Good,74.95,0.555,0,1.573137981,0.93724898,0.791269841,0.792315093,0,0.10445,ppb,0,ppb,28.57,ng/g,0.22,ng/g,Upper Colorado
94,6826,NLA12_UT-165,1,Y,WMTNS,WMT,136.7945031,3276897,3070.67,Region_8,MAN_MADE,UT,0.718756614, ,T,T,T,1.46,ug/L,1.3,38.04792,-111.60257,23,APHA Pt-Co,0.534,mg/L,0.641,mg/L,41,ug/L,MESOTROPHIC,Fair,46.6,Fair,56.4,0.2525,37.8,1.649533458,0.649795506,0.917431193,0.446514844,0.29,0.1721,ppb,0,ppb,101.09,ng/g,0.85,ng/g,Upper Colorado
95,7593,NLA12_UT-167,1,Y,WMTNS,XER,6.68675818,3909829,1706.69,Region_8,NATURAL,UT,2.938915931, ,S,S,S,0.867175573,ug/L,1,39.36466,-110.79962,32,APHA Pt-Co,16.572,mg/L,0.473,mg/L,27,ug/L,EUTROPHIC,Fair,47.2,Poor,49.2,0.6275,27.3,0.862899728,0.39463027,0.507692308,0.189704058,0.24,0.0641,ppb,0,ppb,27.85,ng/g,0.08,ng/g,Upper Colorado
96,7643,NLA12_UT-196,1,Y,WMTNS,WMT,31.45108714,3906261,2568.97,Region_8,MAN_MADE,UT,0.718756614, ,S,S,S,1.34,ug/L,4.1,39.71554,-111.29285,20,APHA Pt-Co,4.19,mg/L,0.266,mg/L,17,ug/L,EUTROPHIC,Fair,45.4,Fair,56.55,0.4875,0,1.241538387,0.411627186,0.817355372,0.179612224,0,0.10589,ppb,0,ppb,36.92,ng/g,0.2,ng/g,Upper Colorado
97,8395,NLA12_UT-229,1,Y,WMTNS,WMT,32.45693843,10038624,2622.67,Region_8,MAN_MADE,UT,0.718756614, ,S,S,S,3.516,ug/L,5,40.88891,-109.8502,25,APHA Pt-Co,0.947,mg/L,0.424,mg/L,37,ug/L,MESOTROPHIC,Poor,33.9,Fair,61.63,0.4575,0,1.82352179,1.368066535,0.804776739,1.330642931,0,0.08056,ppb,0,ppb,76.41,ng/g,0.81,ng/g,Upper Colorado
98,6966,NLA12_UT-260,1,Y,WMTNS,WMT,27.85638716,4876253,2889.45,Region_8,MAN_MADE,UT,0.718756614, ,S,S,S,3.564,ug/L,4.3,39.14189,-111.45147,5,APHA Pt-Co,0.131,mg/L,0.285,mg/L,21,ug/L,MESOTROPHIC,Poor,37.8,Poor,51.63,0.17,13.84,0.51706397,0.119894438,0.632831829,0.002362613,1.08,0.0983,ppb,0,ppb,29.47,ng/g,0.22,ng/g,Upper Colorado
99,8504,NLA12_UT-264,1,Y,WMTNS,WMT,11.22871745,4900347,3074.1,Region_8,MAN_MADE,UT,1.203917328, ,T,T,T,24.1,ug/L,8,38.07123,-111.37309,20,APHA Pt-Co,0.383,mg/L,0.511,mg/L,104,ug/L,EUTROPHIC,Poor,42.2,Good,64.55,0.015,14.1,2.056936333,1.957024515,0.927745665,2.056476844,1.43,0.05253,ppb,0,ppb,69.44,ng/g,2.3,ng/g,Upper Colorado
100,8447,NLA12_UT-290,1,Y,WMTNS,XER,12.12835629,10038630,1652.82,Region_8,NATURAL,UT,1.203917328, ,S,S,S,3.907692308,ug/L,1.8,40.87259,-109.1479,19,APHA Pt-Co,20.184,mg/L,0.849,mg/L,66,ug/L,MESOTROPHIC,Fair,46.4,Poor,51.82,0.06,13.8,0.142553222,0.176090833,0.354500818,0.20077057,0.33,0.07611,ppb,0,ppb,15.54,ng/g,0.33,ng/g,Upper Colorado
101,8508,NLA12_UT-343,1,Y,WMTNS,WMT,69.39431051,10037090,2803.81,Region_8,NATURAL,UT,1.293761905, ,T,T,T,0.3148,ug/L,4.9,40.92257,-110.11871,35,APHA Pt-Co,0.743,mg/L,1.005,mg/L,85,ug/L,OLIGOTROPHIC,Poor,25.4,Good,72.13,0,64.3,0.028188235,0.038629571,0.928571429,0.042946269,1.94,0.09099,ppb,0,ppb,116.5,ng/g,0.84,ng/g,Upper Colorado
102,8509,NLA12_UT-359,1,Y,WMTNS,XER,42.4906927,11983859,1632.53,Region_8,MAN_MADE,UT,0.718756614, ,T,T,T,173.2,ug/L,1.2,40.34936,-109.93835,32,APHA Pt-Co,17.651,mg/L,3.25,mg/L,542,ug/L,EUTROPHIC,Not Assessed,NA,Poor,42.75,0,117.1,0.034347009,0.010490255,0.795178197,0,14.4,0.83875,ppb,0,ppb,32.42,ng/g,0.66,ng/g,Upper Colorado
103,8321,NLA12_UT-374,1,Y,WMTNS,XER,151.3345341,4876263,1894.31,Region_8,MAN_MADE,UT,1.293761905, ,S,S,S,1.676,ug/L,16,39.10027,-111.19296,9,APHA Pt-Co,4.93,mg/L,0.211,mg/L,25,ug/L,MESOTROPHIC,Poor,19.1,Good,69.17,0.06,62.1,0.730795261,1.146590648,0.85549133,1.401025862,2.95,0.09278,ppb,0,ppb,23.43,ng/g,1.2,ng/g,Upper Colorado
104,8812,NLA12_UT-400,1,Y,WMTNS,XER,11.46657216,11965897,2048.02,Region_8,NATURAL,UT,1.203917328, ,T,T,T,10.24,ug/L,11,40.057341,-110.627244,19,APHA Pt-Co,162.923,mg/L,1.136,mg/L,1208,ug/L,MESOTROPHIC,Poor,16.7,Poor,45.97,0.51,0,2.279505398,1.552529825,0.840243902,1.25879468,0,0.06373,ppb,0,ppb,14.29,ng/g,0.48,ng/g,Upper Colorado
105,8766,NLA12_UT-412,1,Y,WMTNS,WMT,18.09977611,10038640,2528.06,Region_8,MAN_MADE,UT,1.203917328, ,T,T,T,9.28,ug/L,5.7,40.86499,-109.81242,22,APHA Pt-Co,0.858,mg/L,0.299,mg/L,54,ug/L,MESOTROPHIC,Poor,24.8,Good,66.33,0.2625,0,1.285713561,0.53646384,0.934640523,0.308766118,0,0.06942,ppb,0,ppb,117.09,ng/g,1,ng/g,Upper Colorado
106,8776,NLA12_UT-424,1,Y,WMTNS,WMT,60.68523709,11977341,3036.85,Region_8,MAN_MADE,UT,1.293761905, ,T,T,T,5.702857143,ug/L,1.4,40.66976,-109.91911,15,APHA Pt-Co,0.363,mg/L,0.534,mg/L,43,ug/L,MESOTROPHIC,Poor,35.2,Poor,44.07,0.005,142.1,0.283068627,0.395800485,0.929577465,0.470758259,2.12,0,ppb,0,ppb,131.47,ng/g,2,ng/g,Upper Colorado
107,7499,NLA12_WY-103,1,Y,WMTNS,XER,2045.331917,120052281,2261,Region_8,NATURAL,WY,25.31266838,R,R,R,R,0.54,ug/L,33.2,42.90311,-109.83102,9,APHA Pt-Co,0.307,mg/L,0.05,mg/L,12,ug/L,EUTROPHIC,Good,75.2,Good,76.13,0.035,0,5.636259874,4.696020684,0.115217391,4.532312917,0,0,ppb,0,ppb,39.87,ng/g,0.16,ng/g,Upper Colorado
108,7026,NLA12_WY-105,1,Y,WMTNS,XER,868.2136377,18300278,2059.87,Region_8,MAN_MADE,WY,21.09389031,R,R,R,R,1.756,ug/L,14.9,42.25071,-109.43253,15,APHA Pt-Co,0.924,mg/L,0.254,mg/L,52,ug/L,MESOTROPHIC,Good,55.4,Fair,57.22,0.01,22.23333333,0.129277509,0.196740203,0,0.24272843,1.1,0.09068,ppb,0,ppb,41.83,ng/g,1,ng/g,Upper Colorado
109,7859,NLA12_WY-116,1,Y,WMTNS,WMT,20.69704289,18327686,2896.17,Region_8,NATURAL,WY,28.33824247,R,S,S,S,NA, ,13.5,42.80243,-109.45862,30,APHA Pt-Co,0.257,mg/L,0.306,mg/L,31,ug/L,EUTROPHIC,Not Assessed,NA,Good,66.63,0.08,0,0.93965031,1.511167403,0,1.815355616,0,0,ppb,0,ppb,437.5,ng/g,2.6,ng/g,Upper Colorado
110,7497,NLA12_WY-120,1,Y,WMTNS,WMT,182.0558458,18346323,2428.03,Region_8,NATURAL,WY,23.96943009,R,R,R,R,2.356,ug/L,29.6,43.30978,-109.85434,12,APHA Pt-Co,0.174,mg/L,0.088,mg/L,18,ug/L,EUTROPHIC,Good,73.5,Good,68.92,0.045,0,1.076676894,1.071689359,0,1.123343509,0,0.06701,ppb,0,ppb,137.25,ng/g,0.93,ng/g,Upper Colorado
111,8458,NLA12_WY-125,1,Y,WMTNS,WMT,13.72593086,18324232,3325.87,Region_8,NATURAL,WY,41.73986963,R,R,R,R,2.544,ug/L,26.8,43.16447,-109.80198,11,APHA Pt-Co,0.427,mg/L,0.296,mg/L,29,ug/L,OLIGOTROPHIC,Good,61,Fair,55.83,0,0,0.664946058,0.643353542,0,0.688756755,0,0.07081,ppb,0,ppb,219.39,ng/g,1.1,ng/g,Upper Colorado
112,7089,NLA12_WY-131,1,Y,WMTNS,XER,76.19895231,3192814,2179.22,Region_8,MAN_MADE,WY,23.96943009,R,R,R,R,2.36,ug/L,3.5,41.94436,-110.6554,15,APHA Pt-Co,1.986,mg/L,0.196,mg/L,36,ug/L,EUTROPHIC,Poor,36.5,Fair,62.05,0.535,0,0.536478297,0.487625563,0.133333333,0.492621764,0,0.08173,ppb,0,ppb,32.73,ng/g,0.24,ng/g,Upper Colorado
113,7631,NLA12_WY-133,1,Y,WMTNS,WMT,32.04782099,18299394,3249.12,Region_8,NATURAL,WY,28.33824247,R,R,B,R,1.032,ug/L,15.8,42.71336,-109.17883,11,APHA Pt-Co,0.118,mg/L,0.059,mg/L,14,ug/L,EUTROPHIC,NA,NA,Fair,62.73,NA,NA,NA,NA,NA,NA,NA,0,ppb,0,ppb,69.5,ng/g,0.24,ng/g,Upper Colorado
