FID,FID_1,NIDID,Dam_Name,Other_Dam_,GNIS_Name,State,Latitude,Longitude,County,River,Purposes,Year_Compl,Reservoir_,Hydraulic_,NID_Height,Maximum_Di,Maximum_St,Normal_Sto,NID_Storag,NID_Stor_1,Surface_Ar,Surface__1,Surface__2,Surface__3,Surface__4,Drai_ge_Ar,Drai_ge__1,Drai_ge__2,Drai_ge__3,Reservoir1,Reservoi_1,Reservoi_2,Shoreline_,Mean_Depth,I_ex_of_Ba,Developmen,Maximum_De,Mean_Dep_1,Mean_Q,Catchment_,Relative_D,Surface__5,Lake_Volum,Lake_Vol_1,Lake_Vol_2,AreaSqKm,Elevation,ReachCode,E2RF1_,HUC,MEANV,STRAHLER,RR,REACH,NUTCODE,PSEWER,PSEPTIC,POTHER,WATER,WETLA_S,URBGRASS,LURBAN,HURBAN,COMM,FORESTD,FORESTE,FORESTM,SHRUB,GRASS,PASTURE,CROPS,ORCHARDS,BARREN,TNLOADB,TPLOADB,TNYLDB,TPYLDB,TNCONCB,TPCONCB,TNLOADBW,TNYLDBW,TNCONCBW,TNLOAD,TPLOAD,TNYLD,TPYLD,TNCONC,TPCONC,TNPOINT,TPPOINT,TNFERT,TPFERT,T_TMOS,TNFOREST,TPFOREST,TNBARREN,TPBARREN,TNSHRUB,TPSHRUB,TNGRASS,TPGRASS,TNMAN,TPMAN,T_FRAC,TPDFRAC,BASIN NAME
303,816,OK10642,CUSHING LAKE,.,Cushing Lake,OK,36.03,-96.875,PAYNE,BIG CREEK,SR,1950,65,48,48,21974,7050,3044,7050,307097295,591,25743960,0.9234375,2391694.26,2.39169426,31.29,81.0407871,20025.6,872365200,43293.91141,13.1959842,8.199607057,2.407042992,11.92890663,3.514511968,0.745556664,48,0.248518888,4.4174,33.88426396,0.208357152,0.636984553,132596335.6,3754713.12,3.75471312,1.702,.,1.11E+13,37297,11050003,0.3,1,11050003032,38249,9,38,61,1,4.2,0,0,0,0,0.2,8.7,3.7,1.5,0.3,47.2,18.9,15.4,0,0,1171,399,17,6,0.15,0.05,2420,35,0.31,4054,79,59,1,1.09,0.02,8,7,45,27,27,4,5,0,0,0,0,7,33,9,27,0.14714,0.01036,Arkansas
304,818,OK11015,SHELL,.,Shell Lake,OK,36.1817,-96.18,OSAGE,SHELL CREEK,S,1922,93,65,65,15200,12700,9500,12700,553210730,573,24959880,0.8953125,2318850.78,2.31885078,15,38.84985,9600,418200000,60093.39918,18.31646807,11.38132924,3.393127845,22.16399798,1.56309731,1.022953753,65,0.340984584,8.4258,16.7539267,0.393162696,0.197886918,413819050,11718060,11.71806,2.258,.,1.11E+13,35764,11110101,0.35,1,11110101011,36694,9,100,0,0,5.2,0,0,0.8,0,0.4,69.7,0.1,0.5,0.8,16.3,4.5,1.2,0,0.5,1509,438,31,9,0.2,0.06,2901,60,0.39,5426,123,113,3,0.74,0.02,25,24,10,6,35,25,42,1,0,0,1,3,20,2,7,0.39924,0.05498,Arkansas
305,819,OK11017,PONCA,.,Lake Ponca,OK,36.7217,-97.0267,KAY,TURKEY CREEK,SR,1935,80,67,67,29000,23700,14440,23700,1032369630,805,35065800,1.2578125,3257722.3,3.2577223,0,0,0,0,89704.12979,27.34181876,16.98942396,4.27331848,29.4409262,1.535069684,1.318250427,67,0.439416809,.,0,0.440610702,0.182900442,629004956,17811451.2,17.8114512,3.129,.,1.11E+13,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas
306,820,OK11023,YAHOLA,MOHAWK LAKE,Lake Yahola,OK,36.2183,-95.9233,TULSA,TR-BIRD CR,S,1948,67,35,35,200,7514,6445,7514,327309088.6,431,18774360,0.6734375,1744196.66,1.74419666,0.672,1.74047328,430.08,18735360,17450.49631,5.318911275,3.305019298,1.136108769,17.43383469,0.669064076,1.494328687,35,0.498109562,.,0.997865429,0.356579032,0.219401916,280743555.5,7949778.6,7.9497786,1.709,185.6,1.11E+13,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas
307,821,OK11025,SPAVINAW,SPAVINAW LAKE,Spavinaw Lake,OK,36.3861,-95.0483,MAYES,SPAVINAW CREEK,SR,1922,93,75,75,275000,72400,38000,72400,3153736760,1584,68999040,2.475,6410226.24,6.41022624,390,1010.0961,249600,10873200000,138709.1264,42.27854171,26.27067628,4.710621516,45.70696578,0.901995333,1.828278631,75,0.60942621,663.695,157.5757576,0.487647853,0.136759546,1655276200,46872240,46.87224,6.321,207.3,1.11E+13,36965,11070209,1.73,2,11070209031,37917,11,84,15,0,1.8,0.1,0.1,0.2,0,0.1,42.9,1.1,3.2,1.5,0,41.9,6.7,0,0.4,44193,6838,43,7,0.15,0.02,74168,72,0.25,529512,59852,511,58,0.91,0.11,5,3,18,5,18,9,7,0,0,0,0,0,0,50,85,0.74027,0.21935,Arkansas
308,822,OK11026,EUCHA,UPPER SPAVINAW LAKE,Lake Eucha,OK,36.375,-94.935,DELAWARE,SPAVINAW CREEK,SRC,1952,63,95,95,298000,119000,79600,119000,5183628100,2860,124581600,4.46875,11574019.6,11.5740196,360,932.3964,230400,10036800000,261331.1262,79.65372727,49.49454732,6.604788075,41.60829609,0.811261606,1.313946192,95,0.437982064,60.9424,80.55944056,0.330368345,0.117879703,3467368040,98185008,98.185008,11.122,237.1,1.11E+13,36873,11070209,0.79,1,11070209051,37823,11,97,3,0,0,0,0,0.1,0,0.2,44.3,0.7,2.4,1.1,0,43.2,7.7,0,0,3110,373,54,6,0.19,0.02,5276,91,0.32,33645,3992,580,69,0.63,0.08,5,5,27,9,21,10,9,0,0,0,0,0,0,37,77,0.64089,0.12279,Arkansas
309,826,OK11043,PAWNEE LAKE,.,Pawnee Lake,OK,36.3583,-96.8017,PAWNEE,SKEDEE CREEK,SR,1932,83,45,45,18600,9008,3855,9008,392387579.2,257,11194920,0.4015625,1040043.02,1.04004302,12.98,33.6180702,8307.2,361882400,33520.96889,10.21719132,6.348670382,2.826186158,35.05050319,2.148696276,2.336700213,45,0.778900071,.,32.32373541,0.928387338,0.218723179,167923414.5,4755065.4,4.7550654,1.317,.,1.11E+13,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas
310,827,OK11103,SOONER,.,Sooner Lake,OK,36.4583,-96.995,PAWNEE,GREASY CR,S,1972,43,100,100,4000,350000,149000,350000,15245965000,5400,235224000,8.4375,21853044,21.853044,28.6,74.073714,18304,797368000,272321.6062,83.00362558,51.57607829,5.008826445,64.81466602,0.451625736,1.944439981,100,0.64814666,19.3584,3.38962963,0.374522506,0.118903205,6490425100,183788520,183.78852,20.889,.,1.11E+13,35022,11060006,0.48,1,11060006034,35937,5,57,40,3,23.8,0.4,0,0,0,0.3,4.3,0,0.2,0.2,61.4,3,6.1,0,0.3,5237,644,58,7,0.49,0.06,6963,77,0.65,13287,1971,146,22,0.76,0.12,3,2,30,13,45,2,3,1,0,0,0,16,72,4,10,0.6585,0.3499,Arkansas
311,828,OK13298,SCS-LOST DUCK CREEK SITE-D5,.,ND,OK,36.9,-97.2361,KAY,DUCK CREEK,O,1982,33,27,27,480,1460,173,1460,63597454,310,13503600,0.484375,1254526.6,1.2545266,3.3,8.546967,2112,92004000,.,0,0,0,4.709666607,0,0.52329629,27,0.174432097,.,6.812903226,0.113582345,5.878975617,7535862.7,213392.04,0.21339204,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas
312,829,OK13300,A.B. JEWELL,LYNN LANE,ND,OK,36.125,-95.77,TULSA,.,SR,1950,65,15,15,0,100,50,100,4355990,325,14157000,0.5078125,1315229.5,1.3152295,0,0,0,0,.,0,0,0,0.307691601,0,0.06153832,15,0.020512773,.,0,0.007247287,21.32550994,2177995,61674,0.061674,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas
313,832,OK20508,BIRCH LAKE,BIRCH LAKE,ND,OK,36.535,-96.15833,OSAGE,BIRCH CREEK,IC,1977,38,94,97,37200,111100,19225,111100,4839504890,1145,49876200,1.7890625,4633654.7,4.6336547,66,170.93934,42240,1840080000,138035.7524,42.07329732,26.14314328,5.513655242,97.03034493,1.774222526,3.096713136,94,1.032237712,27.2594,36.89082969,1.217604781,0.195400291,837439077.5,23713653,23.713653,4.433,.,1.11E+13,35147,11070107,0.55,1,11070107016,36064,9,35,65,0,3.3,0,0,0.6,0,0.1,33.4,0,0.1,0.4,57.3,2.5,0.3,0,1.9,4508,1733,27,10,0.15,0.06,8435,50,0.29,19085,766,113,5,0.79,0.03,5,3,7,3,50,17,19,4,5,0,0,16,66,1,3,0.3773,0.06535,Arkansas
314,833,OK20509,KAW LAKE,KAW LAKE,Kaw Lake,OK,36.70167,-96.92333,KAY,ARKANSAS RIVER,IC,1976,39,120,125,616200,1327160,406540,1327160,57810956884,16750,729630000,26.171875,67784905,67.784905,6652,17228.61348,4257280,1.85E+11,727626.498,221.7805566,137.808093,7.59891986,79.23325094,0.442270604,1.980831274,120,0.660277091,3030.78,254.1659701,0.25995704,0.135175379,17708841746,501458959.2,501.4589592,65.312,.,1.11E+13,34897,11060001,1.94,4,11060001001,35811,9,82,18,1,0.5,0.3,0.2,0.5,0.2,0.4,1.8,6.5,0.1,6,56.8,5,21.2,0,0.5,324619,88544,3,1,0.06,0.02,480527,4,0.09,8355972,1169254,73,10,3.09,0.46,14,13,58,38,17,0,0,0,0,0,0,4,23,6,25,0.74052,0.38056,Arkansas
315,837,OK20992,GREEN LEAF LAKE,GREENLEAF LAKE,Greenleaf Lake,OK,35.60833,-95.16667,MUSKOGEE,GREENLEAF CREEK,CSROH,1935,80,40,50,32650,31790,14720,31790,1384769221,739,32190840,1.1546875,2990629.54,2.99062954,86,222.73914,55040,2397680000,71197.90155,21.70112039,13.48445537,3.539938672,43.01749258,1.19520454,3.226311944,40,1.075437315,34.1524,74.47902571,0.671930549,0.164711035,641201728,18156825.6,18.1568256,2.792,.,1.11E+13,36984,11110102,0.61,1,11110102005,37936,11,83,17,0,2,0.3,0.1,0.1,0,0.1,62.7,0.4,3.4,11.9,0,15.3,1,0,2.7,11126,1583,48,7,0.16,0.02,18497,79,0.27,41022,1525,176,7,1.35,0.05,6,6,12,8,37,25,33,4,6,4,8,0,0,12,38,0.62824,0.14388,Arkansas
316,839,OK21489,COPAN LAKE,COPAN LAKE,Copan Lake,OK,36.885,-95.97,WASHINGTON,LITTLE CANEY,RF,1983,32,67,73,199070,338000,43400,338000,14723246200,4850,211266000,7.578125,19627271,19.627271,505,1307.94495,323200,14079400000,228485.5784,69.64240431,43.27379764,4.434439027,69.69056166,1.300923966,3.12047291,67,1.040157637,306.032,66.63917526,0.424917491,0.366638508,1890499660,53533032,53.533032,17.005,.,1.11E+13,35118,11070106,1.23,2,11070106006,36035,9,82,18,1,2.6,2.1,0.1,0.2,0.2,0.2,15.8,0.3,0.7,5.7,38,26.5,7.5,0,0.2,33514,14182,24,10,0.12,0.05,66560,47,0.24,330888,21376,236,15,1.22,0.08,5,3,33,17,39,5,8,0,0,2,3,7,34,10,35,0.62587,0.1882,Arkansas
317,845,OK22072,SCS-LOWER BLACK BEAR CREEK SITE-19M,LONE CHIMNEY LAKE,ND,OK,36.375,-95.0194,PAWNEE,CAMP CREEK,S,1937,78,13,15,9429,6200,6200,6200,270071380,550,23958000,0.859375,2225773,2.225773,26.31,68.1426369,16838.4,733522800,.,0,0,0,11.27270139,0,2.601392629,13,0.867130876,.,30.61527273,0.204102428,0.29104294,270071380,7647576,7.647576,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas
318,849,OK22160,STROUD LAKE,STROUD LAKE,ND,OK,35.8083,-96.0194,CREEK,TR-LITTLE DEEP FORK CR,SCR,1978,37,45,45,0,16000,8800,16000,696958400,600,26136000,0.9375,2428116,2.428116,0,0,0,0,.,0,0,0,26.66660545,0,1.777773697,45,0.592591232,.,0,0.462267779,0.22369416,383327120,10854624,10.854624,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas
319,853,OK22173,BRUSHY CR LAKE,BRUSHY CR LAKE,ND,OK,35.5351,-94.8274,SEQUOYAH,SALLISAW CR,C,1978,37,45,45,0,6200,3258,6200,270071380,358,15594480,0.559375,1448775.88,1.44877588,0,0,0,0,.,0,0,0,17.318396,0,1.154559733,45,0.384853244,.,0,0.388658048,0.36051058,141918154.2,4018677.84,4.01867784,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas
320,858,OK30072,PENSACOLA EAST SPILLWAY 2,N/A,Grand Lake O' the Cherokees,OK,36.48,-95.0059,Mayes,NEOSHO,HC,1940,75,15,48,-99,2197000,1680000,2197000,95701100300,38618.54164,1682223674,60.34147132,156283831.4,156.2838314,-98,-253.81902,-62720,-2732240000,2509980.834,765.0421581,475.37531,17.2632768,56.88964065,0.369184938,11.37792813,15,3.79264271,81.0552,-1.624090329,0.122924024,0.075417591,73180632000,2072246400,2072.2464,156.284,.,1.11E+13,35211,11070205,0.89,1,11070205001,36128,9,98,2,0,0.7,1.6,0.1,0,0,0.1,5.7,0.1,0.4,0.1,0.8,64.3,26.1,0,0,7131,2401,42,14,0.18,0.06,13991,83,0.36,168849,18316,999,108,2.34,0.27,1,1,74,41,15,1,2,0,0,0,0,0,0,10,56,0.63178,0.13252,Arkansas
321,223,IL00141,LAKE MATTOON DAM,LAKE MATTOON,Lake Mattoon,IL,39.3333,-88.4817,SHELBY,LITTLE WABASH RIVER,SR,1957,58,0,46,28273,22569,11820,22569,983103383.1,980,42688800,1.53125,3965922.8,3.9659228,57,147.62943,36480,1589160000,129612.5311,39.50589947,24.54783571,5.596090347,23.02953897,2.709644809,#DIV/0!,0,#DIV/0!,17.9244,37.2244898,0.312373166,0.272016136,514878018,14579733.6,14.5797336,3.673,.,5.12E+12,14893,5120114,0.46,1,5120114018,15570,6,89,11,0,2.5,0.2,0.5,1.7,1.2,0.6,1.8,0,0,0,0.5,19.6,71.3,0,0,2823,345,47,6,0.2,0.02,5135,86,0.37,130234,5313,2171,89,8.1,0.35,7,18,86,63,6,0,0,0,0,0,0,0,0,2,18,0.49323,0.19641,Wabash
322,226,IL00230,STEPHEN A. FORBES STATE PARK LAKE DAM,STEPHEN A. FORBES STATE PARK LAKE,Forbes Lake,IL,38.7117,-88.7483,MARION,LOST FORK CREEK,RS,1963,52,0,46,30848,15739,8800,15739,685589266.1,585,25482600,0.9140625,2367413.1,2.3674131,21.1,54.648789,13504,588268000,111345.0321,33.93796577,21.088081,6.222195827,26.90421174,3.126590637,#DIV/0!,0,#DIV/0!,56.9682,23.08376068,0.472328175,0.218101806,383327120,10854624,10.854624,2.118,156.1,5.12E+12,14902,5120115,0.77,1,5120115005,15579,9,26,73,1,1,3.2,0,0,0,0,19.5,0.4,0,0,1.7,41.3,32.8,0,0,9193,3160,44,15,0.18,0.06,14340,69,0.28,217371,17576,1045,85,4.29,0.37,1,1,84,64,10,2,6,0,0,0,0,0,1,4,27,0.74307,0.8045,Wabash
323,229,IL00334,EAST FORK LAKE DAM,EAST FORK LAKE,ND,IL,38.7583,-88.0567,RICHLAND,EAST FORK FOX RIVER,SR,1972,43,0,84,20061,22680,12460,22680,987938532,930,40510800,1.453125,3763579.8,3.7635798,10.4,26.935896,6656,289952000,110316.5071,33.62447138,20.89328455,4.889334971,24.38704079,2.187788378,#DIV/0!,0,#DIV/0!,.,7.156989247,0.339562047,0.244878679,542756354,15369160.8,15.3691608,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wabash
324,230,IL00525,LAKE VERMILION DAM,LAKE VERMILION,Lake Vermilion,IL,40.1567,-87.6517,VERMILION,NORTH FORK VERMILION RIVER,S,1925,90,0,45,106565,15352,4641,15352,668731584.8,608,26484480,0.95,2460490.88,2.46049088,320,828.7968,204800,8921600000,74838.42524,22.81075201,14.17394871,4.102264082,25.24994203,3.984702686,#DIV/0!,0,#DIV/0!,199.632,336.8421053,0.434820598,0.429811547,202161495.9,5724580.68,5.72458068,2.61,.,5.12E+12,14781,5120109,1.01,2,5120109002,15455,6,81,18,1,0.4,0.7,0.8,1,0.5,0.7,3.7,0.2,0,0,0.7,7.2,84,0,0,29267,5396,32,6,0.13,0.02,57915,64,0.25,2516968,95011,2778,105,14.19,0.55,3,8,90,73,5,0,1,0,0,0,0,0,0,1,18,0.85039,0.88602,Wabash
325,233,IL00607,LAKE SARA DAM,LAKE SARA,Lake Sara,IL,39.125,-88.6167,EFFINGHAM,BLUE POINT CREEK,SR,1957,58,0,65,16450,20392,11720,20392,888273480.8,586,25526160,0.915625,2371459.96,2.37145996,12.3,31.856877,7872,342924000,158168.4786,48.20975227,29.95616083,8.831244175,34.79855493,3.334841336,#DIV/0!,0,#DIV/0!,.,13.4334471,0.610399142,0.164042384,510522028,14456385.6,14.4563856,2.238,177.1,5.12E+12,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wabash
326,235,IL00664,NEWTON POWER STATION LAKE DAM,NEWTON POWER STATION LAKE,Newton Lake,IL,38.885,-88.3033,JASPER,WEATHER CREEK,R,1975,40,0,54,59450,49600,28500,49600,2160571040,1750,76230000,2.734375,7082005,7.082005,48,124.31952,30720,1338240000,324083.3255,98.78059761,61.37943735,10.47100642,28.34279208,2.809924669,#DIV/0!,0,#DIV/0!,.,17.55428571,0.287690234,0.201455559,1241457150,35154180,35.15418,7.064,.,5.12E+12,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wabash
327,237,IL00712,RIVERVIEW DAM,EMBARRAS RIVER,ND,IL,39.4583,-88.1467,COLES,EMBARRAS RIVER,S,1989,26,0,29,52307,9450,750,9450,411641055,314,13677840,0.490625,1270714.04,1.27071404,786,2035.73214,503040,21913680000,.,0,0,0,30.09547231,0,#DIV/0!,0,#DIV/0!,.,1602.038217,0.721170332,1.373581563,32669925,925110,0.92511,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wabash
328,241,IL01233,MILL CREEK STRUCTURE 1 DAM,MILL CREEK IMPOUNDMENT 1,ND,IL,39.4033,-87.7933,CLARK,MILL CREEK,CR,1980,35,0,81,39280,40300,17549,40300,1755463970,811,35327160,1.2671875,3282003.46,3.28200346,20.6,53.353794,13184,574328000,170812.1893,52.06355529,32.35080377,8.106981753,49.69162452,2.405189701,#DIV/0!,0,#DIV/0!,166.163,16.25647349,0.740925054,0.151619321,764432685.1,21646340.52,21.64634052,2.966,.,5.12E+12,14828,5120111,1.2,1,5120111027,15502,9,72,27,1,1,1.5,0.3,0.7,0.2,0.6,23.9,0.2,1.3,0,0.8,26.9,42.6,0,0,13847,5065,47,17,0.16,0.06,25789,87,0.3,505458,13655,1708,46,3.41,0.1,2,5,85,66,9,2,7,0,0,0,0,0,0,2,21,0.82441,0.57405,Wabash
329,246,IL50038,LAKE MINGO DAM,LAKE MINGO,ND,IL,40.205,-87.7333,VERMILION,WINDFALL CREEK,R,1981,34,0,47,16256,4340,2250,4340,189049966,628,27355680,0.98125,2541428.08,2.54142808,34.8,90.131652,22272,970224000,.,0,0,0,6.91081216,0,#DIV/0!,0,#DIV/0!,.,35.46496815,0.117098351,0.915721042,98009775,2775330,2.77533,.,.,.,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wabash
330,253,IL50504,NEWTON POWER STATION SUPPLEMENTAL COOLING POND DAM, ,Newton Lake,IL,38.8833,-88.3,JASPER,TRIB NEWTON LAKE,O,2003,12,0,17,5550,3945,2745,3945,171843805.5,400,17424000,0.625,1618744,1.618744,0.625,1.61874375,400,17425000,324083.3255,98.78059761,61.37943735,21.90168127,9.862477359,29.17408127,#DIV/0!,0,#DIV/0!,.,1,0.209390771,0.478083451,119571925.5,3385902.6,3.3859026,7.064,.,5.12E+12,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wabash
331,256,IN00010,LAKE LEMON DAM, ,Lake Lemon,IN,39.27222,-86.42583,Monroe,Beanblossom Creek,O,1952,63,43,51,33500,45700,13300,45700,1990687430,1650,71874000,2.578125,6677319,6.677319,70.9,183.630291,45376,1976692000,112687.8921,34.34726952,21.34241064,3.749609552,27.69690611,2.093671132,1.932342287,43,0.644114096,56.3314,27.50060606,0.289528153,0.407022457,579346670,16405284,16.405284,5.965,630,5.12E+12,16000,5120202,0.76,1,5120202036,16694,9,87,11,2,1.2,0.3,0,0.4,0,0.1,70.5,2.2,0.1,0,0,17,8.2,0,0.1,10702,3087,73,21,0.2,0.06,19285,131,0.36,66676,4025,454,27,1.33,0.08,14,26,17,8,44,20,41,0,0,0,0,0,0,5,24,0.54651,0.16377,Wabash
332,257,IN00017,GRANDVIEW LAKE DAM, ,Grandview Lake,IN,39.14722,-86.03833,Bartholomew,East Fork White Creek,O,1967,48,77,81,140,11935,9235,11935,519887406.5,320,13939200,0.5,1294995.2,1.2949952,1.98,5.1281802,1267.2,55202400,36887.98358,11.24345739,6.986362762,2.787152233,37.29678938,0.987031168,1.453121664,77,0.484373888,.,3.96,0.885315304,0.113683948,402275676.5,11391187.8,11.3911878,1.26,.,5.12E+12,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wabash
333,258,IN00018,MORSE RESERVOIR DAM, ,ND,IN,40.07333,-86.04833,Hamilton,Cicero Creek,O,1955,60,45,70,66513,49300,21180,49300,2147503070,1375,59895000,2.1484375,5564432.5,5.5644325,216,559.43784,138240,6022080000,181601.6839,55.35219326,34.39426932,6.619410062,35.85446314,2.118735611,2.390297543,45,0.796765848,129.804,100.5381818,0.410575838,0.212991764,922598682,26125106.4,26.1251064,5.906,810,5.12E+12,16007,5120201,0.81,2,5120201027,16701,6,82,17,0,0.1,1.5,0.8,1.5,0.1,0.6,0.9,0,0,0,0,8.3,86.2,0,0,15527,2293,48,7,0.15,0.02,28828,89,0.29,922026,47560,2837,146,8.01,0.43,3,7,88,64,6,0,0,0,0,0,0,0,0,3,29,0.67542,0.42752,Wabash
334,259,IN00025,SWEETWATER LAKE DAM, ,Sweetwater Lake,IN,39.29222,-86.12444,Brown,Sweetwater Creek,R,1965,50,121,140,5646,11700,9500,11700,509650830,275,11979000,0.4296875,1112886.5,1.1128865,2.29,5.9310771,1465.6,63845200,57784.87227,17.61282907,10.9441081,4.709757804,42.54535687,1.503049913,1.054843559,121,0.35161452,.,5.329454545,1.089399915,0.094971907,413819050,11718060,11.71806,1.049,.,5.12E+12,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wabash
335,260,IN00028,KOKOMO WATERWORKS DAM #2, ,ND,IN,40.48833,-86.05028,Howard,Wildcat Creek,ND,1957,58,20,28,47000,6320,3220,6320,275298568,322,14026320,0.503125,1303088.92,1.30308892,184,476.55816,117760,5129920000,77777.17463,23.70648283,14.73053021,5.858345629,19.62728413,5.968691626,2.94409262,20,0.981364207,.,365.7142857,0.46444446,0.328084768,140262878,3971805.6,3.9718056,1.485,247.5,5.12E+12,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wabash
336,261,IN00038,PRAIRIE CREEK RESERVOIR DAM, ,Prairie Creek Reservoir,IN,40.1475,-85.29028,Delaware,Unnamed Tributary White River,O,1959,56,47,61,14597,36670,22000,36670,1597341533,1275,55539000,1.9921875,5159746.5,5.1597465,16.8,43.511832,10752,468384000,72437.55177,22.07896578,13.71923768,2.741949393,28.76071829,0.813624342,1.835790529,47,0.611930176,.,8.432941176,0.342015784,0.190140036,958317800,27136560,27.13656,4.805,990,5.12E+12,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wabash
337,262,IN00081,GLENDALE RESERVOIR,DOGWOOD LAKE DAM,Dogwood Lake,IN,38.53778,-87.05889,Daviess,Mud Creek,R,1963,52,53,53,1250,36600,20400,36600,1594292340,1313,57194280,2.0515625,5313527.18,5.31352718,14,36.25986,8960,390320000,173051.8555,52.74620557,32.77498313,6.454976432,27.87503121,2.096181788,1.577831955,53,0.525943985,.,6.824067022,0.326651391,0.211164363,888621960,25162992,25.162992,5.011,.,5.12E+12,.,.,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wabash
