"RESID","SHALLOW","MUDFLAT","BKWATER","CONN_BW","CONN_TR","N_STRUC","SHAL_LZ","DIST_RZ","X_NUTRI","ALGAE","SEDIMEN","SHOREER","NOCOVES","SHOREHO","SUBSTHO","STATE","RESINFO","RESNAME1","LONGITUDE","LATITUDE","CLUSID"
"GA79",1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,"GA",79,"Javor Lucas Lake",-83.65916,32.90083,"SAP                1"
"GA81",0,0,5,0,1,4,1,0,0,0,1,1,1,1,1,"GA",81,"Lake Tugalo",-83.3519,34.7144,"SAP                1"
"GA90",0,0,5,0,0,4,0,2,0,0,0,1,0,1,0.965906254,"GA",90,"Lake Yonah",-83.3425,34.6814,"SAP                1"
"GA92",5,5,0,0,0,1,4,1,0,1,2,1,3,2,2,"GA",92,"Lake Seminole",-84.874306,30.727081,"CPL                3"
"GA93",2,2,1,1,1,2,1,2,1,1,1,3,4,3,3,"GA",93,"Walter F. George reservoir",-85.096092,31.683186,"CPL                3"
"IA10",3,5,4,1,2,4,4,5,5,3,5,5,5,5,5,"IA",10,"Coralville Reservoir",-91.5293,41.7243,"TPL                2"
"IA14",1,1,2,2,2,4,3,5,5,4,5,4,5,4,4,"IA",14,"FIve-in-one Dam",-91.6667,41.9833,"TPL                2"
"IA15",4,3,4,1,1,3,4,1,5,5,5,2,5,3,3,"IA",15,"Green Valley",-94.3883,41.1062,"TPL                1"
"IA16",3,2,4,2,2,3,1,3,5,3,5,2,3,2,4,"IA",16,"Lake Delhi",-91.3635,42.4102,"TPL                1"
"IA18",2,1,1,1,1,2,1,1,5,3,3,2,1,2,3,"IA",18,"Casey Lake",-92.3106,42.2645,"TPL                1"
"IA19",4,5,4,4,2,4,4,3,4,1,4,3,3,4,4,"IA",19,"Lake Nakomis",-94.2293,42.7267,"TPL                2"
"IA2",4,4,1,1,2,3,4,1,4,5,4,4,4,3,4,"IA",2,"Badger Creek Lake",-93.9088,41.4683,"TPL                1"
"IA20",5,4,1,1,3,4,5,4,5,4,5,2,3,3,4,"IA",20,"Independence Impoundment",-91.9005,42.4776,"TPL                1"
"IA21",4,3,4,4,2,3,4,3,4,2,4,3,3,3,3,"IA",21,"Iowa Falls Impoundment",-93.2591,42.5186,"TPL                2"
"IA22",3,2.355687749,0,0,0,3,3,2,5,1,5,3,4,1,1,"IA",22,"Lake Darling",-91.9062,41.2032,"TPL                1"
"IA23",4,4,4,1,1,4,3,1,5,4,4,3,4,3,4,"IA",23,"Icaria",-94.7534,41.0481,"TPL                1"
"IA24",1,1,2,2,1,2,1,2,5,3,5,4,4,4,4,"IA",24,"Lake Macbride",-91.5752,41.7937,"TPL                1"
"IA25",1,0,0,0,0,2,0,4,5,1,4,4,3,2,2,"IA",25,"Lake of the Hills",-90.6821,41.5243,"TPL                1"
"IA28",1,2,1,0,0.650461144,1,1,0,3,1,1,2,2,1,1,"IA",28,"Lake Sugema",-91.9869,40.6835,"TPL                3"
"IA29",3,3,2,1,1,3,3,2,4,3,5,4,4,3,3,"IA",29,"Sundown Lake",-92.7212,40.8321,"TPL                1"
"IA30",2,3,0,0,0,2,3,2,4,3,3,1,2,2,2,"IA",30,"Lake Wapello",-92.5722,40.8212,"TPL                3"
"IA31",4,3,4,1,1,2,4,1,5,5,3,5,3,5,5,"IA",31,"Little River",-93.7785,40.7482,"TPL                1"
"IA32",3,2,1,1,1,2,3,3,5,4,5,4,4,4,4,"IA",32,"Mississippi",-91.095,42.785,"UMW                1"
"IA35",4,2,4,5,2,3,4,4,5,3,5,5,5,5,4,"IA",35,"Pool 12 Upper Mississippi River",-90.4221,42.2603,"UMW                1"
"IA36",3,1,4,5,2,3,4,3,5,3,5,5,5,5,5,"IA",36,"Pool 13",-90.1547,41.8972,"TPL                2"
"IA37",4,3,5,5,2,4,3,5,5,3,5,4,5,4,4,"IA",37,"Pool 14 Upper Mississippi River",-90.4003,41.5741,"TPL                2"
"IA38",3,3,4,4,1,2,3,5,5,2,4,3,3,4,3,"IA",38,"Mississippi River Pool 15",-90.5638,41.5183,"TPL                2"
"IA39",1,1,3,3,1,4,2,4,4,2,5,4,5,2,3,"IA",39,"Pool 16",-91.0102,41.425,"TPL                2"
"IA40",1,1,4,4,2,3,1,5,4,1,5,4,3,2,3,"IA",40,"Pool 17",-91.0568,41.1917,"TPL                2"
"IA41",0,1,5,5,1,3,1,4,3,1,5,4,3,2,2,"IA",41,"Pool 18",-91.024,40.8816,"TPL                2"
"IA42",4,4,4,4,4,4,3,5,5,1,5,5,5,5,5,"IA",42,"Monticello Dam",-91.172,42.2446,"TPL                2"
"IA46",2,2,1,1,1,3,1,2,3,3,2,4,3,4,3,"IA",46,"Pleasant Creek Lake",-91.8104,42.1257,"TPL                1"
"IA47",1,1,3,3,2,3,2,2,4,2,4,5,5,5,5,"IA",47,"Rathbun Lake",-92.87667,40.82833,"TPL                2"
"IA49",3,3,3,3,3,2,2,4,5,3,5,5,5,4,4,"IA",49,"Robert's Creek Lake",-93.0277,41.42,"TPL                2"
"IA5",1,2,3,3,3,2,1,5,4,5,5,4,5,4,4,"IA",5,"Big Creek Lake",-93.7405,41.7818,"TPL                2"
"IA50",5,5,5,5,5,4,4,4,5,5,5,4,5,3,3,"IA",50,"Rock Creek Lake",-92.8538,41.7381,"TPL                2"
"IA51",4,4,5,5,4,5,3,5,5,4,5,5,5,5,5,"IA",51,"Saylorville Lake",-93.6811,41.7036,"TPL                2"
"IA52",1,1,1,1,1,1,1,1,3,3,1,1,1,2,2,"IA",52,"Sun Valley",-94.0597,40.8637,"TPL                3"
"IA53",3,2,1,1,1,3,3,1,4,4,2,3,2,3,3,"IA",53,"Three Mile",-94.2119,41.0724,"TPL                1"
"IA54",2,3,2,1,2,3,3,1,3,4,2,2,2,3,3,"IA",54,"Twelve Mile",-94.2569,41.053,"TPL                1"
"IA56",3,3,2,1,2,1,2,1,4,3,3,3,3,2,2,"IA",56,"West Lake Osceola",-93.8057,41.0408,"TPL                1"
"IA58",3,1,1,1,2,3,3,3,5,3,5,4,4,4,4,"IA",58,"Mississippi",-91.09967,43.227256,"UMW                1"
"IA59",3,1,1,1,1,3,1,4,4,4,5,4,4,4,4,"IA",59,"Mississippi",-91.241827,43.611968,"UMW                1"
"IA6",0,0,1,1,1,0,0,0,1,1,3,1,1,1,1,"IA",6,"Brushy Creek",-93.9789,42.3873,"TPL                3"
"IA9",3,3,3,3,3,3,1,4,5,3,5,4,5,4,4,"IA",9,"Roller Dam",-91.6302,41.9446,"TPL                2"
"ID11",2,3,1,1,1,1,2,4,1,1,1,2,1,1,1,"ID",11,"Bybee Reservoir",-116.2676,42.24955,"XER                3"
"ID13",1,1,1,1,1,1,1,2,4,2,2,2,2,1,1,"ID",13,"C.J. Strike Reservoir",-115.9759,42.947,"XER                3"
"ID14",0,0,0,0,1,0,0,1,1,1,2,2,1,1,1,"ID",14,"Cabinet Gorge Reservoir",-116.0633,48.0867,"WMT                2"
"ID16",4,3,0,0,1,4,4,3,2,1,4,4,1,3,4,"ID",16,"Crane Creek Reservoir",-116.6171,44.3568,"XER                3"
"ID2",1,1,2,2,2,3,1,3,1,1,0,5,3,4,4,"ID",2,"Pend Oreille River",-117,48.18,"WMT                2"
"ID21",2,4,1,1,0,4,4,0,5,5,1,1,1,4,4,"ID",21,"Lake Lowell",-116.7361,43.58278,"XER                3"
"ID27",2,2,0,1,1,3,2,1,1,2,1,1,1,1,1,"ID",27,"Fish Creek Reservoir",-113.8323,43.42268,"WMT                2"
"ID28",1,1,1,1,1,2,1,1,1,1,0,0,0,2,1,"ID",28,"Gem Lake",-112.102,43.4219,"XER                2"
"ID3",1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,"ID",3,"Ashton Reservoir",-111.4961,44.2453,"WMT                2"
"ID33",0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,"ID",33,"Hayden Lake",-116.7586,47.75,"WMT                1"
"ID35",1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,"ID",35,"Henrys Lake",-111.3533,44.59729,"WMT                2"
"ID38",1,1,1,1,1,3,1,1,5,4,3,2,1,1,1,"ID",38,"Little Camas Reservoir",-115.3902,43.35206,"WMT                2"
"ID4",4,4,1,1,0,1,3,1,3,3,1,1,1,2,2,"ID",4,"Blackfoot Reservoir",-111.7166,43.00378,"XER                3"
"ID44",0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,"ID",44,"Lucky Peak Lake",-116.0537,43.52797,"WMT                2"
"ID45",0,2,1,3,1,1,2,1,1,1,1,1,1,2,2,"ID",45,"Mackay REservoir",-113.6732,43.95269,"WMT                2"
"ID46",1,2,1,1,1,3,1,1,2,3,4,1,1,1,1,"ID",46,"Magic Reservoir",-114.3569,43.2547,"XER                3"
"ID48",4,4,1,1,1,3,3,5,3,3,4,4,1,5,4,"ID",48,"Milner Reservoir",-114.0085,42.5256,"XER                3"
"ID51",4,3,0,0,0,3,4,3,2,2,3,3,1,3,3,"ID",51,"Mountain Home Reservoir",-115.6624,43.15713,"XER                3"
"ID59",4,4,0,0,0,3,4,4,3,3,2,3,1,1,3,"ID",59,"Paddock Reservoir",-116.5989,44.19832,"XER                3"
"ID64",0,0,0,0,0,0,0,2,2,1,1,3,2,2,2,"ID",64,"Lake Coeur d'alene",-116.961,47.709,"WMT                2"
"ID70",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"ID",70,"Priest Lake",-116.9027,48.4906,"WMT                1"
"ID71",1,1,1,1,1,4,1,3,4,4,3,1.85473322,1,1,1,"ID",71,"Salmon Falls Creek Reservoir",-114.7342,42.21199,"XER                3"
"ID76",2,2,1,1,2,0,4,1,5,1,1,1,4,1,4,"ID",76,"Swan Falls Reservoir",-116.3785,43.2431,"XER                3"
"ID77",1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,"ID",77,"Twin Lakes",-116.8644,47.8582,"WMT                1"
"ID8",1,1,1,1,2,1,1,1,4,3,2,1,1,1,1,"ID",8,"Brownlee Reservoir",-116.9006,44.8368,"WMT                2"
"ID81",2,1,1,1,1,1,2,1,3,2,2,1,1,2,2,"ID",81,"American Falls Reservoir",-112.708168,42.962955,"XER                3"
"ID82",0,0,0,0,3,0,0,1,0,1,0,2,1,1,3,"ID",82,"Arrowrock Reservoir",-115.854321,43.603516,"WMT                2"
"ID83",1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,"ID",83,"Island Park Reservoir",-111.528082,44.399203,"WMT                2"
"IL10",5,5,3,3,1,4,4,2,5,1,5,5,5,5,5,"IL",10,"Carlyle Lake",-89.35229,38.61882,"TPL                1"
"IL104",2,3,1,1,2,3,2,3,2,1,4,3,2.95889093,3,3,"IL",104,"vandalia lake",-89.1133,39.0117,"TPL                1"
"IL108",4,3,1,1,1,3,4,3,3,2,5,5,4,4,4,"IL",108,"Silver Lake",-88.244722,42.235,"TPL                1"
"IL14",0.232225893,0,0,0,0,0,0,0,0,0,2,2,0,0,0,"IL",14,"Cedar Lake",-89.2833,37.66,"SAP                1"
"IL16",4,2,0,0,0,4,2,1,4,3,4,5,5,4,3,"IL",16,"Clinton Lake",-88.8717,40.135,"TPL                1"
"IL18",1,1,2,2,1,1,1,1,3,2,2,2,2,1,1,"IL",18,"Coffeen Lake",-89.3867,39.035,"TPL                3"
"IL30",3,2,1,1,1,4,1,4,4,4,4,3,4,3,4,"IL",30,"Dunlap Lake",-89.9383,38.8083,"TPL                1"
"IL31",1,1,0,0,0,3,2,3,2,1,2,1,3,4,2,"IL",31,"East Fork Lake",-88.0567,38.7583,"TPL                3"
"IL34",3,2,1,1,1,3,4,2,4,3,4,5,4,4,4,"IL",34,"Governor Bond Lake",-89.3967,38.935,"TPL                1"
"IL36",3,1,1,1,1,3,2,3,4,2,4,3,4,4,4,"IL",36,"Holiday Shores Lake",-89.9333,38.91,"TPL                1"
"IL41",0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,"IL",41,"Kinkaid Lake",-89.4533,37.7783,"TPL                3"
"IL42",3,2,0,0,0,3,2,4,5,3,4,4,3,3,3,"IL",42,"Lake Bloomington",-88.9367,40.6617,"TPL                1"
"IL43",4,4,1,1,1,2,4,1,3,3,5,3,4,3,3,"IL",43,"Lake Carlinville 1 ; Lake Carlinville Old Lake",-89.8667,39.2433,"TPL                1"
"IL45",1,1,0,-0.172082407,0,3,0,0,3,1,3,3,4,3,4,"IL",45,"Lake Centralia",-89.0083,38.5583,"TPL                1"
"IL48",4,4,5,5,4,5,4,5,5,4,5,3,5,4,5,"IL",48,"Lake Decatur",-88.9667,39.75,"TPL                2"
"IL49",0,0,1,0,0,0,0,2,1,1,3,3,3,0,0,"IL",49,"Lake Jacksonville",-90.2133,39.6717,"TPL                1"
"IL50",4,4,3,3,3,2,4,4,4,3,4,4,4,3,3,"IL",50,"Lake Lou Yaeger",-89.6017,39.1867,"TPL                1"
"IL51",5,5,5,5,4,4,5,5,5,2,5,4,5,4,5,"IL",51,"Lake Mattoon",-88.4817,39.3333,"TPL                2"
"IL52",1,1,0,0,0,1,1,0,2,0,2,1,1,1,1,"IL",52,"Lake Mingo",-87.7333,40.205,"TPL                3"
"IL55",2,2,5,5,3,1,1,2,5,1,5,5,5,5,5,"IL",55,"Lake Shelbyville",-88.78059,39.40951,"TPL                2"
"IL57",3,3,0,0,0,3,3,5,5,2,5,3,2,1,1.786102705,"IL",57,"Lake Taylorville",-89.255,39.53,"TPL                2"
"IL59",2,1,0,0,0,3,2,2,5,1,3,5,3,3,3,"IL",59,"Lake Vermilion",-87.6517,40.1567,"TPL                1"
"IL6",2,2,3,3,3,2,2,2,3,3,3,4,3,4,4,"IL",6,"Busse Lake South Pool",-88,42.01,"TPL                1"
"IL65",5,5,0,0,0,3,5,0,5,2,5,5,5,5,0,"IL",65,"Lake Mauvaise Terre",-90.2183,39.72,"TPL                1"
"IL67",1,1,4,4,2,1,1,5,1,1,4,5,4,5,5,"IL",67,"Mill Creek Lake",-87.7933,39.4033,"TPL                2"
"IL70",2,2,3,3,3,1,2,2,3,2,2,3,2,3,3,"IL",70,"Gillespie New City Lake",-89.8867,39.145,"TPL                1"
"IL72",1,1,1,1,0,2,1,2,2,2,4,2,4,2,4,"IL",72,"Newton Lake",-88.3033,38.885,"TPL                3"
"IL76",3,2,3,3,3,1,3,2,4,4,4,4,3,3,3,"IL",76,"Otter Lake",-89.91,39.4067,"TPL                1"
"IL77",5,5,5,5,5,3,5,5,5,3,5,5,5,5,5,"IL",77,"Pana Lake",-89.0217,39.3617,"TPL                2"
"IL78",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"IL",78,"Pinckneyville City Lake",-89.395,38.0933,"TPL                3"
"IL79",0,0,5,5,0,3,0,0,2,3,1,2,0,5,4,"IL",79,"Powerton Lake",-89.6883,40.54,"TPL                3"
"IL80",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"IL",80,"Prairie Lake",-90.055,40,"TPL                3"
"IL82",3,3,2,2,2,3,4,0,1,1,4,5,4,5,5,"IL",82,"Rend Lake",-88.94978,38.0367,"TPL                2"
"IL84",1,1,3,3,2,3,3,2,4,2,2,3,2,4,4,"IL",84,"Round Lake",-88.055,42.221,"TPL                1"
"IL86",0,0,0,0,0,2,2,0,2,0,1,3,2,0,0,"IL",86,"Lake Sangchris",-89.5,39.6667,"TPL                3"
"IL88",3,3,3,3,3,3,3,3,3,2,3,4,2,3,3,"IL",88,"Skokie Lagoons",-87.773395,42.125856,"TPL                1"
"IL90",2,0,0,0,0,3,1,3,3,0,4,3,2,5,5,"IL",90,"Lake Springfield",-89.5967,39.76,"TPL                1"
"IL99",4,3,3,3,3,3,3,4,4,3,4,4,3,4,4,"IL",99,"Fox Chain O' Lakes",-88.151,42.186,"TPL                1"
"IN10",4,4,3,3,3,3,2,2,3,3,4,2,2.767730248,2,2,"IN",10,"Eagle Creek Reservoir",-86.3075,39.825,"TPL                1"
"IN14",2,1,2,2,2,0,1,1,3,1,3,2,3,1,1,"IN",14,"Dogwood Lake",-87.05889,38.53778,"TPL                3"
"IN18",3,4,0,0,0,1,2,2,3,1,4,2,3,0,0,"IN",18,"Hardy Lake",-85.71,38.79111,"TPL                1"
"IN20",3,3,3,4,2,4,3,3,4,4,2,4,2,3,4,"IN",20,"Turtle Creek Reservoir",-87.52583,39.04333,"TPL                1"
"IN22",4,3,0,0,1,2,2,0,4,1,2,0,1,0,1,"IN",22,"J.C. Murphey Lake",-87.51833,40.97417,"TPL                3"
"IN23",4,4,4,3,1,4,4,1,4,4,5,5,3,3,4,"IN",23,"Roush Lake",-85.47,40.84667,"TPL                2"
"IN27",0,1,3,4,2,0,1,0,1,1,2,3,2,1,1,"IN",27,"Kickapoo Lake",-87.2475,39.16,"TPL                3"
"IN30",2,2,1,0,1,2,2,1,4,3,4,3,4,2,3,"IN",30,"Lake George",-87.25806,41.535,"TPL                1"
"IN32",4,1,1,1,1,4,4,4,4,4,3,2,4,3,4,"IN",32,"Lake Lemon",-86.42528,39.27222,"SAP                4"
"IN37",3,1,2,3,2,4,3,3,3,3,4,3,3,3,3,"IN",37,"Sullivan Lake",-87.375,39.10167,"TPL                1"
"IN40",4,4,3,2,2,4,3,1,4,3,4,4,1,4,4,"IN",40,"Mississinewa Reservoir",-85.95833,40.70833,"TPL                2"
"IN41",2,2,1,1,1,2,1,1,1,1,1,2,1,2,1,"IN",41,"Monroe Lake",-86.51167,39,"SAP                4"
"IN46",1,1,1,1,1,2,1,4,1,2,5,2,3,4,4,"IN",46,"Lake Shafer",-86.76,40.78,"UMW                1"
"IN47",1,1,0,0,0,2,1,4,3,1,3,2,2,3,3,"IN",47,"Lake Freeman",-86.7533,40.6566,"TPL                1"
"IN49",2,1,0,0,0,0,1,2,4,1,2,2,1,0,0,"IN",49,"Patoka Lake",-86.70833,38.435,"SAP                4"
"IN5",1,2,1,1,2,2,0,1,4,0,4,3,1,1,1,"IN",5,"Brookville Reservoir",-85,39.44,"TPL                1"
"IN50",0,0,1,1,1,1,0,0,2,1,2,1,2,1,1,"IN",50,"Worster Lake",-86.37028,41.54944,"UMW                1"
"IN54",3,4,3,2,1,4,4,1,4,4,4,4,2,4,3,"IN",54,"Salamonie Reservoir",-85.68,40.80833,"TPL                2"
"IN6",2,3,1,1,3,5,4,1,3,1,4,2,3,2,2,"IN",6,"Cagle's Mill Reservoir",-86.91667,39.48667,"SAP                3"
"IN64",2,2,1,2,2,4,4,3,5,3,4,2,2,3,4,"IN",64,"West Boggs Creek Lake",-86.92,38.72,"TPL                1"
"IN7",1,1,1,1,1,3,1,1,1,1,2,2,2,2,2,"IN",7,"Harden Reservoir",-87.07167,39.71833,"TPL                3"
"IN8",5,5,4,3,2,4,5,2,5,4,4,4,4,4,4,"IN",8,"Cedarville Reservoir",-85.01833,41.19889,"TPL                2"
"KS10",0,0,4,1,1,2,1,1,4,3,4,4,3,3,3,"KS",10,"Clinton Reservoir",-95.33,38.92333,"TPL                1"
"KS11",1,1,2,2,1,1,1,1,1,2,1,3,1,1,2,"KS",11,"Coffey County Lake",-95.67645,38.19311,"TPL                3"
"KS12",0,1,2,2,2,2,1,1,2,1,4,3,3,2,2,"KS",12,"Council Grove Reservoir",-96,38.67833,"TPL                1"
"KS13",0,0,2,2,0,0,0,0,1,1,1,1,1,1,1,"KS",13,"Critzer Res ervoir",-94.92422,38.1461,"TPL                3"
"KS16",1,1,1,1,2,2,2,1,1,2,1,3,1,3,3,"KS",16,"Banner Creek Reservoir",-95.76306,39.45501,"TPL                1"
"KS17",0,1,3,2,1,2,1,1,2,1,4,4,4,4,3,"KS",17,"El Dorado Reservoir",-96.82167,37.84667,"TPL                1"
"KS18",4,5,3,3,2.717037514,1,3,4,4,1,4,2,3,3,3,"KS",18,"Elk City Lake",-96.78333,37.28167,"TPL                2"
"KS2",1,0,1,1,1,1,1,1,2,1,2,3,1,2,2,"KS",2,"Clark State Fishing Lake",-99.8996,37.41603,"SPL                1"
"KS20",3,3,3,3,3,2,2,2,1,1,4,3,4,4,4,"KS",20,"Fall River Reservoir",-96.07,37.64667,"TPL                2"
"KS21",1,4,2,1,1,2,1,3,4,4,5,5,5,3,3,"KS",21,"Glen Elder Reservoir",-98.31556,39.49639,"SPL                5"
"KS24",0,1,1,1,1,1,0,1,1,1,1,2,1,1,1,"KS",24,"Hillsdale",-94.89833,38.65333,"TPL                3"
"KS25",0,0,4,0,0,1,0,0,0,1,1,3,1,2,2,"KS",25,"Jeffrey Energy Center Auxiliary Make-Up Lake",-96.15303,39.23954,"TPL                3"
"KS26",5,5,0.712402784,0,0,5,5,4,3,1,5,5,5,5,5,"KS",26,"John Redmond Reservoir",-95.755,38.24167,"TPL                2"
"KS28",2,2,1,1,1,3,3,1,3,1,3,3,2,1,2,"KS",28,"Kanopolis Reservoir",-97.97,38.62167,"SPL                3"
"KS29",1,1,2,3,2,1,2,4,2,1,1,2,1,2,1,"KS",29,"Kirwin",-99.12744,39.66199,"SPL                3"
"KS30",0,0,1,0,0,2,2,1,1,1,1,3,1,2,1,"KS",30,"La Cygne Reservoir",-94.65388,38.33883,"TPL                3"
"KS31",5,2,4,4,5,5,5,5,2,1,5,4,5,5,4,"KS",31,"Lake Coldwater",-99.34969,37.24305,"SPL                5"
"KS35",4,4,1,1,1,4,4,1,5,5,5,5,5,3,4,"KS",35,"Lovewell Reservoir",-98.02681,39.89019,"SPL                5"
"KS36",5,5,1,1,2,3,3,2,4,2,5,2,4,3,3,"KS",36,"Empire Lake",-94.70356,37.06488,"SAP                3"
"KS37",3,2,2,2,2,3,2,3,5,5,2,3,3,3,3,"KS",37,"Marion Reservoir",-97.08333,38.36833,"TPL                2"
"KS39",1,2,3,3,0,2,1,1,1,2,2,3,3,3,3,"KS",39,"Melvern Lake",-95.705,38.515,"TPL                1"
"KS4",1,0,0,0,1,0,1,1,1,1,2,3,1,2,1,"KS",4,"Big Hill Lake",-95.47,37.26833,"TPL                3"
"KS40",1,1,1,1,1,3,1,4,5,5,2,2,1,1,3,"KS",40,"Milford Reservoir",-96.895,39.08333,"TPL                2"
"KS42",2,2,1,1,1,4,4,1,5,5,3,4,1,1,3,"KS",42,"Centralia City Lake",-96.16273,39.70486,"TPL                1"
"KS45",1,1,3,3,0,0,1,2,2,1,0,0,0,0,0,"KS",45,"Cedar Creek Reservoir, BB County",-94.79356,37.81879,"TPL                3"
"KS46",5,5,2,2,2,4,4,2,3,2,4,4,4,3,3,"KS",46,"Neosho Wildlife Area",-95.12981,37.47934,"TPL                1"
"KS47",3,4,1,1,1,3,3,3,4,4,5,5,5,5,5,"KS",47,"Wellington City Lake",-97.52805,37.20278,"SPL                5"
"KS48",2,1,2,2,2,2,1,1,2,1,2,2,1,1,1,"KS",48,"Keith Sebelius",-99.93112,39.80445,"SPL                3"
"KS5",1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,"KS",5,"Bone Creek Reservoir",-94.73259,37.62194,"TPL                3"
"KS50",2,1,3,1,3,2,2,1,1,1,3,3,3,2,3,"KS",50,"Perry Reservoir",-95.425,39.11167,"TPL                1"
"KS52",2,2,1,1,2,3,2,3,1,2,4,4,4,4,3,"KS",52,"Pomona Reservoir",-95.55667,38.65167,"TPL                2"
"KS54",1,1,3,1,1,1,1,1,3,1,4,4,3,3,3,"KS",54,"Winfield City Lake",-96.89335,37.3499,"TPL                1"
"KS55",4,4,2,2,2,2,3,3,1,1,4,4,4,4,3,"KS",55,"Toronto Reservoir",-95.93333,37.73833,"SPL                5"
"KS56",0,1,1,1,2,2,1,1,2,1,4,3,2,2,2,"KS",56,"Tuttle Creek Reservoir",-96.59,39.25667,"TPL                2"
"KS58",1,2,3,3,2,1,2,1,1,1,2,2,3,2,2,"KS",58,"Webster Reservoir",-99.42342,39.40802,"SPL                3"
"KS60",1,1,1,1,1,3,1,0,1,0,1,1,1,1,1,"KS",60,"Wilson Reservoir",-98.495,38.96833,"SPL                1"
"KS61",1,1,0,0,0,3,0,3,1,1,1,1,1,1,1,"KS",61,"Wyandotte County Lake",-94.77526,39.16857,"TPL                3"
"KS63",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"KS",63,"Quivera Boy Scout Lake",-96.186997,37.234668,"SPL                1"
"KS64",1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,"KS",64,"Lake Kahola",-96.420829,38.523022,"TPL                3"
"KS65",4,4,4,3,2,2,4,3,4,0,3,3,2,4,4,"KS",65,"Parsons City Lake",-95.338869,37.404801,"TPL                1"
"KS66",0,0,1,0,0,2,1,2,2,1,0,2,0,1,0.990480748,"KS",66,"Horsethief Reservoir",-100.05372,38.059175,"SPL                1"
"KS68",3,1,1,1,1,2,1,1,2,0,2,1,3,1,3,"KS",68,"Middle Creek State Fishing Lake",-94.6861,38.5036,"TPL                1"
"KS69",3,3,1,1,1,3,2,2,1,1,3,3,3,3,3,"KS",69,"Carbondale City Lake",-95.6402,38.81776,"TPL                2"
"KS7",0,1,4,4,3,0,0,3,1,1,3,2,1,1,1,"KS",7,"Cedar Bluff Reservoir",-99.72222,38.79389,"SPL                3"
"KS70",4,4,1,1,1,3,3,1,1,1,4,2,5,2,2,"KS",70,"Eureka City Lake",-96.2904,37.8975,"TPL                2"
"KS71",5,5,1,2,2,2,5,4,5,5,5,1,3.919315559,4,4,"KS",71,"Herington City Lake",-97.0062,38.6618,"TPL                1"
"KS72",3,2,1,1,2,3,2,4,4,4,3,3,2,3,3,"KS",72,"Herington Reservoir",-96.9989,38.6691,"TPL                2"
"KS73",3,1,2,2,1,4,2,3,5,5,4,2,3,3,3,"KS",73,"Lake Shawnee",-95.8036,39.2003,"TPL                1"
"KS74",4,1,2,2,3,4,2,3,3,2,3.491790634,2.745830363,3.080316531,2.767224355,2.629509192,"KS",74,"Lake Afton",-97.6313,37.606,"SPL                3"
"KS75",2,2,2,2,1,3,2,2,3,2,3,2,2,2,2,"KS",75,"Harvey County East Lake",-97.1976,38.046,"SPL                3"
"KS76",1,1,2,2,2,2,1,5,3,1,3,3,3,4,3,"KS",76,"Council Grove City Lake",-96.55344,38.67764,"TPL                1"
"KS8",0,0,0.224142707,0,0,3,0,4,3,1,5,5,3,3,3,"KS",8,"Cedar Valley Reservoir",-95.31197,38.25708,"TPL                2"
"KS9",3,3,2,2,0,5,4,4,4,2,5,5,4,4,4,"KS",9,"Cheney Reservoir",-97.80196,37.72297,"SPL                5"
"KY10",4,3,4,4,4,4,3,1,3,1,5,3,4,3,4,"KY",10,"Dewey Lake",-82.73,37.73667,"SAP                3"
"KY11",1,1,1,1,1,3,1,4,4,3,1,2,1,3,3,"KY",11,"Herrington Lake",-84.70583,37.78556,"SAP                3"
"KY12",0,0,3,3,0,1,0,2,1,1,1,1,0,2,1,"KY",12,"doe valley lake",-86.11611,37.99861,"SAP                1"
"KY13",2,2,3,3,4,4,2,0,1,1,4,2,4,2,3,"KY",13,"Fishtrap Lake",-82.41667,37.43167,"SAP                3"
"KY14",0,1,3,1,2,5,1,1,1,0,4,1,1,1,2,"KY",14,"Grayson Lake",-82.985,38.25333,"SAP                1"
"KY15",1,3,2,1,1,3,1,2,1,0,2,2,2,1,1,"KY",15,"Green River Lake",-85.34167,37.245,"SAP                1"
"KY16",1,1,3,3,2,3,0,3,2,0,3,4,2,3,3,"KY",16,"Spotsville pool Green River",-87.40833,37.85833,"TPL                1"
"KY17",0,0,3,3,1,2,0,3,1,0,3,3,1,3,2,"KY",17,"Green River Calhoun pool",-87.265,37.53167,"TPL                1"
"KY18",1,1,2,1,1,4,1,2,2,0,2,2,0,1,2,"KY",18,"Green River Lock 3 Pool",-86.9,37.21333,"TPL                3"
"KY19",1,1,2,1,1,4,1,2,2,0,3,2,0,1,3,"KY",19,"Green River Lock 5 pool",-86.40333,37.16833,"TPL                3"
